benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,306,1177,42.47,1369,29.27,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,308,1132,41.45,1373,28.68,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,244,1154,40.22,1358,22.19,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,280,1133,41.84,1371,25.96,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,275,1051,41.79,1299,28.22,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,308,1074,42.02,1380,29.04,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,280,1120,40.89,1361,27.96,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,281,1102,41.9,1388,28.63,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,306,1208,41.97,1346,28.79,udp,10,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,255,1062,40.56,1287,25.67,udp,10,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,822,2.13,830,2.31,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,783,2.44,835,2.21,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,876,1.8,871,1.86,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,777,2.38,832,2.32,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,756,2.58,832,2.65,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,782,2.56,840,2.7,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,770,2.31,834,2.42,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,776,2.2,844,2.21,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,779,2.5,837,2.36,idle,0,50
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,775,2.24,830,2.38,idle,0,50
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,12.1,964,6.62,1078,6.73,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,11.4,961,6.04,1075,6.38,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,13.0,966,6.64,1081,6.94,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,11.4,963,6.04,1077,6.15,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,11.3,964,6.01,1079,6.07,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,11.3,963,6.28,1076,6.32,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,11.4,964,6.3,1078,6.73,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,12.5,963,6.42,1081,6.73,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,10.7,967,5.78,1075,6.21,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,11.7,964,6.31,1075,6.87,tcp,5,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,77.0,962,20.19,1080,21.73,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,76.5,967,20.36,1082,21.24,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,73.7,955,20.35,1076,21.29,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,75.9,968,20.36,1083,21.72,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,75.6,965,20.67,1084,21.55,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,75.5,964,20.63,1091,21.54,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,75.0,964,20.12,1082,21.08,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,75.1,966,20.7,1082,21.78,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,73.7,966,20.15,1084,20.87,tcp,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,76.3,970,20.45,1086,22.1,tcp,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,776,2.61,833,2.63,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,779,2.75,833,2.74,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,786,2.28,838,2.18,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,783,2.51,843,2.71,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,778,2.58,830,2.68,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,781,2.64,836,2.74,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,781,2.8,841,3.13,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,779,2.69,839,2.84,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,781,2.6,844,2.56,idle,1,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,778,2.66,840,2.64,idle,1,0
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,26.5,1164,40.0,1127,5.95,udp,0,350
