benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,801,2.75,912,2.64,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,164,809,29.38,932,33.0,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,270,803,40.29,929,30.37,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,165,807,29.07,890,33.46,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,269,802,39.73,886,30.12,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,801,2.9,923,2.71,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,163,805,29.29,887,32.3,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,267,803,39.49,889,29.55,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,163,805,28.9,928,32.94,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,266,803,39.89,897,30.43,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,744,2.5,740,2.36,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,164,799,29.56,799,32.88,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,266,798,39.24,867,29.97,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,165,804,29.58,892,33.14,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,269,806,39.53,885,30.3,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,799,2.85,924,2.54,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,164,806,29.15,903,33.17,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,264,804,39.47,898,29.33,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,163,808,29.28,934,33.14,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,263,809,39.06,938,29.56,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,798,2.94,910,2.49,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,163,804,29.38,930,32.66,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,267,800,39.81,928,29.53,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,164,806,29.19,896,32.83,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,267,806,38.58,882,30.11,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,795,2.84,897,2.55,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,164,805,29.13,912,33.07,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,268,804,39.65,895,29.72,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,163,804,29.63,938,32.45,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,267,802,40.02,946,30.75,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,792,2.9,905,2.65,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,163,803,29.72,882,33.11,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,269,802,39.67,881,29.93,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,165,806,29.82,924,33.55,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,266,808,39.16,938,30.43,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,803,2.69,925,2.54,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,163,812,29.82,943,33.14,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,264,806,39.58,948,29.67,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,163,810,29.61,922,32.85,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,269,805,39.5,883,30.02,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,793,2.9,889,2.52,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,162,802,29.63,879,32.74,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,269,802,39.56,893,29.71,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,162,805,28.59,936,32.47,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,268,804,40.47,945,30.54,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,798,3.11,930,2.65,idle,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,163,804,29.52,941,33.0,tcp,1,0
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,266,807,39.85,941,29.57,udp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,164,808,29.34,907,32.71,tcp,1,0
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,265,806,39.25,897,29.36,udp,1,0
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,756,1.36,757,1.87,idle,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,19.4,764,6.76,739,7.86,tcp,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,19.9,776,31.76,773,5.52,udp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,23.5,796,7.78,803,9.0,tcp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,20.0,781,32.21,804,5.44,udp,0,350
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,745,1.39,847,2.14,idle,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,23.2,748,7.64,799,9.16,tcp,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,-1,-1,0.0,831,6.67,udp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,21.0,810,7.15,848,8.73,tcp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,22.3,793,31.63,857,5.88,udp,0,350
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,741,1.57,709,1.99,idle,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,19.3,783,6.89,739,7.81,tcp,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,25.5,790,31.84,782,6.59,udp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,21.1,764,7.17,794,8.45,tcp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,23.3,769,30.35,777,5.99,udp,0,350
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,747,1.37,840,2.58,idle,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,19.7,766,6.77,815,8.09,tcp,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,24.7,769,31.5,834,6.16,udp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,22.8,799,7.46,853,8.65,tcp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,22.7,782,32.08,858,6.04,udp,0,350
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,746,1.58,784,2.17,idle,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,22.2,749,7.18,767,9.15,tcp,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,25.5,754,31.23,840,6.85,udp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,21.3,796,7.09,864,8.34,tcp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,21.9,782,32.45,862,5.72,udp,0,350
22-headscale-relay,idle,l26-node03,l26-node02,2M,1230,0,768,1.48,844,1.87,idle,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,24.6,777,7.39,857,9.07,tcp,0,350
22-headscale-relay,pod2pod,l26-node03,l26-node02,2M,1230,25.1,772,31.8,834,6.18,udp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,23.5,809,7.62,843,9.0,tcp,0,350
22-headscale-relay,pod2svc,l26-node03,l26-node02,2M,1230,20.1,791,32.04,848,5.44,udp,0,350
