benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,524,745,23.53,781,22.21,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,742,24.13,774,23.13,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,511,756,23.82,783,22.47,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,508,749,22.97,782,23.21,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,742,25.13,773,22.7,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,399,745,23.4,773,18.08,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,499,747,23.86,775,22.96,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,512,742,23.92,782,22.67,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,745,25.41,776,23.11,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,509,746,23.07,775,22.82,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,523,734,23.49,769,22.03,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,506,751,23.5,783,23.48,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,529,746,25.54,776,22.67,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,497,745,23.72,778,22.71,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,492,746,24.04,778,23.03,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,495,744,22.44,780,20.48,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,509,748,23.79,769,22.86,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,494,749,23.82,782,23.33,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,519,740,23.46,774,22.38,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,490,744,22.54,777,21.7,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,370,753,21.77,761,16.8,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,524,748,25.5,775,22.63,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,511,744,25.3,776,23.24,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,741,24.18,776,22.93,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,522,741,25.45,769,22.98,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,512,749,23.91,776,23.02,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,750,23.59,776,21.83,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,509,744,24.13,776,22.92,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,487,745,23.82,777,23.0,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,487,751,23.52,780,23.23,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,520,748,23.34,780,22.44,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,525,747,25.52,771,23.14,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,523,746,23.67,784,22.45,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,512,754,23.7,783,21.72,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,514,742,23.89,777,22.97,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,506,748,23.31,782,23.34,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,742,25.17,773,23.19,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,509,748,23.7,782,22.48,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,512,751,25.48,764,23.4,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,741,25.24,764,23.19,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,523,746,25.4,783,23.13,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,524,743,25.84,770,22.91,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,519,754,23.77,781,21.76,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,487,743,24.04,775,22.95,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,749,23.61,780,23.32,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,524,751,23.7,785,21.64,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,438,749,21.87,779,20.05,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,525,752,25.43,780,23.15,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,498,745,25.15,774,23.47,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,519,744,25.3,770,23.29,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,510,748,23.72,782,23.18,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,534,749,26.09,767,22.11,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,507,745,24.85,776,22.95,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,517,753,24.07,781,23.17,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,521,747,25.76,772,22.87,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,509,751,23.29,778,22.71,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,528,756,23.9,776,22.59,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,525,748,25.51,765,22.94,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,749,23.3,782,22.98,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,750,24.17,783,23.51,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,751,23.58,778,21.95,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,514,744,24.18,773,22.87,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,501,752,23.91,783,22.44,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,751,23.37,783,22.84,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,514,746,25.38,784,22.68,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,514,752,23.48,782,22.78,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,748,25.2,758,23.18,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,752,24.27,781,22.87,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,517,741,25.35,778,23.44,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,750,25.48,774,23.22,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,527,743,25.75,771,22.56,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,509,749,23.69,776,23.03,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,508,743,23.59,777,22.67,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,512,740,25.39,779,23.21,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,748,25.02,782,22.31,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,742,25.28,775,23.12,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,521,753,23.66,777,21.89,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,752,23.71,782,22.74,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,517,754,23.9,781,22.81,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,398,742,23.59,777,19.63,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,522,751,24.52,782,23.19,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,510,754,23.81,786,22.2,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,517,752,23.64,778,22.76,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,513,743,24.8,775,23.23,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,512,752,23.32,784,22.93,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,491,745,23.61,777,23.11,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,511,748,23.32,781,22.4,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,520,747,23.7,777,20.43,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,519,754,23.83,781,22.69,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,521,755,23.87,784,22.82,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,516,750,23.25,775,22.17,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,528,748,25.38,776,22.92,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,518,751,23.81,780,21.89,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,517,754,24.1,781,22.94,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,426,755,22.15,783,19.32,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,514,743,25.25,776,23.39,udp,0,0
31-netbird-direct,pod2pod,l26-node03,l26-node02,2M,1230,507,756,23.59,778,23.39,udp,0,0
