benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,710,1.45,785,2.26,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,713,1.43,788,2.36,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,711,1.56,787,2.46,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,712,1.51,787,2.36,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,712,1.61,788,2.27,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,718,1.95,793,2.38,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,714,1.59,791,2.26,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,722,1.68,789,2.35,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,721,1.41,792,2.44,idle,0,350
32-netbird-relay,idle,l26-node03,l26-node02,2M,1230,0,718,1.92,786,2.5,idle,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,17.5,759,6.11,826,8.1,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,19.3,753,6.76,824,8.18,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,20.3,749,7.24,823,8.68,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,18.4,754,6.35,825,7.89,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,16.5,758,5.92,831,7.41,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,15.9,753,5.76,825,7.21,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,20.0,749,6.75,826,8.69,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,19.9,757,7.1,829,8.55,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,17.5,762,6.42,826,8.1,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,16.8,762,5.97,827,7.57,tcp,0,350
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,183,753,39.79,830,29.36,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,185,753,39.59,839,29.77,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,185,752,38.41,836,28.28,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,184,767,39.16,836,28.4,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,184,756,39.53,832,29.22,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,183,758,39.85,835,29.78,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,185,756,39.46,832,29.11,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,183,759,39.47,831,28.99,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,183,763,38.48,834,28.81,udp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,182,763,40.21,843,29.23,udp,0,50
