benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,764,2.4,809,2.67,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,766,2.28,809,2.68,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,775,2.36,812,2.68,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,764,2.37,806,2.62,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,767,2.34,812,2.67,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,769,2.16,809,2.63,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,770,2.22,806,2.72,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,768,2.38,805,2.74,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,769,2.4,804,2.65,idle,5,0
41-zerotier-direct,idle,l26-node03,l26-node02,2M,1230,0,771,2.51,807,2.58,idle,5,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,88.5,745,12.71,799,14.93,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,89.7,747,12.71,803,15.22,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,88.2,743,12.55,797,15.09,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,87.2,747,12.53,799,15.25,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,88.8,747,12.79,799,15.21,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,88.4,748,12.53,801,15.12,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,89.4,747,12.78,801,15.19,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,90.9,749,12.62,802,15.35,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,92.0,748,12.92,803,15.69,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,89.8,755,12.3,802,15.79,tcp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,357,765,25.79,812,20.47,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,349,765,25.97,821,20.26,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,313,765,25.98,817,19.97,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,335,766,26.6,818,20.23,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,335,763,26.08,817,20.6,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,317,769,25.36,815,19.13,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,341,770,25.55,818,19.86,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,358,-1,0.0,813,20.25,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,337,774,25.92,812,19.92,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,354,776,26.49,814,20.84,udp,10,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,342,766,26.67,813,20.76,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,368,766,27.05,812,21.04,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,338,767,26.55,811,20.22,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,355,764,26.78,824,20.92,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,346,762,26.44,808,21.02,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,344,764,26.71,811,20.68,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,359,764,26.97,817,21.02,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,340,759,26.48,811,21.38,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,352,765,26.84,820,21.02,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,334,765,26.88,821,20.73,udp,1,0
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,157,753,14.65,796,18.73,tcp,0,50
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,152,754,14.57,799,18.48,tcp,0,50
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,157,749,14.74,797,18.25,tcp,0,50
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,158,751,14.73,798,18.42,tcp,0,50
41-zerotier-direct,pod2pod,l26-node03,l26-node02,2M,1230,155,752,14.8,798,18.5,tcp,0,50
