benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,818,1.93,920,1.87,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,33.2,861,3.66,932,5.57,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,38.5,840,17.64,927,5.09,udp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,29.3,791,3.56,926,5.3,tcp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,37.4,787,16.2,923,4.85,udp,0,250
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,791,1.73,914,1.91,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,29.8,824,3.58,921,5.28,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,36.0,814,17.4,924,4.85,udp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,34.5,790,3.69,927,5.99,tcp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,-1,-1,0.0,922,4.56,udp,0,250
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,819,1.31,914,1.68,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,34.0,851,4.0,922,6.11,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,43.2,834,17.85,924,5.55,udp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,35.5,795,3.79,924,6.07,tcp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,41.2,783,16.39,923,5.24,udp,0,250
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,803,1.95,915,1.81,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,25.9,826,3.48,925,5.14,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,43.3,823,17.93,920,5.46,udp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,41.0,827,4.64,930,6.61,tcp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,41.7,818,17.12,922,5.04,udp,0,250
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,774,1.17,914,1.75,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,32.8,793,4.47,930,5.92,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,36.7,837,17.91,923,4.79,udp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,30.2,822,3.63,925,5.51,tcp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,39.8,813,16.27,924,5.18,udp,0,250
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,817,2.14,914,1.74,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,38.9,863,4.28,923,6.67,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,-1,-1,0.0,922,5.26,udp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,34.5,792,3.71,926,5.94,tcp,0,250
42-zerotier-relay,pod2svc,l26-node03,l26-node02,2M,1230,32.6,782,15.99,924,4.5,udp,0,250
42-zerotier-relay,idle,l26-node03,l26-node02,2M,1230,0,791,1.59,909,1.73,idle,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,32.0,822,3.77,922,5.75,tcp,0,250
42-zerotier-relay,pod2pod,l26-node03,l26-node02,2M,1230,41.8,818,17.68,923,5.29,udp,0,250
