benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,727,2.47,795,2.47,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,187.0,733,7.09,798,9.74,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,638.0,733,14.82,802,15.98,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,185.0,735,7.21,805,9.86,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,605.0,733,14.72,800,15.23,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,732,2.59,799,2.31,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,186.0,731,7.34,806,9.88,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,660.0,730,15.13,801,16.48,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,184.0,736,7.74,803,9.55,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,630.0,728,14.59,803,15.84,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,723,1.82,790,1.78,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,190.0,732,7.17,801,10.14,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,655.0,731,14.97,799,16.35,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,185.0,731,7.4,800,9.42,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,608.0,732,14.61,798,15.41,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,732,2.44,796,2.35,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,183.0,732,7.26,803,9.53,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,619.0,733,14.49,801,15.74,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,184.0,732,7.36,795,9.64,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,610.0,733,14.68,802,16.17,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,728,2.36,798,2.29,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,188.0,736,7.28,801,9.69,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,653.0,735,14.87,802,16.33,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,186.0,730,7.21,807,9.89,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,621.0,728,14.58,803,15.91,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,735,2.13,797,2.28,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,187.0,731,7.42,801,9.77,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,632.0,732,14.72,803,16.37,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,185.0,733,7.48,806,9.59,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,598.0,732,14.57,805,15.68,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,730,2.46,791,2.27,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,188.0,729,7.73,806,10.03,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,653.0,728,15.0,802,16.36,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,187.0,734,7.58,805,9.94,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,604.0,734,14.39,798,15.52,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,731,2.27,796,2.44,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,184.0,729,7.33,800,9.63,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,637.0,734,14.84,803,16.1,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,187.0,738,7.22,803,9.68,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,579.0,736,14.73,799,14.9,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,732,2.39,794,2.48,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,191.0,732,7.65,803,9.81,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,631.0,733,14.94,802,15.79,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,188.0,735,7.74,804,9.71,tcp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,634.0,733,14.78,802,15.88,udp,1,0
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,728,2.42,791,2.24,idle,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,188.0,731,7.59,803,9.64,tcp,1,0
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,622.0,736,14.63,801,15.94,udp,1,0
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,182.0,734,7.54,800,9.81,tcp,1,0
