Connecting to host knb-server-58889, port 5201
[  5] local 10.136.173.78 port 58526 connected to 10.43.35.194 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  66.9 MBytes   561 Mbits/sec   69    158 KBytes       (omitted)
[  5]   0.00-1.00   sec  86.3 MBytes   724 Mbits/sec   43    153 KBytes       
[  5]   1.00-2.00   sec  85.7 MBytes   719 Mbits/sec   38    259 KBytes       
[  5]   2.00-3.00   sec  85.6 MBytes   718 Mbits/sec   52    161 KBytes       
[  5]   3.00-4.00   sec  84.8 MBytes   712 Mbits/sec   46    146 KBytes       
[  5]   4.00-5.00   sec  85.0 MBytes   713 Mbits/sec   48    209 KBytes       
[  5]   5.00-6.00   sec  85.6 MBytes   718 Mbits/sec   43    212 KBytes       
[  5]   6.00-7.00   sec  85.1 MBytes   714 Mbits/sec   73    177 KBytes       
[  5]   7.00-8.00   sec  85.6 MBytes   718 Mbits/sec   45    156 KBytes       
[  5]   8.00-9.00   sec  67.7 MBytes   568 Mbits/sec   55    143 KBytes       
[  5]   9.00-10.00  sec  85.5 MBytes   717 Mbits/sec   37    190 KBytes       
[  5]  10.00-11.00  sec  85.7 MBytes   719 Mbits/sec   75    165 KBytes       
[  5]  11.00-12.00  sec  85.5 MBytes   717 Mbits/sec   47    159 KBytes       
[  5]  12.00-13.00  sec  85.5 MBytes   717 Mbits/sec   34    159 KBytes       
[  5]  13.00-14.00  sec  85.5 MBytes   717 Mbits/sec   51    112 KBytes       
[  5]  14.00-15.00  sec  84.9 MBytes   712 Mbits/sec   88    121 KBytes       
[  5]  15.00-16.00  sec  85.9 MBytes   721 Mbits/sec   53    113 KBytes       
[  5]  16.00-17.00  sec  85.5 MBytes   717 Mbits/sec   40    189 KBytes       
[  5]  17.00-18.00  sec  68.0 MBytes   571 Mbits/sec   52    160 KBytes       
[  5]  18.00-19.00  sec  84.7 MBytes   711 Mbits/sec   54    117 KBytes       
[  5]  19.00-20.00  sec  85.2 MBytes   715 Mbits/sec   49    159 KBytes       
[  5]  20.00-21.00  sec  85.6 MBytes   718 Mbits/sec   58    175 KBytes       
[  5]  21.00-22.00  sec  84.9 MBytes   712 Mbits/sec   71    155 KBytes       
[  5]  22.00-23.00  sec  85.8 MBytes   719 Mbits/sec   38    173 KBytes       
[  5]  23.00-24.00  sec  85.5 MBytes   717 Mbits/sec   57    183 KBytes       
[  5]  24.00-25.00  sec  85.5 MBytes   717 Mbits/sec   44    189 KBytes       
[  5]  25.00-26.00  sec  85.5 MBytes   717 Mbits/sec   55    160 KBytes       
[  5]  26.00-27.00  sec  85.3 MBytes   716 Mbits/sec   47    181 KBytes       
[  5]  27.00-28.00  sec  85.3 MBytes   715 Mbits/sec   72    140 KBytes       
[  5]  28.00-29.00  sec  85.2 MBytes   715 Mbits/sec   32    273 KBytes       
[  5]  29.00-30.00  sec  85.5 MBytes   717 Mbits/sec   60    140 KBytes       
[  5]  30.00-31.00  sec  85.6 MBytes   718 Mbits/sec   42    156 KBytes       
[  5]  31.00-32.00  sec  84.6 MBytes   710 Mbits/sec   53    204 KBytes       
[  5]  32.00-33.00  sec  85.5 MBytes   717 Mbits/sec   47    159 KBytes       
[  5]  33.00-34.00  sec  85.3 MBytes   716 Mbits/sec   71    112 KBytes       
