Connecting to host 10.136.80.143, port 5201
[  5] local 10.136.173.101 port 58998 connected to 10.136.80.143 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  79.9 MBytes   670 Mbits/sec  71100  (omitted)
[  5]   0.00-1.00   sec  67.0 MBytes   562 Mbits/sec  59680  
[  5]   1.00-2.00   sec  80.6 MBytes   676 Mbits/sec  71780  
[  5]   2.00-3.00   sec  81.0 MBytes   679 Mbits/sec  72090  
[  5]   3.00-4.00   sec  80.1 MBytes   672 Mbits/sec  71300  
[  5]   4.00-5.00   sec  80.7 MBytes   677 Mbits/sec  71840  
[  5]   5.00-6.00   sec  80.2 MBytes   673 Mbits/sec  71380  
[  5]   6.00-7.00   sec  78.8 MBytes   661 Mbits/sec  70160  
[  5]   7.00-8.00   sec  79.4 MBytes   666 Mbits/sec  70680  
[  5]   8.00-9.00   sec  79.8 MBytes   669 Mbits/sec  71030  
[  5]   9.00-10.00  sec  79.5 MBytes   667 Mbits/sec  70750  
[  5]  10.00-11.00  sec  80.0 MBytes   671 Mbits/sec  71180  
[  5]  11.00-12.00  sec  79.8 MBytes   669 Mbits/sec  71020  
[  5]  12.00-13.00  sec  79.8 MBytes   669 Mbits/sec  71010  
[  5]  13.00-14.00  sec  80.2 MBytes   673 Mbits/sec  71380  
[  5]  14.00-15.00  sec  79.8 MBytes   669 Mbits/sec  71010  
[  5]  15.00-16.00  sec  79.1 MBytes   664 Mbits/sec  70410  
[  5]  16.00-17.00  sec  77.8 MBytes   652 Mbits/sec  69240  
[  5]  17.00-18.00  sec  79.0 MBytes   662 Mbits/sec  70280  
[  5]  18.00-19.00  sec  79.7 MBytes   668 Mbits/sec  70910  
[  5]  19.00-20.00  sec  80.7 MBytes   677 Mbits/sec  71820  
[  5]  20.00-21.00  sec  78.5 MBytes   658 Mbits/sec  69850  
[  5]  21.00-22.00  sec  79.2 MBytes   665 Mbits/sec  70530  
[  5]  22.00-23.00  sec  79.1 MBytes   664 Mbits/sec  70430  
[  5]  23.00-24.00  sec  79.2 MBytes   664 Mbits/sec  70510  
[  5]  24.00-25.00  sec  80.2 MBytes   673 Mbits/sec  71370  
[  5]  25.00-26.00  sec  79.9 MBytes   670 Mbits/sec  71090  
[  5]  26.00-27.00  sec  79.5 MBytes   667 Mbits/sec  70750  
[  5]  27.00-28.00  sec  81.7 MBytes   685 Mbits/sec  72680  
[  5]  28.00-29.00  sec  79.7 MBytes   669 Mbits/sec  70930  
[  5]  29.00-30.00  sec  78.9 MBytes   662 Mbits/sec  70270  
[  5]  30.00-31.00  sec  79.0 MBytes   663 Mbits/sec  70340  
[  5]  31.00-32.00  sec  79.1 MBytes   664 Mbits/sec  70450  
[  5]  32.00-33.00  sec  81.7 MBytes   686 Mbits/sec  72750  
[  5]  33.00-34.00  sec  79.9 MBytes   670 Mbits/sec  71140  
[  5]  34.00-35.00  sec  79.1 MBytes   664 Mbits/sec  70420  
[  5]  35.00-36.00  sec  80.1 MBytes   672 Mbits/sec  71270  
[  5]  36.00-37.00  sec  78.6 MBytes   659 Mbits/sec  69970  
[  5]  37.00-38.00  sec  79.3 MBytes   665 Mbits/sec  70580  
[  5]  38.00-39.00  sec  79.4 MBytes   666 Mbits/sec  70650  
[  5]  39.00-40.00  sec  79.1 MBytes   663 Mbits/sec  70370  
[  5]  40.00-41.00  sec  79.2 MBytes   664 Mbits/sec  70480  
[  5]  41.00-42.00  sec  78.7 MBytes   660 Mbits/sec  70030  
[  5]  42.00-43.00  sec  80.0 MBytes   671 Mbits/sec  71200  
[  5]  43.00-44.00  sec  79.7 MBytes   669 Mbits/sec  70950  
[  5]  44.00-45.00  sec  80.0 MBytes   671 Mbits/sec  71240  
[  5]  45.00-46.00  sec  80.4 MBytes   674 Mbits/sec  71540  
[  5]  46.00-47.00  sec  79.6 MBytes   668 Mbits/sec  70840  
[  5]  47.00-48.00  sec  80.0 MBytes   671 Mbits/sec  71200  
[  5]  48.00-49.00  sec  80.0 MBytes   671 Mbits/sec  71250  
[  5]  49.00-50.00  sec  80.4 MBytes   675 Mbits/sec  71610  
[  5]  50.00-51.00  sec  79.5 MBytes   667 Mbits/sec  70740  
[  5]  51.00-52.00  sec  78.3 MBytes   657 Mbits/sec  69710  
[  5]  52.00-53.00  sec  78.6 MBytes   659 Mbits/sec  69970  
[  5]  53.00-54.00  sec  79.3 MBytes   666 Mbits/sec  70620  
[  5]  54.00-55.00  sec  79.3 MBytes   666 Mbits/sec  70620  
[  5]  55.00-56.00  sec  79.4 MBytes   666 Mbits/sec  70660  
[  5]  56.00-57.00  sec  80.7 MBytes   677 Mbits/sec  71800  
[  5]  57.00-58.00  sec  80.2 MBytes   673 Mbits/sec  71430  
[  5]  58.00-59.00  sec  81.0 MBytes   679 Mbits/sec  72060  
[  5]  59.00-60.00  sec  78.5 MBytes   658 Mbits/sec  69840  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.66 GBytes   666 Mbits/sec  0.000 ms  0/4243090 (0%)  sender
[  5]   0.00-60.04  sec  4.65 GBytes   666 Mbits/sec  0.013 ms  5518/4243088 (0.13%)  receiver

iperf Done.
