Connecting to host 10.136.80.158, port 5201
[  5] local 10.136.173.82 port 56458 connected to 10.136.80.158 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  84.7 MBytes   711 Mbits/sec   60    161 KBytes       (omitted)
[  5]   0.00-1.00   sec  86.1 MBytes   722 Mbits/sec   74    190 KBytes       
[  5]   1.00-2.00   sec  85.1 MBytes   714 Mbits/sec   38    136 KBytes       
[  5]   2.00-3.00   sec  85.5 MBytes   717 Mbits/sec   44    179 KBytes       
[  5]   3.00-4.00   sec  85.9 MBytes   721 Mbits/sec   36    178 KBytes       
[  5]   4.00-5.00   sec  85.4 MBytes   717 Mbits/sec   62    182 KBytes       
[  5]   5.00-6.00   sec  85.5 MBytes   717 Mbits/sec   51    138 KBytes       
[  5]   6.00-7.00   sec  85.5 MBytes   717 Mbits/sec   52   86.3 KBytes       
[  5]   7.00-8.00   sec  85.9 MBytes   720 Mbits/sec   57    115 KBytes       
[  5]   8.00-9.00   sec  83.8 MBytes   703 Mbits/sec   67    179 KBytes       
[  5]   9.00-10.00  sec  85.5 MBytes   717 Mbits/sec   61    153 KBytes       
[  5]  10.00-11.00  sec  85.2 MBytes   714 Mbits/sec   55    190 KBytes       
[  5]  11.00-12.00  sec  84.8 MBytes   712 Mbits/sec   79    173 KBytes       
[  5]  12.00-13.00  sec  85.3 MBytes   716 Mbits/sec   38    154 KBytes       
[  5]  13.00-14.00  sec  85.1 MBytes   714 Mbits/sec   46    167 KBytes       
[  5]  14.00-15.00  sec  85.3 MBytes   715 Mbits/sec   50    124 KBytes       
[  5]  15.00-16.00  sec  85.0 MBytes   713 Mbits/sec   40    166 KBytes       
[  5]  16.00-17.00  sec  85.6 MBytes   718 Mbits/sec   52    106 KBytes       
[  5]  17.00-18.00  sec  85.5 MBytes   717 Mbits/sec   35    151 KBytes       
[  5]  18.00-19.00  sec  84.3 MBytes   707 Mbits/sec   39    216 KBytes       
[  5]  19.00-20.00  sec  85.5 MBytes   717 Mbits/sec   51    207 KBytes       
[  5]  20.00-21.00  sec  85.0 MBytes   713 Mbits/sec   46    154 KBytes       
[  5]  21.00-22.00  sec  84.8 MBytes   711 Mbits/sec   45    155 KBytes       
[  5]  22.00-23.00  sec  85.0 MBytes   713 Mbits/sec   43    208 KBytes       
[  5]  23.00-24.00  sec  84.8 MBytes   711 Mbits/sec   43    148 KBytes       
[  5]  24.00-25.00  sec  85.1 MBytes   714 Mbits/sec   49    156 KBytes       
[  5]  25.00-26.00  sec  85.2 MBytes   715 Mbits/sec   47    191 KBytes       
[  5]  26.00-27.00  sec  85.0 MBytes   713 Mbits/sec   50    201 KBytes       
[  5]  27.00-28.00  sec  85.0 MBytes   713 Mbits/sec   55    133 KBytes       
[  5]  28.00-29.00  sec  83.9 MBytes   704 Mbits/sec   42    232 KBytes       
[  5]  29.00-30.00  sec  85.4 MBytes   716 Mbits/sec   45    234 KBytes       
[  5]  30.00-31.00  sec  85.7 MBytes   719 Mbits/sec   59    143 KBytes       
[  5]  31.00-32.00  sec  84.7 MBytes   710 Mbits/sec   58    156 KBytes       
[  5]  32.00-33.00  sec  85.6 MBytes   718 Mbits/sec   25    201 KBytes       
[  5]  33.00-34.00  sec  85.0 MBytes   713 Mbits/sec   39    189 KBytes       
[  5]  34.00-35.00  sec  85.3 MBytes   716 Mbits/sec   38    204 KBytes       
[  5]  35.00-36.00  sec  85.7 MBytes   719 Mbits/sec   50    190 KBytes       
[  5]  36.00-37.00  sec  85.0 MBytes   713 Mbits/sec   29    184 KBytes       
[  5]  37.00-38.00  sec  85.8 MBytes   720 Mbits/sec   56    185 KBytes       
[  5]  38.00-39.00  sec  84.1 MBytes   705 Mbits/sec   49    160 KBytes       
[  5]  39.00-40.00  sec  85.1 MBytes   714 Mbits/sec   45    159 KBytes       
[  5]  40.00-41.00  sec  85.3 MBytes   715 Mbits/sec   27    113 KBytes       
[  5]  41.00-42.00  sec  85.3 MBytes   716 Mbits/sec   49    159 KBytes       
[  5]  42.00-43.00  sec  85.3 MBytes   716 Mbits/sec   28    228 KBytes       
[  5]  43.00-44.00  sec  85.8 MBytes   719 Mbits/sec   46    196 KBytes       
[  5]  44.00-45.00  sec  85.3 MBytes   715 Mbits/sec   52    155 KBytes       
[  5]  45.00-46.00  sec  85.9 MBytes   721 Mbits/sec   27    189 KBytes       
[  5]  46.00-47.00  sec  85.3 MBytes   716 Mbits/sec   38    200 KBytes       
[  5]  47.00-48.00  sec  85.7 MBytes   719 Mbits/sec   45    198 KBytes       
[  5]  48.00-49.00  sec  84.8 MBytes   711 Mbits/sec   58    145 KBytes       
[  5]  49.00-50.00  sec  84.5 MBytes   709 Mbits/sec   49    159 KBytes       
[  5]  50.00-51.00  sec  84.6 MBytes   710 Mbits/sec   80    158 KBytes       
[  5]  51.00-52.00  sec  85.3 MBytes   716 Mbits/sec   62    193 KBytes       
[  5]  52.00-53.00  sec  85.8 MBytes   719 Mbits/sec   36    154 KBytes       
[  5]  53.00-54.00  sec  84.8 MBytes   712 Mbits/sec   38    116 KBytes       
[  5]  54.00-55.00  sec  85.6 MBytes   718 Mbits/sec   47    160 KBytes       
[  5]  55.00-56.00  sec  85.0 MBytes   713 Mbits/sec   38    186 KBytes       
[  5]  56.00-57.00  sec  85.5 MBytes   717 Mbits/sec   36    201 KBytes       
[  5]  57.00-58.00  sec  85.2 MBytes   715 Mbits/sec   58    160 KBytes       
[  5]  58.00-59.00  sec  84.1 MBytes   705 Mbits/sec   64    209 KBytes       
