Connecting to host 10.136.80.158, port 5201
[  5] local 10.136.173.78 port 48882 connected to 10.136.80.158 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  92.0 KBytes  0.75 Mbits/sec    0   23.0 KBytes       (omitted)
[  5]   0.00-1.00   sec   498 KBytes  4.08 Mbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  3.72 MBytes  31.2 Mbits/sec    0   1.44 MBytes       
[  5]   2.00-3.00   sec  1.25 MBytes  10.5 Mbits/sec  862    653 KBytes       
[  5]   3.00-4.00   sec  3.75 MBytes  31.5 Mbits/sec  410   1.46 MBytes       
[  5]   4.00-5.00   sec  2.50 MBytes  21.0 Mbits/sec  603   1.30 MBytes       
[  5]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec  159    931 KBytes       
[  5]   6.00-7.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1007 KBytes       
[  5]   7.00-8.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1.03 MBytes       
[  5]   8.00-9.00   sec  3.75 MBytes  31.5 Mbits/sec   11    758 KBytes       
[  5]   9.00-10.00  sec  2.50 MBytes  21.0 Mbits/sec    0    823 KBytes       
[  5]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    865 KBytes       
[  5]  11.00-12.00  sec  2.50 MBytes  21.0 Mbits/sec    0    892 KBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  21.0 Mbits/sec    0    905 KBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0    916 KBytes       
[  5]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0    919 KBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0    919 KBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0    919 KBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0    923 KBytes       
[  5]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec    0    932 KBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  21.0 Mbits/sec    0    947 KBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0    974 KBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1018 KBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.05 MBytes       
