Connecting to host knb-server-521156, port 5201
[  5] local 10.136.173.80 port 49156 connected to 10.43.180.107 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  89.7 KBytes  0.73 Mbits/sec    0   23.0 KBytes       (omitted)
[  5]   0.00-1.00   sec   454 KBytes  3.72 Mbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  2.51 MBytes  21.1 Mbits/sec    0   1.43 MBytes       
[  5]   2.00-3.00   sec  2.50 MBytes  21.0 Mbits/sec  1067    814 KBytes       
[  5]   3.00-4.00   sec  3.75 MBytes  31.5 Mbits/sec  214   1.45 MBytes       
[  5]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec  597   1.30 MBytes       
[  5]   5.00-6.00   sec  2.50 MBytes  21.0 Mbits/sec  160    936 KBytes       
[  5]   6.00-7.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1010 KBytes       
[  5]   7.00-8.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.04 MBytes       
[  5]   8.00-9.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1.07 MBytes       
[  5]   9.00-10.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.09 MBytes       
[  5]  10.00-11.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.10 MBytes       
[  5]  11.00-12.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.11 MBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.11 MBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.11 MBytes       
[  5]  15.00-16.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.11 MBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.13 MBytes       
[  5]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec   23    794 KBytes       
[  5]  18.00-19.00  sec  3.75 MBytes  31.5 Mbits/sec    0    597 KBytes       
[  5]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0    636 KBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0    665 KBytes       
[  5]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0    681 KBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0    689 KBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0    691 KBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    0    691 KBytes       
[  5]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0    691 KBytes       
[  5]  26.00-27.00  sec  2.50 MBytes  21.0 Mbits/sec    0    696 KBytes       
[  5]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0    706 KBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec    0    725 KBytes       
[  5]  29.00-30.00  sec  2.50 MBytes  21.0 Mbits/sec    0    757 KBytes       
[  5]  30.00-31.00  sec  2.50 MBytes  21.0 Mbits/sec    0    805 KBytes       
[  5]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    872 KBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  21.0 Mbits/sec    0    932 KBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.02 MBytes       
[  5]  34.00-35.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.15 MBytes       
[  5]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec   70    856 KBytes       
[  5]  36.00-37.00  sec  3.75 MBytes  31.5 Mbits/sec    0    957 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.02 MBytes       
[  5]  38.00-39.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.12 MBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec   14    811 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0    875 KBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0    921 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    953 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0    971 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0    980 KBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0    985 KBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0    985 KBytes       
[  5]  48.00-49.00  sec  2.50 MBytes  21.0 Mbits/sec    0    985 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0    988 KBytes       
