Connecting to host 10.136.80.161, port 5201
[  5] local 10.136.173.95 port 45656 connected to 10.136.80.161 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  70.4 MBytes   591 Mbits/sec  62690  (omitted)
[  5]   0.00-1.00   sec  72.4 MBytes   607 Mbits/sec  64420  
[  5]   1.00-2.00   sec  79.5 MBytes   667 Mbits/sec  70780  
[  5]   2.00-3.00   sec  78.4 MBytes   658 Mbits/sec  69820  
[  5]   3.00-4.00   sec  78.5 MBytes   659 Mbits/sec  69890  
[  5]   4.00-5.00   sec  78.6 MBytes   659 Mbits/sec  69970  
[  5]   5.00-6.00   sec  78.9 MBytes   662 Mbits/sec  70210  
[  5]   6.00-7.00   sec  79.5 MBytes   667 Mbits/sec  70800  
[  5]   7.00-8.00   sec  78.5 MBytes   658 Mbits/sec  69840  
[  5]   8.00-9.00   sec  78.8 MBytes   661 Mbits/sec  70180  
[  5]   9.00-10.00  sec  78.7 MBytes   660 Mbits/sec  70090  
[  5]  10.00-11.00  sec  78.8 MBytes   661 Mbits/sec  70100  
[  5]  11.00-12.00  sec  79.1 MBytes   663 Mbits/sec  70380  
[  5]  12.00-13.00  sec  79.1 MBytes   663 Mbits/sec  70400  
[  5]  13.00-14.00  sec  78.7 MBytes   660 Mbits/sec  70070  
[  5]  14.00-15.00  sec  79.0 MBytes   663 Mbits/sec  70300  
[  5]  15.00-16.00  sec  79.1 MBytes   663 Mbits/sec  70370  
[  5]  16.00-17.00  sec  79.1 MBytes   664 Mbits/sec  70450  
[  5]  17.00-18.00  sec  77.3 MBytes   648 Mbits/sec  68810  
[  5]  18.00-19.00  sec  78.5 MBytes   659 Mbits/sec  69910  
[  5]  19.00-20.00  sec  78.9 MBytes   662 Mbits/sec  70260  
[  5]  20.00-21.00  sec  78.9 MBytes   662 Mbits/sec  70230  
[  5]  21.00-22.00  sec  78.9 MBytes   662 Mbits/sec  70270  
[  5]  22.00-23.00  sec  79.0 MBytes   662 Mbits/sec  70280  
[  5]  23.00-24.00  sec  78.5 MBytes   659 Mbits/sec  69910  
[  5]  24.00-25.00  sec  78.7 MBytes   660 Mbits/sec  70070  
[  5]  25.00-26.00  sec  76.8 MBytes   644 Mbits/sec  68380  
[  5]  26.00-27.00  sec  78.6 MBytes   659 Mbits/sec  69950  
[  5]  27.00-28.00  sec  77.3 MBytes   649 Mbits/sec  68820  
[  5]  28.00-29.00  sec  78.6 MBytes   659 Mbits/sec  69930  
[  5]  29.00-30.00  sec  79.1 MBytes   663 Mbits/sec  70380  
[  5]  30.00-31.00  sec  77.5 MBytes   650 Mbits/sec  68990  
[  5]  31.00-32.00  sec  78.1 MBytes   655 Mbits/sec  69500  
[  5]  32.00-33.00  sec  76.7 MBytes   644 Mbits/sec  68300  
[  5]  33.00-34.00  sec  78.3 MBytes   657 Mbits/sec  69730  
[  5]  34.00-35.00  sec  78.2 MBytes   656 Mbits/sec  69570  
[  5]  35.00-36.00  sec  79.0 MBytes   663 Mbits/sec  70340  
[  5]  36.00-37.00  sec  79.4 MBytes   666 Mbits/sec  70660  
[  5]  37.00-38.00  sec  78.0 MBytes   654 Mbits/sec  69450  
[  5]  38.00-39.00  sec  78.3 MBytes   657 Mbits/sec  69720  
[  5]  39.00-40.00  sec  78.3 MBytes   657 Mbits/sec  69710  
[  5]  40.00-41.00  sec  78.4 MBytes   658 Mbits/sec  69810  
[  5]  41.00-42.00  sec  78.6 MBytes   659 Mbits/sec  69920  
[  5]  42.00-43.00  sec  78.4 MBytes   658 Mbits/sec  69820  
[  5]  43.00-44.00  sec  78.0 MBytes   655 Mbits/sec  69450  
[  5]  44.00-45.00  sec  78.3 MBytes   657 Mbits/sec  69670  
[  5]  45.00-46.00  sec  78.8 MBytes   661 Mbits/sec  70140  
[  5]  46.00-47.00  sec  79.3 MBytes   665 Mbits/sec  70590  
[  5]  47.00-48.00  sec  77.9 MBytes   654 Mbits/sec  69340  
[  5]  48.00-49.00  sec  76.8 MBytes   644 Mbits/sec  68390  
[  5]  49.00-50.00  sec  77.7 MBytes   652 Mbits/sec  69150  
[  5]  50.00-51.00  sec  78.3 MBytes   657 Mbits/sec  69710  
[  5]  51.00-52.00  sec  77.7 MBytes   652 Mbits/sec  69160  
[  5]  52.00-53.00  sec  78.1 MBytes   656 Mbits/sec  69560  
[  5]  53.00-54.00  sec  77.9 MBytes   653 Mbits/sec  69310  
[  5]  54.00-55.00  sec  78.1 MBytes   655 Mbits/sec  69500  
[  5]  55.00-56.00  sec  78.7 MBytes   660 Mbits/sec  70060  
[  5]  56.00-57.00  sec  78.5 MBytes   659 Mbits/sec  69880  
[  5]  57.00-58.00  sec  77.5 MBytes   650 Mbits/sec  69000  
[  5]  58.00-59.00  sec  77.8 MBytes   653 Mbits/sec  69280  
[  5]  59.00-60.00  sec  74.3 MBytes   624 Mbits/sec  66170  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.58 GBytes   656 Mbits/sec  0.000 ms  0/4179150 (0%)  sender
[  5]   0.00-60.09  sec  1.32 GBytes   188 Mbits/sec  0.024 ms  3023280/4179150 (72%)  receiver

iperf Done.
