Connecting to host knb-server-371041, port 5201
[  5] local 10.136.173.121 port 60027 connected to 10.43.231.95 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  68.0 MBytes   571 Mbits/sec  60540  (omitted)
[  5]   0.00-1.00   sec  72.2 MBytes   605 Mbits/sec  64240  
[  5]   1.00-2.00   sec  76.2 MBytes   639 Mbits/sec  67840  
[  5]   2.00-3.00   sec  76.6 MBytes   643 Mbits/sec  68180  
[  5]   3.00-4.00   sec  76.2 MBytes   639 Mbits/sec  67850  
[  5]   4.00-5.00   sec  76.2 MBytes   639 Mbits/sec  67820  
[  5]   5.00-6.00   sec  77.6 MBytes   651 Mbits/sec  69100  
[  5]   6.00-7.00   sec  77.3 MBytes   648 Mbits/sec  68790  
[  5]   7.00-8.00   sec  76.8 MBytes   644 Mbits/sec  68320  
[  5]   8.00-9.00   sec  77.2 MBytes   648 Mbits/sec  68750  
[  5]   9.00-10.00  sec  76.9 MBytes   645 Mbits/sec  68490  
[  5]  10.00-11.00  sec  76.5 MBytes   642 Mbits/sec  68100  
[  5]  11.00-12.00  sec  75.8 MBytes   636 Mbits/sec  67480  
[  5]  12.00-13.00  sec  75.2 MBytes   631 Mbits/sec  66960  
[  5]  13.00-14.00  sec  76.6 MBytes   642 Mbits/sec  68140  
[  5]  14.00-15.00  sec  76.0 MBytes   638 Mbits/sec  67650  
[  5]  15.00-16.00  sec  76.7 MBytes   643 Mbits/sec  68270  
[  5]  16.00-17.00  sec  77.1 MBytes   647 Mbits/sec  68620  
[  5]  17.00-18.00  sec  77.5 MBytes   650 Mbits/sec  68960  
[  5]  18.00-19.00  sec  76.9 MBytes   645 Mbits/sec  68430  
[  5]  19.00-20.00  sec  77.0 MBytes   646 Mbits/sec  68510  
[  5]  20.00-21.00  sec  76.0 MBytes   638 Mbits/sec  67680  
[  5]  21.00-22.00  sec  75.4 MBytes   632 Mbits/sec  67100  
[  5]  22.00-23.00  sec  76.7 MBytes   644 Mbits/sec  68290  
[  5]  23.00-24.00  sec  76.5 MBytes   642 Mbits/sec  68130  
[  5]  24.00-25.00  sec  76.6 MBytes   642 Mbits/sec  68150  
[  5]  25.00-26.00  sec  76.4 MBytes   641 Mbits/sec  68030  
[  5]  26.00-27.00  sec  76.5 MBytes   641 Mbits/sec  68070  
[  5]  27.00-28.00  sec  76.7 MBytes   644 Mbits/sec  68290  
[  5]  28.00-29.00  sec  77.6 MBytes   651 Mbits/sec  69110  
[  5]  29.00-30.00  sec  76.6 MBytes   643 Mbits/sec  68190  
[  5]  30.00-31.00  sec  75.3 MBytes   631 Mbits/sec  66990  
[  5]  31.00-32.00  sec  75.3 MBytes   632 Mbits/sec  67020  
[  5]  32.00-33.00  sec  76.5 MBytes   641 Mbits/sec  68060  
[  5]  33.00-34.00  sec  76.6 MBytes   643 Mbits/sec  68220  
[  5]  34.00-35.00  sec  75.9 MBytes   637 Mbits/sec  67590  
[  5]  35.00-36.00  sec  77.2 MBytes   647 Mbits/sec  68680  
[  5]  36.00-37.00  sec  77.2 MBytes   647 Mbits/sec  68680  
[  5]  37.00-38.00  sec  76.4 MBytes   641 Mbits/sec  68010  
[  5]  38.00-39.00  sec  76.8 MBytes   644 Mbits/sec  68320  
[  5]  39.00-40.00  sec  75.9 MBytes   637 Mbits/sec  67570  
[  5]  40.00-41.00  sec  75.5 MBytes   633 Mbits/sec  67220  
[  5]  41.00-42.00  sec  76.2 MBytes   639 Mbits/sec  67850  
[  5]  42.00-43.00  sec  76.8 MBytes   645 Mbits/sec  68400  
[  5]  43.00-44.00  sec  77.2 MBytes   647 Mbits/sec  68690  
[  5]  44.00-45.00  sec  76.4 MBytes   641 Mbits/sec  68050  
[  5]  45.00-46.00  sec  76.9 MBytes   645 Mbits/sec  68480  
[  5]  46.00-47.00  sec  76.4 MBytes   641 Mbits/sec  67980  
[  5]  47.00-48.00  sec  76.3 MBytes   640 Mbits/sec  67880  
[  5]  48.00-49.00  sec  75.3 MBytes   631 Mbits/sec  67000  
[  5]  49.00-50.00  sec  76.0 MBytes   638 Mbits/sec  67680  
[  5]  50.00-51.00  sec  75.4 MBytes   633 Mbits/sec  67120  
[  5]  51.00-52.00  sec  74.5 MBytes   625 Mbits/sec  66290  
[  5]  52.00-53.00  sec  75.8 MBytes   636 Mbits/sec  67430  
[  5]  53.00-54.00  sec  75.8 MBytes   636 Mbits/sec  67470  
[  5]  54.00-55.00  sec  75.5 MBytes   633 Mbits/sec  67170  
[  5]  55.00-56.00  sec  76.2 MBytes   639 Mbits/sec  67820  
[  5]  56.00-57.00  sec  76.4 MBytes   641 Mbits/sec  68050  
[  5]  57.00-58.00  sec  77.1 MBytes   647 Mbits/sec  68650  
[  5]  58.00-59.00  sec  76.2 MBytes   639 Mbits/sec  67840  
[  5]  59.00-60.00  sec  77.0 MBytes   646 Mbits/sec  68500  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.47 GBytes   640 Mbits/sec  0.000 ms  0/4076250 (0%)  sender
[  5]   0.00-60.33  sec  1.32 GBytes   187 Mbits/sec  0.040 ms  2918983/4076246 (72%)  receiver

iperf Done.
