Connecting to host 10.136.80.191, port 5201
[  5] local 10.136.173.125 port 34060 connected to 10.136.80.191 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  93.2 MBytes   782 Mbits/sec    2    467 KBytes       (omitted)
[  5]   0.00-1.00   sec  92.3 MBytes   774 Mbits/sec    0    598 KBytes       
[  5]   1.00-2.00   sec  92.4 MBytes   775 Mbits/sec    1    699 KBytes       
[  5]   2.00-3.00   sec  91.2 MBytes   765 Mbits/sec    9    562 KBytes       
[  5]   3.00-4.00   sec  92.5 MBytes   776 Mbits/sec    6    508 KBytes       
[  5]   4.00-5.00   sec  91.2 MBytes   765 Mbits/sec    0    629 KBytes       
[  5]   5.00-6.00   sec  92.5 MBytes   776 Mbits/sec    0    730 KBytes       
[  5]   6.00-7.00   sec  91.2 MBytes   765 Mbits/sec    0    819 KBytes       
[  5]   7.00-8.00   sec  92.5 MBytes   776 Mbits/sec    7    638 KBytes       
[  5]   8.00-9.00   sec  91.2 MBytes   765 Mbits/sec    0    737 KBytes       
[  5]   9.00-10.00  sec  92.5 MBytes   776 Mbits/sec    0    823 KBytes       
[  5]  10.00-11.00  sec  92.5 MBytes   776 Mbits/sec    0    904 KBytes       
[  5]  11.00-12.00  sec  91.2 MBytes   765 Mbits/sec   22    685 KBytes       
[  5]  12.00-13.00  sec  92.5 MBytes   776 Mbits/sec    0    777 KBytes       
[  5]  13.00-14.00  sec  92.5 MBytes   776 Mbits/sec    3    623 KBytes       
[  5]  14.00-15.00  sec  91.2 MBytes   765 Mbits/sec    0    724 KBytes       
[  5]  15.00-16.00  sec  92.5 MBytes   776 Mbits/sec    7    593 KBytes       
[  5]  16.00-17.00  sec  91.2 MBytes   765 Mbits/sec    1    699 KBytes       
[  5]  17.00-18.00  sec  91.2 MBytes   765 Mbits/sec    6    590 KBytes       
[  5]  18.00-19.00  sec  92.5 MBytes   776 Mbits/sec    0    698 KBytes       
[  5]  19.00-20.00  sec  92.5 MBytes   776 Mbits/sec    7    556 KBytes       
[  5]  20.00-21.00  sec  91.2 MBytes   765 Mbits/sec    0    669 KBytes       
[  5]  21.00-22.00  sec  92.5 MBytes   776 Mbits/sec    0    765 KBytes       
[  5]  22.00-23.00  sec  92.5 MBytes   776 Mbits/sec    0    849 KBytes       
[  5]  23.00-24.00  sec  92.5 MBytes   776 Mbits/sec    8    668 KBytes       
[  5]  24.00-25.00  sec  91.2 MBytes   765 Mbits/sec    1    760 KBytes       
[  5]  25.00-26.00  sec  92.5 MBytes   776 Mbits/sec    0    845 KBytes       
[  5]  26.00-27.00  sec  92.5 MBytes   776 Mbits/sec    6    655 KBytes       
[  5]  27.00-28.00  sec  91.2 MBytes   766 Mbits/sec    0    751 KBytes       
[  5]  28.00-29.00  sec  91.2 MBytes   765 Mbits/sec    0    838 KBytes       
[  5]  29.00-30.00  sec  92.5 MBytes   776 Mbits/sec   19    491 KBytes       
[  5]  30.00-31.00  sec  92.5 MBytes   776 Mbits/sec    0    614 KBytes       
[  5]  31.00-32.00  sec  91.2 MBytes   765 Mbits/sec    0    719 KBytes       
[  5]  32.00-33.00  sec  92.5 MBytes   776 Mbits/sec    0    810 KBytes       
[  5]  33.00-34.00  sec  91.2 MBytes   765 Mbits/sec    0    890 KBytes       
[  5]  34.00-35.00  sec  92.5 MBytes   776 Mbits/sec   14    683 KBytes       
[  5]  35.00-36.00  sec  91.2 MBytes   765 Mbits/sec    0    773 KBytes       
[  5]  36.00-37.00  sec  92.5 MBytes   776 Mbits/sec    0    857 KBytes       
[  5]  37.00-38.00  sec  92.5 MBytes   776 Mbits/sec   14    658 KBytes       
[  5]  38.00-39.00  sec  91.2 MBytes   765 Mbits/sec    1    569 KBytes       
[  5]  39.00-40.00  sec  92.5 MBytes   776 Mbits/sec    0    681 KBytes       
[  5]  40.00-41.00  sec  91.2 MBytes   765 Mbits/sec    0    775 KBytes       
[  5]  41.00-42.00  sec  92.5 MBytes   776 Mbits/sec    0    857 KBytes       
[  5]  42.00-43.00  sec  92.5 MBytes   776 Mbits/sec    0    935 KBytes       
[  5]  43.00-44.00  sec  91.2 MBytes   765 Mbits/sec    0   1006 KBytes       
[  5]  44.00-45.00  sec  92.5 MBytes   776 Mbits/sec   21    784 KBytes       
[  5]  45.00-46.00  sec  92.5 MBytes   776 Mbits/sec    0    870 KBytes       
[  5]  46.00-47.00  sec  92.5 MBytes   776 Mbits/sec    0    932 KBytes       
[  5]  47.00-48.00  sec  91.2 MBytes   765 Mbits/sec   35    509 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   776 Mbits/sec    0    628 KBytes       
[  5]  49.00-50.00  sec  91.2 MBytes   765 Mbits/sec    0    729 KBytes       
[  5]  50.00-51.00  sec  92.5 MBytes   776 Mbits/sec   14    407 KBytes       
[  5]  51.00-52.00  sec  91.2 MBytes   765 Mbits/sec    0    549 KBytes       
[  5]  52.00-53.00  sec  91.2 MBytes   765 Mbits/sec    0    659 KBytes       
[  5]  53.00-54.00  sec  92.5 MBytes   776 Mbits/sec    8    554 KBytes       
[  5]  54.00-55.00  sec  91.2 MBytes   765 Mbits/sec    7    481 KBytes       
[  5]  55.00-56.00  sec  91.2 MBytes   765 Mbits/sec    0    606 KBytes       
[  5]  56.00-57.00  sec  92.5 MBytes   776 Mbits/sec    0    710 KBytes       
[  5]  57.00-58.00  sec  91.2 MBytes   765 Mbits/sec   13    399 KBytes       
[  5]  58.00-59.00  sec  92.5 MBytes   776 Mbits/sec    0    543 KBytes       
[  5]  59.00-60.00  sec  91.2 MBytes   765 Mbits/sec    0    657 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  5.39 GBytes   771 Mbits/sec  230             sender
[  5]   0.00-60.04  sec  5.39 GBytes   771 Mbits/sec                  receiver

iperf Done.
