Connecting to host 10.136.80.152, port 5201
[  5] local 10.136.173.84 port 48980 connected to 10.136.80.152 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  93.9 MBytes   788 Mbits/sec   26    586 KBytes       (omitted)
[  5]   0.00-1.00   sec  93.1 MBytes   781 Mbits/sec   12    415 KBytes       
[  5]   1.00-2.00   sec  90.6 MBytes   760 Mbits/sec    0    554 KBytes       
[  5]   2.00-3.00   sec  92.3 MBytes   774 Mbits/sec    0    668 KBytes       
[  5]   3.00-4.00   sec  91.2 MBytes   765 Mbits/sec    9    579 KBytes       
[  5]   4.00-5.00   sec  91.2 MBytes   765 Mbits/sec   11    679 KBytes       
[  5]   5.00-6.00   sec  92.5 MBytes   776 Mbits/sec    0    773 KBytes       
[  5]   6.00-7.00   sec  91.2 MBytes   765 Mbits/sec    0    857 KBytes       
[  5]   7.00-8.00   sec  92.5 MBytes   776 Mbits/sec   21    691 KBytes       
[  5]   8.00-9.00   sec  92.5 MBytes   776 Mbits/sec    0    782 KBytes       
[  5]   9.00-10.00  sec  91.2 MBytes   765 Mbits/sec    7    647 KBytes       
[  5]  10.00-11.00  sec  92.5 MBytes   776 Mbits/sec   14    426 KBytes       
[  5]  11.00-12.00  sec  91.2 MBytes   765 Mbits/sec    0    565 KBytes       
[  5]  12.00-13.00  sec  91.2 MBytes   765 Mbits/sec    0    674 KBytes       
[  5]  13.00-14.00  sec  92.5 MBytes   776 Mbits/sec    9    546 KBytes       
[  5]  14.00-15.00  sec  91.2 MBytes   765 Mbits/sec    5    511 KBytes       
[  5]  15.00-16.00  sec  92.5 MBytes   776 Mbits/sec    0    632 KBytes       
[  5]  16.00-17.00  sec  91.2 MBytes   765 Mbits/sec    7    517 KBytes       
[  5]  17.00-18.00  sec  91.2 MBytes   765 Mbits/sec    0    639 KBytes       
[  5]  18.00-19.00  sec  92.5 MBytes   776 Mbits/sec   22    733 KBytes       
[  5]  19.00-20.00  sec  91.2 MBytes   765 Mbits/sec    7    606 KBytes       
[  5]  20.00-21.00  sec  92.5 MBytes   776 Mbits/sec    0    710 KBytes       
[  5]  21.00-22.00  sec  92.5 MBytes   776 Mbits/sec    7    593 KBytes       
[  5]  22.00-23.00  sec  91.2 MBytes   765 Mbits/sec    0    699 KBytes       
[  5]  23.00-24.00  sec  92.5 MBytes   776 Mbits/sec   18    294 KBytes       
[  5]  24.00-25.00  sec  91.2 MBytes   765 Mbits/sec    0    474 KBytes       
[  5]  25.00-26.00  sec  91.2 MBytes   765 Mbits/sec    0    601 KBytes       
[  5]  26.00-27.00  sec  92.5 MBytes   776 Mbits/sec    0    707 KBytes       
[  5]  27.00-28.00  sec  92.5 MBytes   776 Mbits/sec    1    793 KBytes       
[  5]  28.00-29.00  sec  91.2 MBytes   765 Mbits/sec    8    638 KBytes       
[  5]  29.00-30.00  sec  92.5 MBytes   776 Mbits/sec    0    737 KBytes       
[  5]  30.00-31.00  sec  91.2 MBytes   765 Mbits/sec   18    405 KBytes       
[  5]  31.00-32.00  sec  91.2 MBytes   765 Mbits/sec    0    552 KBytes       
[  5]  32.00-33.00  sec  92.5 MBytes   776 Mbits/sec    7    511 KBytes       
