Connecting to host 10.136.80.161, port 5201
[  5] local 10.136.173.91 port 34158 connected to 10.136.80.161 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  92.9 MBytes   779 Mbits/sec  252    457 KBytes       (omitted)
[  5]   0.00-1.00   sec  92.6 MBytes   777 Mbits/sec   10    466 KBytes       
[  5]   1.00-2.00   sec  92.8 MBytes   778 Mbits/sec    4    587 KBytes       
[  5]   2.00-3.00   sec  92.4 MBytes   775 Mbits/sec    0    692 KBytes       
[  5]   3.00-4.00   sec  91.2 MBytes   765 Mbits/sec    7    556 KBytes       
[  5]   4.00-5.00   sec  75.0 MBytes   629 Mbits/sec   25    703 KBytes       
[  5]   5.00-6.00   sec  92.5 MBytes   776 Mbits/sec    0    793 KBytes       
[  5]   6.00-7.00   sec  91.2 MBytes   765 Mbits/sec    0    875 KBytes       
[  5]   7.00-8.00   sec  92.5 MBytes   776 Mbits/sec   15    703 KBytes       
[  5]   8.00-9.00   sec  91.2 MBytes   765 Mbits/sec    0    793 KBytes       
[  5]   9.00-10.00  sec  92.5 MBytes   776 Mbits/sec    0    876 KBytes       
[  5]  10.00-11.00  sec  92.5 MBytes   776 Mbits/sec    0    952 KBytes       
[  5]  11.00-12.00  sec  91.2 MBytes   765 Mbits/sec    7    751 KBytes       
[  5]  12.00-13.00  sec  92.5 MBytes   776 Mbits/sec    0    833 KBytes       
[  5]  13.00-14.00  sec  91.2 MBytes   765 Mbits/sec   17    668 KBytes       
[  5]  14.00-15.00  sec  92.5 MBytes   776 Mbits/sec    0    762 KBytes       
[  5]  15.00-16.00  sec  91.2 MBytes   765 Mbits/sec    0    848 KBytes       
[  5]  16.00-17.00  sec  92.5 MBytes   776 Mbits/sec   47    681 KBytes       
[  5]  17.00-18.00  sec  91.2 MBytes   765 Mbits/sec    7    572 KBytes       
[  5]  18.00-19.00  sec  92.5 MBytes   776 Mbits/sec    0    680 KBytes       
[  5]  19.00-20.00  sec  91.2 MBytes   765 Mbits/sec    0    774 KBytes       
[  5]  20.00-21.00  sec  92.5 MBytes   776 Mbits/sec    0    859 KBytes       
[  5]  21.00-22.00  sec  91.2 MBytes   765 Mbits/sec   14    673 KBytes       
[  5]  22.00-23.00  sec  92.5 MBytes   776 Mbits/sec    0    770 KBytes       
[  5]  23.00-24.00  sec  92.5 MBytes   776 Mbits/sec    0    855 KBytes       
[  5]  24.00-25.00  sec  91.2 MBytes   766 Mbits/sec   14    677 KBytes       
[  5]  25.00-26.00  sec  92.5 MBytes   776 Mbits/sec    0    771 KBytes       
[  5]  26.00-27.00  sec  91.2 MBytes   765 Mbits/sec    0    856 KBytes       
[  5]  27.00-28.00  sec  92.5 MBytes   776 Mbits/sec   26    512 KBytes       
[  5]  28.00-29.00  sec  91.2 MBytes   765 Mbits/sec    0    629 KBytes       
[  5]  29.00-30.00  sec  91.2 MBytes   765 Mbits/sec    0    730 KBytes       
[  5]  30.00-31.00  sec  92.5 MBytes   776 Mbits/sec    0    819 KBytes       
[  5]  31.00-32.00  sec  90.0 MBytes   755 Mbits/sec    6    664 KBytes       
[  5]  32.00-33.00  sec  92.5 MBytes   776 Mbits/sec    0    760 KBytes       
[  5]  33.00-34.00  sec  92.5 MBytes   775 Mbits/sec    0    846 KBytes       
[  5]  34.00-35.00  sec  91.2 MBytes   766 Mbits/sec   14    689 KBytes       
[  5]  35.00-36.00  sec  92.5 MBytes   776 Mbits/sec    0    784 KBytes       
[  5]  36.00-37.00  sec  91.2 MBytes   765 Mbits/sec    1    863 KBytes       
[  5]  37.00-38.00  sec  92.5 MBytes   776 Mbits/sec    9    680 KBytes       
[  5]  38.00-39.00  sec  92.5 MBytes   776 Mbits/sec    0    775 KBytes       
[  5]  39.00-40.00  sec  91.2 MBytes   765 Mbits/sec    8    647 KBytes       
[  5]  40.00-41.00  sec  91.2 MBytes   765 Mbits/sec    0    744 KBytes       
[  5]  41.00-42.00  sec  92.5 MBytes   776 Mbits/sec    0    830 KBytes       
[  5]  42.00-43.00  sec  91.2 MBytes   765 Mbits/sec    0    909 KBytes       
[  5]  43.00-44.00  sec  92.5 MBytes   776 Mbits/sec    7    711 KBytes       
[  5]  44.00-45.00  sec  92.5 MBytes   776 Mbits/sec    0    801 KBytes       
[  5]  45.00-46.00  sec  92.5 MBytes   776 Mbits/sec    0    883 KBytes       
[  5]  46.00-47.00  sec  91.2 MBytes   766 Mbits/sec    7    704 KBytes       
[  5]  47.00-48.00  sec  75.0 MBytes   629 Mbits/sec  438    782 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   776 Mbits/sec    7    613 KBytes       
[  5]  49.00-50.00  sec  92.5 MBytes   776 Mbits/sec    0    715 KBytes       
[  5]  50.00-51.00  sec  91.2 MBytes   765 Mbits/sec    0    807 KBytes       
[  5]  51.00-52.00  sec  92.5 MBytes   776 Mbits/sec    6    659 KBytes       
[  5]  52.00-53.00  sec  91.2 MBytes   766 Mbits/sec    0    755 KBytes       
[  5]  53.00-54.00  sec  92.5 MBytes   776 Mbits/sec   50    629 KBytes       
[  5]  54.00-55.00  sec  91.2 MBytes   765 Mbits/sec    0    732 KBytes       
[  5]  55.00-56.00  sec  91.2 MBytes   765 Mbits/sec    0    819 KBytes       
