Connecting to host 10.136.80.189, port 5201
[  5] local 10.136.173.119 port 41886 connected to 10.136.80.189 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  96.9 MBytes   812 Mbits/sec    1    684 KBytes       (omitted)
[  5]   0.00-1.00   sec  93.8 MBytes   786 Mbits/sec   10    554 KBytes       
[  5]   1.00-2.00   sec  92.5 MBytes   776 Mbits/sec    0    668 KBytes       
[  5]   2.00-3.00   sec  92.5 MBytes   774 Mbits/sec    1    760 KBytes       
[  5]   3.00-4.00   sec  91.2 MBytes   767 Mbits/sec    0    845 KBytes       
[  5]   4.00-5.00   sec  92.5 MBytes   776 Mbits/sec    7    662 KBytes       
[  5]   5.00-6.00   sec  91.2 MBytes   765 Mbits/sec    1    755 KBytes       
[  5]   6.00-7.00   sec  75.0 MBytes   629 Mbits/sec    6    229 KBytes       
[  5]   7.00-8.00   sec  91.2 MBytes   765 Mbits/sec   46    426 KBytes       
[  5]   8.00-9.00   sec  91.2 MBytes   765 Mbits/sec   40    560 KBytes       
[  5]   9.00-10.00  sec  92.5 MBytes   776 Mbits/sec    0    670 KBytes       
[  5]  10.00-11.00  sec  91.2 MBytes   765 Mbits/sec    0    767 KBytes       
[  5]  11.00-12.00  sec  92.5 MBytes   776 Mbits/sec    0    851 KBytes       
[  5]  12.00-13.00  sec  92.5 MBytes   776 Mbits/sec    0    928 KBytes       
[  5]  13.00-14.00  sec  91.2 MBytes   765 Mbits/sec   26    715 KBytes       
[  5]  14.00-15.00  sec  92.5 MBytes   776 Mbits/sec    5    580 KBytes       
[  5]  15.00-16.00  sec  91.2 MBytes   765 Mbits/sec    0    691 KBytes       
[  5]  16.00-17.00  sec  92.5 MBytes   776 Mbits/sec    2    780 KBytes       
[  5]  17.00-18.00  sec  92.5 MBytes   776 Mbits/sec   27    644 KBytes       
[  5]  18.00-19.00  sec  91.2 MBytes   765 Mbits/sec    0    744 KBytes       
[  5]  19.00-20.00  sec  92.5 MBytes   776 Mbits/sec   14    594 KBytes       
[  5]  20.00-21.00  sec  92.5 MBytes   776 Mbits/sec    3    498 KBytes       
[  5]  21.00-22.00  sec  91.2 MBytes   765 Mbits/sec    0    620 KBytes       
[  5]  22.00-23.00  sec  92.5 MBytes   776 Mbits/sec    0    722 KBytes       
[  5]  23.00-24.00  sec  91.2 MBytes   765 Mbits/sec    0    812 KBytes       
[  5]  24.00-25.00  sec  92.5 MBytes   776 Mbits/sec    7    633 KBytes       
[  5]  25.00-26.00  sec  91.2 MBytes   765 Mbits/sec    0    733 KBytes       
[  5]  26.00-27.00  sec  92.5 MBytes   776 Mbits/sec    0    822 KBytes       
[  5]  27.00-28.00  sec  92.5 MBytes   776 Mbits/sec    0    901 KBytes       
[  5]  28.00-29.00  sec  92.5 MBytes   776 Mbits/sec    0    975 KBytes       
[  5]  29.00-30.00  sec  91.2 MBytes   765 Mbits/sec   14    774 KBytes       
[  5]  30.00-31.00  sec  92.5 MBytes   776 Mbits/sec    0    853 KBytes       
[  5]  31.00-32.00  sec  92.5 MBytes   775 Mbits/sec   23    493 KBytes       
[  5]  32.00-33.00  sec  91.2 MBytes   766 Mbits/sec  148    444 KBytes       
[  5]  33.00-34.00  sec  91.2 MBytes   765 Mbits/sec    0    579 KBytes       
[  5]  34.00-35.00  sec  91.2 MBytes   765 Mbits/sec   13    502 KBytes       
[  5]  35.00-36.00  sec  91.2 MBytes   765 Mbits/sec    0    624 KBytes       
[  5]  36.00-37.00  sec  92.5 MBytes   776 Mbits/sec    0    726 KBytes       
[  5]  37.00-38.00  sec  91.2 MBytes   765 Mbits/sec    8    573 KBytes       
[  5]  38.00-39.00  sec  92.5 MBytes   776 Mbits/sec    0    681 KBytes       
[  5]  39.00-40.00  sec  91.2 MBytes   765 Mbits/sec    0    777 KBytes       
[  5]  40.00-41.00  sec  92.5 MBytes   776 Mbits/sec   14    446 KBytes       
[  5]  41.00-42.00  sec  92.5 MBytes   775 Mbits/sec    1    576 KBytes       
[  5]  42.00-43.00  sec  91.2 MBytes   766 Mbits/sec    0    685 KBytes       
[  5]  43.00-44.00  sec  92.5 MBytes   776 Mbits/sec    0    780 KBytes       
[  5]  44.00-45.00  sec  91.2 MBytes   765 Mbits/sec    6    623 KBytes       
[  5]  45.00-46.00  sec  91.2 MBytes   765 Mbits/sec    0    725 KBytes       
[  5]  46.00-47.00  sec  92.5 MBytes   776 Mbits/sec   14    569 KBytes       
[  5]  47.00-48.00  sec  92.5 MBytes   776 Mbits/sec    0    679 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   773 Mbits/sec    0    771 KBytes       
[  5]  49.00-50.00  sec  91.2 MBytes   768 Mbits/sec    0    856 KBytes       
[  5]  50.00-51.00  sec  92.5 MBytes   776 Mbits/sec    6    688 KBytes       
[  5]  51.00-52.00  sec  92.5 MBytes   776 Mbits/sec    0    781 KBytes       
[  5]  52.00-53.00  sec  92.5 MBytes   776 Mbits/sec    0    866 KBytes       
[  5]  53.00-54.00  sec  91.2 MBytes   765 Mbits/sec    0    941 KBytes       
[  5]  54.00-55.00  sec  92.5 MBytes   776 Mbits/sec   29    541 KBytes       
[  5]  55.00-56.00  sec  91.2 MBytes   765 Mbits/sec    1    651 KBytes       
[  5]  56.00-57.00  sec  92.5 MBytes   776 Mbits/sec    0    750 KBytes       
[  5]  57.00-58.00  sec  92.5 MBytes   776 Mbits/sec    0    837 KBytes       
[  5]  58.00-59.00  sec  91.2 MBytes   765 Mbits/sec    0    915 KBytes       
[  5]  59.00-60.00  sec  92.5 MBytes   776 Mbits/sec    0    987 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  5.37 GBytes   769 Mbits/sec  472             sender
[  5]   0.00-60.04  sec  5.38 GBytes   769 Mbits/sec                  receiver

iperf Done.
