Connecting to host 10.136.80.152, port 5201
[  5] local 10.136.173.72 port 33888 connected to 10.136.80.152 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   569 KBytes  4.66 Mbits/sec   44   1.37 KBytes       (omitted)
[  5]   0.00-1.00   sec   384 KBytes  3.14 Mbits/sec   42   2.73 KBytes       
[  5]   1.00-2.00   sec   304 KBytes  2.49 Mbits/sec   27   1.37 KBytes       
[  5]   2.00-3.00   sec   285 KBytes  2.34 Mbits/sec   23   1.37 KBytes       
[  5]   3.00-4.00   sec  1.03 MBytes  8.64 Mbits/sec   77   2.73 KBytes       
[  5]   4.00-5.00   sec  1005 KBytes  8.23 Mbits/sec   83   2.73 KBytes       
[  5]   5.00-6.00   sec  62.8 KBytes  0.51 Mbits/sec   12   1.37 KBytes       
[  5]   6.00-7.00   sec   188 KBytes  1.54 Mbits/sec   18   1.37 KBytes       
[  5]   7.00-8.00   sec   691 KBytes  5.66 Mbits/sec   62   2.73 KBytes       
[  5]   8.00-9.00   sec   440 KBytes  3.60 Mbits/sec   47   2.73 KBytes       
[  5]   9.00-10.00  sec   251 KBytes  2.06 Mbits/sec   24   1.37 KBytes       
[  5]  10.00-11.00  sec  62.8 KBytes  0.51 Mbits/sec   11   1.37 KBytes       
[  5]  11.00-12.00  sec   502 KBytes  4.12 Mbits/sec   44   2.73 KBytes       
[  5]  12.00-13.00  sec   314 KBytes  2.57 Mbits/sec   33   1.37 KBytes       
[  5]  13.00-14.00  sec   377 KBytes  3.09 Mbits/sec   35   8.19 KBytes       
[  5]  14.00-15.00  sec  1.53 MBytes  12.9 Mbits/sec  129   2.73 KBytes       
[  5]  15.00-16.00  sec   754 KBytes  6.17 Mbits/sec   65   1.37 KBytes       
[  5]  16.00-17.00  sec   377 KBytes  3.09 Mbits/sec   28   2.73 KBytes       
[  5]  17.00-18.00  sec   126 KBytes  1.03 Mbits/sec   12   1.37 KBytes       
[  5]  18.00-19.00  sec   126 KBytes  1.03 Mbits/sec   14   2.73 KBytes       
[  5]  19.00-20.00  sec   126 KBytes  1.03 Mbits/sec   14   1.37 KBytes       
[  5]  20.00-21.00  sec  2.02 MBytes  17.0 Mbits/sec  187   2.73 KBytes       
[  5]  21.00-22.00  sec   942 KBytes  7.72 Mbits/sec   45   1.37 KBytes       
[  5]  22.00-23.00  sec   251 KBytes  2.06 Mbits/sec   21   1.37 KBytes       
[  5]  23.00-24.00  sec   251 KBytes  2.06 Mbits/sec   20   2.73 KBytes       
[  5]  24.00-25.00  sec   565 KBytes  4.63 Mbits/sec   37   1.37 KBytes       
[  5]  25.00-26.00  sec   126 KBytes  1.03 Mbits/sec   17   1.37 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    2   1.37 KBytes       
[  5]  27.00-28.00  sec   314 KBytes  2.57 Mbits/sec   25   4.10 KBytes       
[  5]  28.00-29.00  sec  1.04 MBytes  8.75 Mbits/sec   80   2.73 KBytes       
[  5]  29.00-30.00  sec   314 KBytes  2.57 Mbits/sec   32   1.37 KBytes       
[  5]  30.00-31.00  sec   502 KBytes  4.12 Mbits/sec   43   1.37 KBytes       
[  5]  31.00-32.00  sec   816 KBytes  6.69 Mbits/sec   67   1.37 KBytes       
[  5]  32.00-33.00  sec   816 KBytes  6.69 Mbits/sec   58   2.73 KBytes       
[  5]  33.00-34.00  sec   691 KBytes  5.66 Mbits/sec   58   1.37 KBytes       
[  5]  34.00-35.00  sec   942 KBytes  7.72 Mbits/sec   91   2.73 KBytes       
[  5]  35.00-36.00  sec   126 KBytes  1.03 Mbits/sec   21   2.73 KBytes       
[  5]  36.00-37.00  sec   126 KBytes  1.03 Mbits/sec   10   1.37 KBytes       
[  5]  37.00-38.00  sec   879 KBytes  7.21 Mbits/sec   71   4.10 KBytes       
[  5]  38.00-39.00  sec  1.23 MBytes  10.3 Mbits/sec  104   1.37 KBytes       
[  5]  39.00-40.00  sec   314 KBytes  2.57 Mbits/sec   20   1.37 KBytes       
[  5]  40.00-41.00  sec   377 KBytes  3.09 Mbits/sec   28   2.73 KBytes       
[  5]  41.00-42.00  sec   126 KBytes  1.03 Mbits/sec   17   2.73 KBytes       
[  5]  42.00-43.00  sec   314 KBytes  2.57 Mbits/sec   27   2.73 KBytes       
[  5]  43.00-44.00  sec   251 KBytes  2.06 Mbits/sec   20   1.37 KBytes       
[  5]  44.00-45.00  sec   754 KBytes  6.18 Mbits/sec   63   2.73 KBytes       
[  5]  45.00-46.00  sec   377 KBytes  3.09 Mbits/sec   33   1.37 KBytes       
[  5]  46.00-47.00  sec   565 KBytes  4.63 Mbits/sec   41   2.73 KBytes       
[  5]  47.00-48.00  sec   377 KBytes  3.09 Mbits/sec   33   2.73 KBytes       
[  5]  48.00-49.00  sec   502 KBytes  4.12 Mbits/sec   40   2.73 KBytes       
[  5]  49.00-50.00  sec  1.29 MBytes  10.8 Mbits/sec   96   1.37 KBytes       
[  5]  50.00-51.00  sec   565 KBytes  4.63 Mbits/sec   38   2.73 KBytes       
[  5]  51.00-52.00  sec   377 KBytes  3.09 Mbits/sec   34   2.73 KBytes       
[  5]  52.00-53.00  sec   314 KBytes  2.57 Mbits/sec   27   2.73 KBytes       
[  5]  53.00-54.00  sec   691 KBytes  5.66 Mbits/sec   56   1.37 KBytes       
[  5]  54.00-55.00  sec  1.53 MBytes  12.9 Mbits/sec  118   2.73 KBytes       
[  5]  55.00-56.00  sec   565 KBytes  4.63 Mbits/sec   58   2.73 KBytes       
[  5]  56.00-57.00  sec   251 KBytes  2.06 Mbits/sec   21   2.73 KBytes       
[  5]  57.00-58.00  sec   565 KBytes  4.63 Mbits/sec   41   2.73 KBytes       
[  5]  58.00-59.00  sec   188 KBytes  1.54 Mbits/sec   22   1.37 KBytes       
[  5]  59.00-60.00  sec   314 KBytes  2.57 Mbits/sec   32   2.73 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  31.0 MBytes  4.33 Mbits/sec  2654             sender
[  5]   0.00-60.21  sec  31.0 MBytes  4.32 Mbits/sec                  receiver

iperf Done.
