Connecting to host 10.136.80.160, port 5201
[  5] local 10.136.173.80 port 50730 connected to 10.136.80.160 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   642 KBytes  5.25 Mbits/sec   45   1.37 KBytes       (omitted)
[  5]   0.00-1.00   sec  1.10 MBytes  9.26 Mbits/sec   81   1.37 KBytes       
[  5]   1.00-2.00   sec   377 KBytes  3.09 Mbits/sec   30   1.37 KBytes       
[  5]   2.00-3.00   sec   502 KBytes  4.12 Mbits/sec   48   1.37 KBytes       
[  5]   3.00-4.00   sec   126 KBytes  1.03 Mbits/sec   22   1.37 KBytes       
[  5]   4.00-5.00   sec   377 KBytes  3.09 Mbits/sec   31   2.73 KBytes       
[  5]   5.00-6.00   sec   377 KBytes  3.09 Mbits/sec   33   1.37 KBytes       
[  5]   6.00-7.00   sec   251 KBytes  2.06 Mbits/sec   34   2.73 KBytes       
[  5]   7.00-8.00   sec   126 KBytes  1.03 Mbits/sec   14   1.37 KBytes       
[  5]   8.00-9.00   sec  1.84 MBytes  15.4 Mbits/sec  121   1.37 KBytes       
[  5]   9.00-10.00  sec   251 KBytes  2.06 Mbits/sec   28   1.37 KBytes       
[  5]  10.00-11.00  sec   502 KBytes  4.12 Mbits/sec   31   1.37 KBytes       
[  5]  11.00-12.00  sec   251 KBytes  2.06 Mbits/sec   25   1.37 KBytes       
[  5]  12.00-13.00  sec   377 KBytes  3.09 Mbits/sec   24   1.37 KBytes       
[  5]  13.00-14.00  sec   377 KBytes  3.09 Mbits/sec   43   1.37 KBytes       
[  5]  14.00-15.00  sec   754 KBytes  6.17 Mbits/sec   66   1.37 KBytes       
[  5]  15.00-16.00  sec   251 KBytes  2.06 Mbits/sec   24   2.73 KBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec   10   1.37 KBytes       
[  5]  17.00-18.00  sec   377 KBytes  3.09 Mbits/sec   22   1.37 KBytes       
[  5]  18.00-19.00  sec   377 KBytes  3.09 Mbits/sec   38   2.73 KBytes       
[  5]  19.00-20.00  sec   126 KBytes  1.03 Mbits/sec   20   1.37 KBytes       
[  5]  20.00-21.00  sec  1.35 MBytes  11.3 Mbits/sec   99   2.73 KBytes       
[  5]  21.00-22.00  sec   126 KBytes  1.03 Mbits/sec   19   1.37 KBytes       
[  5]  22.00-23.00  sec  1.35 MBytes  11.3 Mbits/sec  107   1.37 KBytes       
[  5]  23.00-24.00  sec   251 KBytes  2.06 Mbits/sec   25   2.73 KBytes       
[  5]  24.00-25.00  sec   502 KBytes  4.11 Mbits/sec   50   2.73 KBytes       
[  5]  25.00-26.00  sec   879 KBytes  7.21 Mbits/sec   62   1.37 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec   11   1.37 KBytes       
[  5]  27.00-28.00  sec   126 KBytes  1.03 Mbits/sec   14   1.37 KBytes       
[  5]  28.00-29.00  sec   754 KBytes  6.18 Mbits/sec   51   1.37 KBytes       
[  5]  29.00-30.00  sec   377 KBytes  3.09 Mbits/sec   36   1.37 KBytes       
[  5]  30.00-31.00  sec  1.35 MBytes  11.3 Mbits/sec  107   2.73 KBytes       
[  5]  31.00-32.00  sec  1.23 MBytes  10.3 Mbits/sec  106   1.37 KBytes       
[  5]  32.00-33.00  sec   377 KBytes  3.09 Mbits/sec   24   1.37 KBytes       
[  5]  33.00-34.00  sec   502 KBytes  4.12 Mbits/sec   53   2.73 KBytes       
[  5]  34.00-35.00  sec  2.33 MBytes  19.6 Mbits/sec  170   1.37 KBytes       
[  5]  35.00-36.00  sec   126 KBytes  1.03 Mbits/sec   19   2.73 KBytes       
[  5]  36.00-37.00  sec   879 KBytes  7.20 Mbits/sec   57   2.73 KBytes       
[  5]  37.00-38.00  sec   126 KBytes  1.03 Mbits/sec   12   1.37 KBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 Mbits/sec    3   2.73 KBytes       
[  5]  39.00-40.00  sec   126 KBytes  1.03 Mbits/sec   15   1.37 KBytes       
[  5]  40.00-41.00  sec   377 KBytes  3.09 Mbits/sec   35   4.10 KBytes       
[  5]  41.00-42.00  sec   754 KBytes  6.17 Mbits/sec   49   2.73 KBytes       
[  5]  42.00-43.00  sec   377 KBytes  3.09 Mbits/sec   27   1.37 KBytes       
[  5]  43.00-44.00  sec   377 KBytes  3.09 Mbits/sec   29   2.73 KBytes       
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 Mbits/sec    4   1.37 KBytes       
[  5]  45.00-46.00  sec   628 KBytes  5.15 Mbits/sec   44   2.73 KBytes       
[  5]  46.00-47.00  sec   377 KBytes  3.09 Mbits/sec   44   1.37 KBytes       
[  5]  47.00-48.00  sec   377 KBytes  3.09 Mbits/sec   31   1.37 KBytes       
[  5]  48.00-49.00  sec   126 KBytes  1.03 Mbits/sec   14   1.37 KBytes       
[  5]  49.00-50.00  sec   251 KBytes  2.06 Mbits/sec   28   1.37 KBytes       
[  5]  50.00-51.00  sec   754 KBytes  6.18 Mbits/sec   59   2.73 KBytes       
[  5]  51.00-52.00  sec   251 KBytes  2.06 Mbits/sec   36   1.37 KBytes       
[  5]  52.00-53.00  sec   377 KBytes  3.09 Mbits/sec   29   2.73 KBytes       
[  5]  53.00-54.00  sec   879 KBytes  7.21 Mbits/sec   56   2.73 KBytes       
[  5]  54.00-55.00  sec  1.35 MBytes  11.3 Mbits/sec  106   1.37 KBytes       
[  5]  55.00-56.00  sec   628 KBytes  5.14 Mbits/sec   56   2.73 KBytes       
[  5]  56.00-57.00  sec   377 KBytes  3.09 Mbits/sec   25   2.73 KBytes       
[  5]  57.00-58.00  sec  1.47 MBytes  12.3 Mbits/sec  130   1.37 KBytes       
[  5]  58.00-59.00  sec   251 KBytes  2.06 Mbits/sec   15   2.73 KBytes       
[  5]  59.00-60.00  sec   126 KBytes  1.03 Mbits/sec   24   1.37 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  31.2 MBytes  4.36 Mbits/sec  2626             sender
