Connecting to host 10.136.80.147, port 5201
[  5] local 10.136.173.73 port 59268 connected to 10.136.80.147 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  96.4 MBytes   809 Mbits/sec  72340  (omitted)
[  5]   0.00-1.00   sec  91.8 MBytes   770 Mbits/sec  68860  
[  5]   1.00-2.00   sec  93.0 MBytes   780 Mbits/sec  69780  
[  5]   2.00-3.00   sec  92.7 MBytes   777 Mbits/sec  69500  
[  5]   3.00-4.00   sec  92.9 MBytes   780 Mbits/sec  69710  
[  5]   4.00-5.00   sec  93.2 MBytes   782 Mbits/sec  69910  
[  5]   5.00-6.00   sec  92.5 MBytes   776 Mbits/sec  69390  
[  5]   6.00-7.00   sec  92.6 MBytes   777 Mbits/sec  69460  
[  5]   7.00-8.00   sec  93.0 MBytes   780 Mbits/sec  69760  
[  5]   8.00-9.00   sec  93.3 MBytes   782 Mbits/sec  69950  
[  5]   9.00-10.00  sec  92.7 MBytes   778 Mbits/sec  69560  
[  5]  10.00-11.00  sec  93.7 MBytes   786 Mbits/sec  70260  
[  5]  11.00-12.00  sec  93.5 MBytes   784 Mbits/sec  70140  
[  5]  12.00-13.00  sec  93.5 MBytes   784 Mbits/sec  70130  
[  5]  13.00-14.00  sec  93.0 MBytes   780 Mbits/sec  69740  
[  5]  14.00-15.00  sec  92.0 MBytes   771 Mbits/sec  68970  
[  5]  15.00-16.00  sec  92.9 MBytes   779 Mbits/sec  69660  
[  5]  16.00-17.00  sec  89.8 MBytes   753 Mbits/sec  67350  
[  5]  17.00-18.00  sec  94.7 MBytes   795 Mbits/sec  71040  
[  5]  18.00-19.00  sec  93.8 MBytes   787 Mbits/sec  70380  
[  5]  19.00-20.00  sec  93.3 MBytes   783 Mbits/sec  70010  
[  5]  20.00-21.00  sec  94.5 MBytes   793 Mbits/sec  70890  
[  5]  21.00-22.00  sec  93.2 MBytes   782 Mbits/sec  69940  
[  5]  22.00-23.00  sec  93.2 MBytes   781 Mbits/sec  69870  
[  5]  23.00-24.00  sec  93.3 MBytes   783 Mbits/sec  69980  
[  5]  24.00-25.00  sec  92.4 MBytes   775 Mbits/sec  69300  
[  5]  25.00-26.00  sec  80.3 MBytes   673 Mbits/sec  60200  
[  5]  26.00-27.00  sec  92.4 MBytes   775 Mbits/sec  69310  
[  5]  27.00-28.00  sec  93.1 MBytes   781 Mbits/sec  69850  
[  5]  28.00-29.00  sec  93.2 MBytes   781 Mbits/sec  69870  
[  5]  29.00-30.00  sec  93.8 MBytes   787 Mbits/sec  70380  
[  5]  30.00-31.00  sec  93.7 MBytes   786 Mbits/sec  70260  
[  5]  31.00-32.00  sec  93.7 MBytes   786 Mbits/sec  70310  
[  5]  32.00-33.00  sec  93.3 MBytes   782 Mbits/sec  69970  
[  5]  33.00-34.00  sec  93.4 MBytes   784 Mbits/sec  70070  
[  5]  34.00-35.00  sec  93.5 MBytes   785 Mbits/sec  70150  
[  5]  35.00-36.00  sec  93.5 MBytes   784 Mbits/sec  70120  
[  5]  36.00-37.00  sec  92.5 MBytes   776 Mbits/sec  69370  
[  5]  37.00-38.00  sec  93.4 MBytes   784 Mbits/sec  70090  
[  5]  38.00-39.00  sec  93.1 MBytes   781 Mbits/sec  69810  
[  5]  39.00-40.00  sec  93.9 MBytes   788 Mbits/sec  70410  
[  5]  40.00-41.00  sec  93.6 MBytes   785 Mbits/sec  70190  
[  5]  41.00-42.00  sec  94.0 MBytes   788 Mbits/sec  70470  
[  5]  42.00-43.00  sec  93.8 MBytes   787 Mbits/sec  70370  
[  5]  43.00-44.00  sec  93.7 MBytes   786 Mbits/sec  70250  
[  5]  44.00-45.00  sec  93.8 MBytes   787 Mbits/sec  70340  
[  5]  45.00-46.00  sec  93.5 MBytes   784 Mbits/sec  70110  
[  5]  46.00-47.00  sec  92.8 MBytes   779 Mbits/sec  69640  
[  5]  47.00-48.00  sec  93.1 MBytes   781 Mbits/sec  69840  
[  5]  48.00-49.00  sec  93.6 MBytes   785 Mbits/sec  70170  
[  5]  49.00-50.00  sec  93.5 MBytes   784 Mbits/sec  70130  
[  5]  50.00-51.00  sec  93.6 MBytes   785 Mbits/sec  70200  
[  5]  51.00-52.00  sec  93.8 MBytes   787 Mbits/sec  70380  
[  5]  52.00-53.00  sec  93.5 MBytes   785 Mbits/sec  70160  
[  5]  53.00-54.00  sec  93.4 MBytes   784 Mbits/sec  70070  
[  5]  54.00-55.00  sec  93.5 MBytes   784 Mbits/sec  70100  
[  5]  55.00-56.00  sec  93.8 MBytes   787 Mbits/sec  70340  
[  5]  56.00-57.00  sec  93.0 MBytes   780 Mbits/sec  69740  
[  5]  57.00-58.00  sec  89.4 MBytes   750 Mbits/sec  67020  
[  5]  58.00-59.00  sec  78.5 MBytes   659 Mbits/sec  58900  
[  5]  59.00-60.00  sec  78.0 MBytes   655 Mbits/sec  58530  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  5.42 GBytes   776 Mbits/sec  0.000 ms  0/4160660 (0%)  sender
[  5]   0.00-60.04  sec  5.42 GBytes   776 Mbits/sec  0.009 ms  594/4160660 (0.014%)  receiver

iperf Done.
