Connecting to host 10.136.80.137, port 5201
[  5] local 10.136.173.112 port 60117 connected to 10.136.80.137 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  96.3 MBytes   808 Mbits/sec  72210  (omitted)
[  5]   0.00-1.00   sec  97.8 MBytes   820 Mbits/sec  73350  
[  5]   1.00-2.00   sec  97.7 MBytes   819 Mbits/sec  73270  
[  5]   2.00-3.00   sec  97.1 MBytes   815 Mbits/sec  72840  
[  5]   3.00-4.00   sec  97.2 MBytes   815 Mbits/sec  72870  
[  5]   4.00-5.00   sec  98.7 MBytes   828 Mbits/sec  74050  
[  5]   5.00-6.00   sec   100 MBytes   839 Mbits/sec  75000  
[  5]   6.00-7.00   sec  99.7 MBytes   836 Mbits/sec  74780  
[  5]   7.00-8.00   sec  99.9 MBytes   838 Mbits/sec  74940  
[  5]   8.00-9.00   sec   101 MBytes   843 Mbits/sec  75400  
[  5]   9.00-10.00  sec  99.7 MBytes   837 Mbits/sec  74810  
[  5]  10.00-11.00  sec  99.6 MBytes   836 Mbits/sec  74720  
[  5]  11.00-12.00  sec   100 MBytes   840 Mbits/sec  75080  
[  5]  12.00-13.00  sec   100 MBytes   841 Mbits/sec  75210  
[  5]  13.00-14.00  sec   100 MBytes   840 Mbits/sec  75090  
[  5]  14.00-15.00  sec  99.5 MBytes   835 Mbits/sec  74660  
[  5]  15.00-16.00  sec  98.6 MBytes   827 Mbits/sec  73940  
[  5]  16.00-17.00  sec  99.4 MBytes   834 Mbits/sec  74570  
[  5]  17.00-18.00  sec  97.0 MBytes   813 Mbits/sec  72720  
[  5]  18.00-19.00  sec  96.9 MBytes   813 Mbits/sec  72700  
[  5]  19.00-20.00  sec  96.0 MBytes   805 Mbits/sec  71980  
[  5]  20.00-21.00  sec  97.7 MBytes   819 Mbits/sec  73260  
[  5]  21.00-22.00  sec  95.1 MBytes   797 Mbits/sec  71300  
[  5]  22.00-23.00  sec   101 MBytes   844 Mbits/sec  75430  
[  5]  23.00-24.00  sec   100 MBytes   839 Mbits/sec  75010  
[  5]  24.00-25.00  sec  99.2 MBytes   832 Mbits/sec  74400  
[  5]  25.00-26.00  sec  99.6 MBytes   836 Mbits/sec  74710  
[  5]  26.00-27.00  sec  99.7 MBytes   836 Mbits/sec  74790  
[  5]  27.00-28.00  sec  99.7 MBytes   837 Mbits/sec  74810  
[  5]  28.00-29.00  sec  99.5 MBytes   834 Mbits/sec  74610  
[  5]  29.00-30.00  sec  99.7 MBytes   836 Mbits/sec  74750  
[  5]  30.00-31.00  sec  99.7 MBytes   836 Mbits/sec  74780  
[  5]  31.00-32.00  sec  99.3 MBytes   833 Mbits/sec  74460  
[  5]  32.00-33.00  sec  99.1 MBytes   831 Mbits/sec  74340  
[  5]  33.00-34.00  sec  99.5 MBytes   835 Mbits/sec  74620  
[  5]  34.00-35.00  sec  99.4 MBytes   834 Mbits/sec  74540  
[  5]  35.00-36.00  sec  99.5 MBytes   835 Mbits/sec  74650  
[  5]  36.00-37.00  sec  99.1 MBytes   831 Mbits/sec  74320  
[  5]  37.00-38.00  sec  99.0 MBytes   831 Mbits/sec  74280  
[  5]  38.00-39.00  sec  99.9 MBytes   838 Mbits/sec  74940  
[  5]  39.00-40.00  sec  99.6 MBytes   836 Mbits/sec  74720  
[  5]  40.00-41.00  sec  98.8 MBytes   829 Mbits/sec  74090  
[  5]  41.00-42.00  sec  99.3 MBytes   833 Mbits/sec  74460  
[  5]  42.00-43.00  sec  99.6 MBytes   835 Mbits/sec  74700  
[  5]  43.00-44.00  sec  97.2 MBytes   815 Mbits/sec  72900  
[  5]  44.00-45.00  sec  98.9 MBytes   830 Mbits/sec  74200  
[  5]  45.00-46.00  sec  99.2 MBytes   832 Mbits/sec  74420  
[  5]  46.00-47.00  sec  99.3 MBytes   833 Mbits/sec  74480  
[  5]  47.00-48.00  sec  98.9 MBytes   829 Mbits/sec  74150  
[  5]  48.00-49.00  sec  99.5 MBytes   835 Mbits/sec  74620  
[  5]  49.00-50.00  sec  99.3 MBytes   833 Mbits/sec  74450  
[  5]  50.00-51.00  sec  99.3 MBytes   833 Mbits/sec  74490  
[  5]  51.00-52.00  sec  99.1 MBytes   831 Mbits/sec  74310  
[  5]  52.00-53.00  sec  99.0 MBytes   830 Mbits/sec  74240  
[  5]  53.00-54.00  sec  99.1 MBytes   832 Mbits/sec  74350  
[  5]  54.00-55.00  sec  98.6 MBytes   827 Mbits/sec  73940  
[  5]  55.00-56.00  sec  99.0 MBytes   830 Mbits/sec  74220  
[  5]  56.00-57.00  sec  99.0 MBytes   830 Mbits/sec  74240  
[  5]  57.00-58.00  sec  99.5 MBytes   835 Mbits/sec  74660  
[  5]  58.00-59.00  sec  99.3 MBytes   833 Mbits/sec  74470  
[  5]  59.00-60.00  sec  99.6 MBytes   835 Mbits/sec  74680  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  5.80 GBytes   831 Mbits/sec  0.000 ms  0/4456770 (0%)  sender
[  5]   0.00-60.96  sec   321 MBytes  44.2 Mbits/sec  0.019 ms  4268772/4440399 (96%)  receiver

iperf Done.
