Connecting to host knb-server-336351, port 5201
[  5] local 10.136.173.116 port 51314 connected to 10.43.172.111 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  18.3 MBytes   154 Mbits/sec   78   70.2 KBytes       (omitted)
[  5]   0.00-1.00   sec  19.9 MBytes   167 Mbits/sec   53   69.0 KBytes       
[  5]   1.00-2.00   sec  20.1 MBytes   168 Mbits/sec   54   82.8 KBytes       
[  5]   2.00-3.00   sec  20.1 MBytes   168 Mbits/sec   53   51.8 KBytes       
[  5]   3.00-4.00   sec  20.1 MBytes   168 Mbits/sec   38   71.3 KBytes       
[  5]   4.00-5.00   sec  18.8 MBytes   158 Mbits/sec   42   72.5 KBytes       
[  5]   5.00-6.00   sec  19.8 MBytes   166 Mbits/sec   63   62.1 KBytes       
[  5]   6.00-7.00   sec  19.8 MBytes   166 Mbits/sec   21   97.8 KBytes       
[  5]   7.00-8.00   sec  20.7 MBytes   174 Mbits/sec   50   62.1 KBytes       
[  5]   8.00-9.00   sec  19.8 MBytes   166 Mbits/sec   48   66.7 KBytes       
[  5]   9.00-10.00  sec  19.2 MBytes   161 Mbits/sec   41   56.4 KBytes       
[  5]  10.00-11.00  sec  19.5 MBytes   163 Mbits/sec   28   56.4 KBytes       
[  5]  11.00-12.00  sec  20.7 MBytes   174 Mbits/sec   35   98.9 KBytes       
[  5]  12.00-13.00  sec  19.5 MBytes   163 Mbits/sec   84   78.2 KBytes       
[  5]  13.00-14.00  sec  20.1 MBytes   168 Mbits/sec   74   52.9 KBytes       
[  5]  14.00-15.00  sec  21.0 MBytes   176 Mbits/sec   45   95.5 KBytes       
[  5]  15.00-16.00  sec  19.6 MBytes   164 Mbits/sec   72   54.1 KBytes       
[  5]  16.00-17.00  sec  20.7 MBytes   174 Mbits/sec   30   47.2 KBytes       
[  5]  17.00-18.00  sec  19.2 MBytes   161 Mbits/sec   53   72.5 KBytes       
[  5]  18.00-19.00  sec  20.4 MBytes   171 Mbits/sec   62   66.7 KBytes       
[  5]  19.00-20.00  sec  20.1 MBytes   168 Mbits/sec   48   72.5 KBytes       
[  5]  20.00-21.00  sec  20.1 MBytes   168 Mbits/sec   58   46.0 KBytes       
[  5]  21.00-22.00  sec  20.1 MBytes   168 Mbits/sec   54   71.3 KBytes       
[  5]  22.00-23.00  sec  19.8 MBytes   166 Mbits/sec   80   48.3 KBytes       
[  5]  23.00-24.00  sec  19.2 MBytes   161 Mbits/sec   26   61.0 KBytes       
[  5]  24.00-25.00  sec  19.5 MBytes   163 Mbits/sec   49   77.1 KBytes       
[  5]  25.00-26.00  sec  20.5 MBytes   172 Mbits/sec   58   59.8 KBytes       
[  5]  26.00-27.00  sec  19.5 MBytes   164 Mbits/sec   53   74.8 KBytes       
[  5]  27.00-28.00  sec  20.4 MBytes   171 Mbits/sec   48    102 KBytes       
[  5]  28.00-29.00  sec  20.1 MBytes   168 Mbits/sec   71   85.1 KBytes       
[  5]  29.00-30.00  sec  20.7 MBytes   174 Mbits/sec   25   59.8 KBytes       
[  5]  30.00-31.00  sec  19.8 MBytes   166 Mbits/sec   36   63.3 KBytes       
[  5]  31.00-32.00  sec  19.5 MBytes   163 Mbits/sec   31   93.2 KBytes       
[  5]  32.00-33.00  sec  19.8 MBytes   166 Mbits/sec   71   59.8 KBytes       
[  5]  33.00-34.00  sec  20.5 MBytes   172 Mbits/sec   44   86.3 KBytes       
[  5]  34.00-35.00  sec  20.7 MBytes   174 Mbits/sec   42   77.1 KBytes       
[  5]  35.00-36.00  sec  19.2 MBytes   161 Mbits/sec   65   42.6 KBytes       
[  5]  36.00-37.00  sec  20.7 MBytes   174 Mbits/sec   71   57.5 KBytes       
[  5]  37.00-38.00  sec  19.8 MBytes   166 Mbits/sec   38   89.7 KBytes       
[  5]  38.00-39.00  sec  20.4 MBytes   171 Mbits/sec   68   66.7 KBytes       
[  5]  39.00-40.00  sec  20.1 MBytes   168 Mbits/sec   47   51.8 KBytes       
[  5]  40.00-41.00  sec  19.8 MBytes   166 Mbits/sec   68   69.0 KBytes       
[  5]  41.00-42.00  sec  20.1 MBytes   169 Mbits/sec   40   64.4 KBytes       
[  5]  42.00-43.00  sec  20.4 MBytes   171 Mbits/sec   54   51.8 KBytes       
[  5]  43.00-44.00  sec  20.4 MBytes   171 Mbits/sec   45   73.6 KBytes       
[  5]  44.00-45.00  sec  19.5 MBytes   164 Mbits/sec   33   93.2 KBytes       
[  5]  45.00-46.00  sec  19.5 MBytes   163 Mbits/sec   49   63.3 KBytes       
[  5]  46.00-47.00  sec  19.8 MBytes   166 Mbits/sec   83   51.8 KBytes       
[  5]  47.00-48.00  sec  19.2 MBytes   161 Mbits/sec   58   61.0 KBytes       
[  5]  48.00-49.00  sec  20.1 MBytes   168 Mbits/sec   33   52.9 KBytes       
[  5]  49.00-50.00  sec  19.8 MBytes   166 Mbits/sec   43   57.5 KBytes       
[  5]  50.00-51.00  sec  20.8 MBytes   174 Mbits/sec   36   81.7 KBytes       
[  5]  51.00-52.00  sec  20.4 MBytes   171 Mbits/sec   89   93.2 KBytes       
[  5]  52.00-53.00  sec  20.1 MBytes   168 Mbits/sec   53   79.4 KBytes       
[  5]  53.00-54.00  sec  20.4 MBytes   171 Mbits/sec   52   77.1 KBytes       
[  5]  54.00-55.00  sec  19.8 MBytes   166 Mbits/sec   69   49.5 KBytes       
[  5]  55.00-56.00  sec  20.7 MBytes   174 Mbits/sec   26   51.8 KBytes       
[  5]  56.00-57.00  sec  19.5 MBytes   163 Mbits/sec   42   65.6 KBytes       
