Connecting to host knb-server-770581, port 5201
[  5] local 10.136.173.105 port 42374 connected to 10.43.125.21 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   168 KBytes  1.38 Mbits/sec    0   46.0 KBytes       (omitted)
[  5]   0.00-1.00   sec  1.01 MBytes  8.48 Mbits/sec    0    307 KBytes       
[  5]   1.00-2.00   sec  1.85 MBytes  15.6 Mbits/sec    0    373 KBytes       
[  5]   2.00-3.00   sec  1.73 MBytes  14.5 Mbits/sec    0    453 KBytes       
[  5]   3.00-4.00   sec  1.98 MBytes  16.6 Mbits/sec    0    551 KBytes       
[  5]   4.00-5.00   sec  2.41 MBytes  20.2 Mbits/sec    0    670 KBytes       
[  5]   5.00-6.00   sec  3.83 MBytes  32.1 Mbits/sec    0    813 KBytes       
[  5]   6.00-7.00   sec  3.52 MBytes  29.5 Mbits/sec    0    988 KBytes       
[  5]   7.00-8.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.16 MBytes       
[  5]   8.00-9.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.35 MBytes       
[  5]   9.00-10.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.55 MBytes       
[  5]  10.00-11.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.77 MBytes       
[  5]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.00 MBytes       
[  5]  12.00-13.00  sec  3.75 MBytes  31.4 Mbits/sec    0   2.24 MBytes       
[  5]  13.00-14.00  sec  3.75 MBytes  31.4 Mbits/sec  367   1.15 MBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec  207   1.16 MBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec  524    863 KBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31.5 Mbits/sec    0    919 KBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0    959 KBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0    986 KBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1003 KBytes       
[  5]  20.00-21.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1010 KBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1013 KBytes       
[  5]  22.00-23.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1013 KBytes       
[  5]  23.00-24.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1013 KBytes       
