Connecting to host 10.136.80.185, port 5201
[  5] local 10.136.173.83 port 39966 connected to 10.136.80.185 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   168 KBytes  1.38 Mbits/sec    0   46.0 KBytes       (omitted)
[  5]   0.00-1.00   sec   973 KBytes  7.97 Mbits/sec   16    186 KBytes       
[  5]   1.00-2.00   sec  1.11 MBytes  9.33 Mbits/sec    0    220 KBytes       
[  5]   2.00-3.00   sec   759 KBytes  6.22 Mbits/sec    0    244 KBytes       
[  5]   3.00-4.00   sec  1.11 MBytes  9.32 Mbits/sec    0    259 KBytes       
[  5]   4.00-5.00   sec   759 KBytes  6.22 Mbits/sec    0    266 KBytes       
[  5]   5.00-6.00   sec  1.11 MBytes  9.33 Mbits/sec    0    267 KBytes       
[  5]   6.00-7.00   sec  1.11 MBytes  9.33 Mbits/sec    0    267 KBytes       
[  5]   7.00-8.00   sec  1.11 MBytes  9.33 Mbits/sec    0    268 KBytes       
[  5]   8.00-9.00   sec  1.11 MBytes  9.33 Mbits/sec    0    273 KBytes       
[  5]   9.00-10.00  sec  1.11 MBytes  9.33 Mbits/sec    0    284 KBytes       
[  5]  10.00-11.00  sec  1.24 MBytes  10.4 Mbits/sec    0    305 KBytes       
[  5]  11.00-12.00  sec  1.30 MBytes  10.9 Mbits/sec    0    338 KBytes       
[  5]  12.00-13.00  sec  1.48 MBytes  12.4 Mbits/sec    0    387 KBytes       
[  5]  13.00-14.00  sec  1.73 MBytes  14.5 Mbits/sec    0    452 KBytes       
[  5]  14.00-15.00  sec  1.98 MBytes  16.6 Mbits/sec    0    540 KBytes       
[  5]  15.00-16.00  sec  2.29 MBytes  19.2 Mbits/sec    0    650 KBytes       
[  5]  16.00-17.00  sec  3.77 MBytes  31.6 Mbits/sec    0    786 KBytes       
[  5]  17.00-18.00  sec  3.34 MBytes  28.0 Mbits/sec    0    953 KBytes       
[  5]  18.00-19.00  sec  3.74 MBytes  31.3 Mbits/sec    0   1.12 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.34 MBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.60 MBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.4 Mbits/sec    0   1.88 MBytes       
[  5]  22.00-23.00  sec  5.00 MBytes  42.0 Mbits/sec    0   2.21 MBytes       
[  5]  23.00-24.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.57 MBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.96 MBytes       
[  5]  25.00-26.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.28 MBytes       
[  5]  26.00-27.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.28 MBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.28 MBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.28 MBytes       
[  5]  29.00-30.00  sec  2.50 MBytes  21.0 Mbits/sec   27   2.04 MBytes       
[  5]  30.00-31.00  sec  3.75 MBytes  31.5 Mbits/sec  255   1.12 MBytes       
[  5]  31.00-32.00  sec  3.75 MBytes  31.5 Mbits/sec  218   1.06 MBytes       
[  5]  32.00-33.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.12 MBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.17 MBytes       
[  5]  34.00-35.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.21 MBytes       
