Connecting to host knb-server-819889, port 5201
[  5] local 10.136.173.78 port 41908 connected to 10.43.194.198 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  42.6 KBytes  0.35 Mbits/sec    0   23.0 KBytes       (omitted)
[  5]   0.00-1.00   sec   749 KBytes  6.13 Mbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  3.21 MBytes  27.0 Mbits/sec    0   1.13 MBytes       
[  5]   2.00-3.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.29 MBytes       
[  5]   3.00-4.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.47 MBytes       
[  5]   4.00-5.00   sec  2.50 MBytes  21.0 Mbits/sec    0   1.64 MBytes       
[  5]   5.00-6.00   sec  5.00 MBytes  41.9 Mbits/sec    0   1.84 MBytes       
[  5]   6.00-7.00   sec  3.75 MBytes  31.5 Mbits/sec    0   2.07 MBytes       
[  5]   7.00-8.00   sec  5.00 MBytes  41.9 Mbits/sec    0   2.32 MBytes       
[  5]   8.00-9.00   sec  5.00 MBytes  41.9 Mbits/sec    0   2.57 MBytes       
[  5]   9.00-10.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.82 MBytes       
[  5]  10.00-11.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.04 MBytes       
[  5]  11.00-12.00  sec  3.75 MBytes  31.4 Mbits/sec   10   2.19 MBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  21.0 Mbits/sec  445   1.46 MBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec   55   1.12 MBytes       
[  5]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.20 MBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec   68    878 KBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0    928 KBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  21.0 Mbits/sec    0    976 KBytes       
[  5]  18.00-19.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1008 KBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.00 MBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.01 MBytes       
