Connecting to host 10.136.80.155, port 5201
[  5] local 10.136.173.111 port 56768 connected to 10.136.80.155 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  11.4 MBytes  95.2 Mbits/sec    0    990 KBytes       (omitted)
[  5]   0.00-1.00   sec  17.5 MBytes   147 Mbits/sec   29    796 KBytes       
[  5]   1.00-2.00   sec  15.0 MBytes   126 Mbits/sec    0    856 KBytes       
[  5]   2.00-3.00   sec  12.5 MBytes   105 Mbits/sec    5    645 KBytes       
[  5]   3.00-4.00   sec  12.5 MBytes   105 Mbits/sec    0    684 KBytes       
[  5]   4.00-5.00   sec  13.8 MBytes   115 Mbits/sec    0    709 KBytes       
[  5]   5.00-6.00   sec  12.5 MBytes   105 Mbits/sec    0    724 KBytes       
[  5]   6.00-7.00   sec  13.8 MBytes   115 Mbits/sec    0    730 KBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94.4 Mbits/sec   13    557 KBytes       
[  5]   8.00-9.00   sec  11.2 MBytes  94.4 Mbits/sec    0    620 KBytes       
[  5]   9.00-10.00  sec  12.5 MBytes   105 Mbits/sec    0    666 KBytes       
[  5]  10.00-11.00  sec  12.5 MBytes   105 Mbits/sec    0    697 KBytes       
[  5]  11.00-12.00  sec  12.5 MBytes   105 Mbits/sec    0    717 KBytes       
[  5]  12.00-13.00  sec  13.8 MBytes   115 Mbits/sec    0    727 KBytes       
[  5]  13.00-14.00  sec  13.8 MBytes   115 Mbits/sec    0    732 KBytes       
[  5]  14.00-15.00  sec  8.75 MBytes  73.4 Mbits/sec   25    384 KBytes       
[  5]  15.00-16.00  sec  7.50 MBytes  62.9 Mbits/sec    0    411 KBytes       
[  5]  16.00-17.00  sec  8.75 MBytes  73.4 Mbits/sec    0    429 KBytes       
[  5]  17.00-18.00  sec  7.50 MBytes  62.9 Mbits/sec    0    437 KBytes       
[  5]  18.00-19.00  sec  8.75 MBytes  73.4 Mbits/sec    0    439 KBytes       
[  5]  19.00-20.00  sec  7.50 MBytes  62.9 Mbits/sec    0    439 KBytes       
[  5]  20.00-21.00  sec  8.75 MBytes  73.4 Mbits/sec    1    307 KBytes       
[  5]  21.00-22.00  sec  6.25 MBytes  52.4 Mbits/sec    0    359 KBytes       
[  5]  22.00-23.00  sec  6.25 MBytes  52.4 Mbits/sec    0    396 KBytes       
[  5]  23.00-24.00  sec  7.50 MBytes  62.9 Mbits/sec    0    419 KBytes       
[  5]  24.00-25.00  sec  8.75 MBytes  73.4 Mbits/sec    0    433 KBytes       
[  5]  25.00-26.00  sec  7.50 MBytes  62.9 Mbits/sec    0    438 KBytes       
[  5]  26.00-27.00  sec  8.75 MBytes  73.4 Mbits/sec    0    439 KBytes       
[  5]  27.00-28.00  sec  7.50 MBytes  62.9 Mbits/sec    0    439 KBytes       
[  5]  28.00-29.00  sec  8.75 MBytes  73.4 Mbits/sec    0    441 KBytes       
[  5]  29.00-30.00  sec  7.50 MBytes  62.9 Mbits/sec    0    445 KBytes       
[  5]  30.00-31.00  sec  8.75 MBytes  73.4 Mbits/sec    0    458 KBytes       
[  5]  31.00-32.00  sec  8.75 MBytes  73.4 Mbits/sec    0    479 KBytes       
[  5]  32.00-33.00  sec  10.0 MBytes  83.9 Mbits/sec    0    512 KBytes       
[  5]  33.00-34.00  sec  8.75 MBytes  73.4 Mbits/sec    0    560 KBytes       
[  5]  34.00-35.00  sec  11.2 MBytes  94.4 Mbits/sec    0    626 KBytes       
[  5]  35.00-36.00  sec  12.5 MBytes   105 Mbits/sec    0    712 KBytes       
[  5]  36.00-37.00  sec  13.8 MBytes   115 Mbits/sec    0    823 KBytes       
[  5]  37.00-38.00  sec  13.8 MBytes   115 Mbits/sec   12    657 KBytes       
[  5]  38.00-39.00  sec  12.5 MBytes   105 Mbits/sec    0    727 KBytes       
[  5]  39.00-40.00  sec  13.8 MBytes   115 Mbits/sec    0    777 KBytes       
[  5]  40.00-41.00  sec  15.0 MBytes   126 Mbits/sec    0    813 KBytes       
[  5]  41.00-42.00  sec  15.0 MBytes   126 Mbits/sec    0    836 KBytes       
[  5]  42.00-43.00  sec  16.2 MBytes   136 Mbits/sec    0    849 KBytes       
[  5]  43.00-44.00  sec  16.2 MBytes   136 Mbits/sec    0    855 KBytes       
[  5]  44.00-45.00  sec  15.0 MBytes   126 Mbits/sec    0    856 KBytes       
[  5]  45.00-46.00  sec  16.2 MBytes   136 Mbits/sec    0    856 KBytes       
[  5]  46.00-47.00  sec  13.8 MBytes   115 Mbits/sec   59    625 KBytes       
[  5]  47.00-48.00  sec  12.5 MBytes   105 Mbits/sec   26    488 KBytes       
[  5]  48.00-49.00  sec  8.75 MBytes  73.4 Mbits/sec    0    529 KBytes       
[  5]  49.00-50.00  sec  10.0 MBytes  83.9 Mbits/sec    0    556 KBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  94.4 Mbits/sec    0    572 KBytes       
[  5]  51.00-52.00  sec  10.0 MBytes  83.9 Mbits/sec    0    580 KBytes       
[  5]  52.00-53.00  sec  10.0 MBytes  83.9 Mbits/sec   13    421 KBytes       
[  5]  53.00-54.00  sec  8.75 MBytes  73.4 Mbits/sec    0    481 KBytes       
[  5]  54.00-55.00  sec  10.0 MBytes  83.9 Mbits/sec    0    523 KBytes       
[  5]  55.00-56.00  sec  10.0 MBytes  83.9 Mbits/sec    0    552 KBytes       
[  5]  56.00-57.00  sec  10.0 MBytes  83.9 Mbits/sec    0    571 KBytes       
[  5]  57.00-58.00  sec  11.2 MBytes  94.4 Mbits/sec    0    579 KBytes       
[  5]  58.00-59.00  sec  10.0 MBytes  83.9 Mbits/sec    0    582 KBytes       
[  5]  59.00-60.00  sec  11.2 MBytes  94.4 Mbits/sec    0    582 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   666 MBytes  93.1 Mbits/sec  183             sender
[  5]   0.00-60.05  sec   666 MBytes  93.1 Mbits/sec                  receiver

iperf Done.
