Connecting to host knb-server-607917, port 5201
[  5] local 10.136.173.113 port 54068 connected to 10.43.171.209 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.91 MBytes  57.9 Mbits/sec    2    436 KBytes       (omitted)
[  5]   0.00-1.00   sec  8.90 MBytes  74.6 Mbits/sec    0    488 KBytes       
[  5]   1.00-2.00   sec  9.64 MBytes  80.9 Mbits/sec    0    526 KBytes       
[  5]   2.00-3.00   sec  9.64 MBytes  80.9 Mbits/sec    0    550 KBytes       
[  5]   3.00-4.00   sec  10.4 MBytes  87.1 Mbits/sec    0    563 KBytes       
[  5]   4.00-5.00   sec  10.4 MBytes  87.1 Mbits/sec    0    569 KBytes       
[  5]   5.00-6.00   sec  11.1 MBytes  93.3 Mbits/sec    0    571 KBytes       
[  5]   6.00-7.00   sec  10.4 MBytes  87.1 Mbits/sec    0    571 KBytes       
[  5]   7.00-8.00   sec  10.4 MBytes  87.1 Mbits/sec    0    572 KBytes       
[  5]   8.00-9.00   sec  11.1 MBytes  93.3 Mbits/sec    0    576 KBytes       
[  5]   9.00-10.00  sec  10.4 MBytes  87.1 Mbits/sec    0    588 KBytes       
[  5]  10.00-11.00  sec  11.1 MBytes  92.8 Mbits/sec    0    609 KBytes       
[  5]  11.00-12.00  sec  10.6 MBytes  89.2 Mbits/sec    3    466 KBytes       
[  5]  12.00-13.00  sec  8.84 MBytes  74.1 Mbits/sec    0    526 KBytes       
[  5]  13.00-14.00  sec  10.4 MBytes  87.6 Mbits/sec    0    567 KBytes       
[  5]  14.00-15.00  sec  10.4 MBytes  87.6 Mbits/sec    0    596 KBytes       
[  5]  15.00-16.00  sec  11.2 MBytes  94.3 Mbits/sec    0    613 KBytes       
[  5]  16.00-17.00  sec  11.5 MBytes  96.4 Mbits/sec   19    437 KBytes       
[  5]  17.00-18.00  sec  8.84 MBytes  74.1 Mbits/sec    0    476 KBytes       
[  5]  18.00-19.00  sec  8.84 MBytes  74.1 Mbits/sec    0    503 KBytes       
[  5]  19.00-20.00  sec  9.64 MBytes  80.9 Mbits/sec    0    519 KBytes       
[  5]  20.00-21.00  sec  9.64 MBytes  80.9 Mbits/sec    0    526 KBytes       
[  5]  21.00-22.00  sec  9.64 MBytes  80.9 Mbits/sec    0    528 KBytes       
[  5]  22.00-23.00  sec  10.4 MBytes  87.6 Mbits/sec    0    528 KBytes       
[  5]  23.00-24.00  sec  9.64 MBytes  80.9 Mbits/sec    0    528 KBytes       
[  5]  24.00-25.00  sec  9.64 MBytes  80.9 Mbits/sec    0    533 KBytes       
[  5]  25.00-26.00  sec  10.4 MBytes  87.6 Mbits/sec    0    543 KBytes       
[  5]  26.00-27.00  sec  9.64 MBytes  80.9 Mbits/sec    0    561 KBytes       
[  5]  27.00-28.00  sec  10.4 MBytes  87.6 Mbits/sec    0    591 KBytes       
[  5]  28.00-29.00  sec  12.1 MBytes   102 Mbits/sec    0    635 KBytes       
[  5]  29.00-30.00  sec  12.2 MBytes   103 Mbits/sec    0    697 KBytes       
[  5]  30.00-31.00  sec  11.5 MBytes  96.4 Mbits/sec    2    551 KBytes       
[  5]  31.00-32.00  sec  11.2 MBytes  93.8 Mbits/sec    0    614 KBytes       
[  5]  32.00-33.00  sec  11.1 MBytes  93.3 Mbits/sec    0    661 KBytes       
[  5]  33.00-34.00  sec  13.0 MBytes   109 Mbits/sec    0    694 KBytes       
[  5]  34.00-35.00  sec  13.0 MBytes   109 Mbits/sec    0    714 KBytes       
[  5]  35.00-36.00  sec  14.0 MBytes   118 Mbits/sec    0    725 KBytes       
[  5]  36.00-37.00  sec  10.6 MBytes  88.6 Mbits/sec   17    535 KBytes       
[  5]  37.00-38.00  sec  11.1 MBytes  93.3 Mbits/sec    0    572 KBytes       
[  5]  38.00-39.00  sec  10.2 MBytes  85.5 Mbits/sec    0    596 KBytes       
[  5]  39.00-40.00  sec  11.2 MBytes  93.8 Mbits/sec    0    610 KBytes       
[  5]  40.00-41.00  sec  12.0 MBytes   101 Mbits/sec    0    617 KBytes       
[  5]  41.00-42.00  sec  11.1 MBytes  93.3 Mbits/sec    0    618 KBytes       
[  5]  42.00-43.00  sec  11.1 MBytes  93.3 Mbits/sec    0    618 KBytes       
[  5]  43.00-44.00  sec  12.0 MBytes   101 Mbits/sec    0    619 KBytes       
[  5]  44.00-45.00  sec  11.2 MBytes  93.8 Mbits/sec    0    624 KBytes       
[  5]  45.00-46.00  sec  12.0 MBytes   101 Mbits/sec    0    635 KBytes       
[  5]  46.00-47.00  sec  12.1 MBytes   102 Mbits/sec    0    656 KBytes       
[  5]  47.00-48.00  sec  12.0 MBytes   101 Mbits/sec    0    688 KBytes       
[  5]  48.00-49.00  sec  13.0 MBytes   109 Mbits/sec    0    735 KBytes       
[  5]  49.00-50.00  sec  15.0 MBytes   125 Mbits/sec    0    800 KBytes       
[  5]  50.00-51.00  sec  15.1 MBytes   127 Mbits/sec    0    885 KBytes       
[  5]  51.00-52.00  sec  14.1 MBytes   119 Mbits/sec    1    698 KBytes       
[  5]  52.00-53.00  sec  14.1 MBytes   118 Mbits/sec    0    772 KBytes       
[  5]  53.00-54.00  sec  15.3 MBytes   128 Mbits/sec    0    826 KBytes       
[  5]  54.00-55.00  sec  15.3 MBytes   128 Mbits/sec    0    865 KBytes       
[  5]  55.00-56.00  sec  16.5 MBytes   139 Mbits/sec    8    622 KBytes       
[  5]  56.00-57.00  sec  11.7 MBytes  98.4 Mbits/sec   26    471 KBytes       
[  5]  57.00-58.00  sec  9.39 MBytes  78.8 Mbits/sec    0    512 KBytes       
[  5]  58.00-59.00  sec  9.45 MBytes  79.3 Mbits/sec    0    540 KBytes       
[  5]  59.00-60.00  sec  10.6 MBytes  88.6 Mbits/sec    0    557 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   678 MBytes  94.7 Mbits/sec   76             sender
[  5]   0.00-60.05  sec   676 MBytes  94.5 Mbits/sec                  receiver

iperf Done.
