Connecting to host knb-server-615557, port 5201
[  5] local 10.136.173.119 port 34584 connected to 10.43.172.172 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.66 MBytes  55.9 Mbits/sec    0    535 KBytes       (omitted)
[  5]   0.00-1.00   sec  13.1 MBytes   110 Mbits/sec    0   1.10 MBytes       
[  5]   1.00-2.00   sec  12.5 MBytes   105 Mbits/sec    7    676 KBytes       
[  5]   2.00-3.00   sec  12.5 MBytes   105 Mbits/sec    0    725 KBytes       
[  5]   3.00-4.00   sec  13.8 MBytes   115 Mbits/sec    0    758 KBytes       
[  5]   4.00-5.00   sec  15.0 MBytes   126 Mbits/sec    0    780 KBytes       
[  5]   5.00-6.00   sec  13.8 MBytes   115 Mbits/sec    0    790 KBytes       
[  5]   6.00-7.00   sec  15.0 MBytes   126 Mbits/sec    0    796 KBytes       
[  5]   7.00-8.00   sec  15.0 MBytes   126 Mbits/sec    0    796 KBytes       
[  5]   8.00-9.00   sec  15.0 MBytes   126 Mbits/sec    0    796 KBytes       
[  5]   9.00-10.00  sec  13.8 MBytes   115 Mbits/sec    0    797 KBytes       
[  5]  10.00-11.00  sec  15.0 MBytes   126 Mbits/sec    0    804 KBytes       
[  5]  11.00-12.00  sec  15.0 MBytes   126 Mbits/sec    0    818 KBytes       
[  5]  12.00-13.00  sec  15.0 MBytes   126 Mbits/sec   28    592 KBytes       
[  5]  13.00-14.00  sec  12.5 MBytes   105 Mbits/sec    0    672 KBytes       
[  5]  14.00-15.00  sec  12.5 MBytes   105 Mbits/sec    0    733 KBytes       
[  5]  15.00-16.00  sec  13.8 MBytes   115 Mbits/sec    0    777 KBytes       
[  5]  16.00-17.00  sec  15.0 MBytes   126 Mbits/sec    0    806 KBytes       
[  5]  17.00-18.00  sec  12.5 MBytes   105 Mbits/sec    6    605 KBytes       
[  5]  18.00-19.00  sec  11.2 MBytes  94.4 Mbits/sec    0    643 KBytes       
[  5]  19.00-20.00  sec  12.5 MBytes   105 Mbits/sec    0    667 KBytes       
[  5]  20.00-21.00  sec  12.5 MBytes   105 Mbits/sec    0    681 KBytes       
[  5]  21.00-22.00  sec  12.5 MBytes   105 Mbits/sec    0    688 KBytes       
[  5]  22.00-23.00  sec  12.5 MBytes   105 Mbits/sec    0    689 KBytes       
[  5]  23.00-24.00  sec  12.5 MBytes   105 Mbits/sec    0    689 KBytes       
[  5]  24.00-25.00  sec  13.8 MBytes   115 Mbits/sec    0    690 KBytes       
[  5]  25.00-26.00  sec  12.5 MBytes   105 Mbits/sec    0    695 KBytes       
[  5]  26.00-27.00  sec  12.5 MBytes   105 Mbits/sec   35    496 KBytes       
[  5]  27.00-28.00  sec  10.0 MBytes  83.9 Mbits/sec    0    567 KBytes       
[  5]  28.00-29.00  sec  11.2 MBytes  94.4 Mbits/sec    0    620 KBytes       
[  5]  29.00-30.00  sec  11.2 MBytes  94.4 Mbits/sec    0    658 KBytes       
[  5]  30.00-31.00  sec  12.5 MBytes   105 Mbits/sec    0    682 KBytes       
[  5]  31.00-32.00  sec  13.8 MBytes   115 Mbits/sec    0    696 KBytes       
[  5]  32.00-33.00  sec  12.5 MBytes   105 Mbits/sec    0    703 KBytes       
[  5]  33.00-34.00  sec  13.8 MBytes   115 Mbits/sec    0    704 KBytes       
[  5]  34.00-35.00  sec  12.5 MBytes   105 Mbits/sec    0    704 KBytes       
[  5]  35.00-36.00  sec  12.5 MBytes   105 Mbits/sec    0    705 KBytes       
[  5]  36.00-37.00  sec  13.8 MBytes   115 Mbits/sec    0    710 KBytes       
[  5]  37.00-38.00  sec  13.8 MBytes   115 Mbits/sec    0    721 KBytes       
[  5]  38.00-39.00  sec  13.8 MBytes   115 Mbits/sec    0    741 KBytes       
[  5]  39.00-40.00  sec  13.8 MBytes   115 Mbits/sec    0    773 KBytes       
[  5]  40.00-41.00  sec  15.0 MBytes   126 Mbits/sec    0    820 KBytes       
[  5]  41.00-42.00  sec  15.0 MBytes   126 Mbits/sec    0    885 KBytes       
[  5]  42.00-43.00  sec  17.5 MBytes   147 Mbits/sec    0    969 KBytes       
[  5]  43.00-44.00  sec  13.8 MBytes   115 Mbits/sec   27    763 KBytes       
[  5]  44.00-45.00  sec  15.0 MBytes   126 Mbits/sec    0    836 KBytes       
[  5]  45.00-46.00  sec  16.2 MBytes   136 Mbits/sec    0    893 KBytes       
[  5]  46.00-47.00  sec  17.5 MBytes   147 Mbits/sec    0    932 KBytes       
