Connecting to host 10.136.80.169, port 5201
[  5] local 10.136.173.94 port 60822 connected to 10.136.80.169 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  3.82 MBytes  32.0 Mbits/sec    7    236 KBytes       (omitted)
[  5]   0.00-1.00   sec  4.76 MBytes  39.9 Mbits/sec    0    267 KBytes       
[  5]   1.00-2.00   sec  5.19 MBytes  43.5 Mbits/sec    0    286 KBytes       
[  5]   2.00-3.00   sec  5.62 MBytes  47.2 Mbits/sec    0    296 KBytes       
[  5]   3.00-4.00   sec  5.62 MBytes  47.2 Mbits/sec    0    300 KBytes       
[  5]   4.00-5.00   sec  5.62 MBytes  47.2 Mbits/sec    0    300 KBytes       
[  5]   5.00-6.00   sec  5.19 MBytes  43.5 Mbits/sec    0    300 KBytes       
[  5]   6.00-7.00   sec  5.62 MBytes  47.2 Mbits/sec    0    303 KBytes       
[  5]   7.00-8.00   sec  6.06 MBytes  50.8 Mbits/sec    0    311 KBytes       
[  5]   8.00-9.00   sec  6.06 MBytes  50.8 Mbits/sec    0    326 KBytes       
[  5]   9.00-10.00  sec  6.24 MBytes  52.4 Mbits/sec    0    351 KBytes       
[  5]  10.00-11.00  sec  6.92 MBytes  58.1 Mbits/sec    0    390 KBytes       
[  5]  11.00-12.00  sec  7.72 MBytes  64.8 Mbits/sec    0    444 KBytes       
[  5]  12.00-13.00  sec  8.90 MBytes  74.6 Mbits/sec    0    518 KBytes       
[  5]  13.00-14.00  sec  10.9 MBytes  91.7 Mbits/sec    0    613 KBytes       
[  5]  14.00-15.00  sec  13.0 MBytes   109 Mbits/sec    0    732 KBytes       
[  5]  15.00-16.00  sec  14.6 MBytes   122 Mbits/sec    0    878 KBytes       
[  5]  16.00-17.00  sec  14.5 MBytes   121 Mbits/sec   29    711 KBytes       
[  5]  17.00-18.00  sec  14.8 MBytes   124 Mbits/sec    0    789 KBytes       
[  5]  18.00-19.00  sec  14.8 MBytes   124 Mbits/sec    0    847 KBytes       
[  5]  19.00-20.00  sec  16.1 MBytes   135 Mbits/sec    0    889 KBytes       
[  5]  20.00-21.00  sec  13.6 MBytes   114 Mbits/sec   13    666 KBytes       
[  5]  21.00-22.00  sec  12.4 MBytes   104 Mbits/sec    0    707 KBytes       
[  5]  22.00-23.00  sec  13.6 MBytes   114 Mbits/sec    0    734 KBytes       
[  5]  23.00-24.00  sec  13.6 MBytes   114 Mbits/sec    0    751 KBytes       
[  5]  24.00-25.00  sec  13.6 MBytes   114 Mbits/sec    0    759 KBytes       
[  5]  25.00-26.00  sec  14.8 MBytes   124 Mbits/sec    0    762 KBytes       
[  5]  26.00-27.00  sec  13.6 MBytes   114 Mbits/sec    0    762 KBytes       
[  5]  27.00-28.00  sec  14.8 MBytes   124 Mbits/sec    0    762 KBytes       
[  5]  28.00-29.00  sec  13.6 MBytes   114 Mbits/sec    0    765 KBytes       
[  5]  29.00-30.00  sec  14.8 MBytes   124 Mbits/sec    0    775 KBytes       
[  5]  30.00-31.00  sec  12.4 MBytes   104 Mbits/sec   14    582 KBytes       
[  5]  31.00-32.00  sec  11.1 MBytes  93.3 Mbits/sec    0    652 KBytes       
[  5]  32.00-33.00  sec  13.6 MBytes   114 Mbits/sec    0    703 KBytes       
[  5]  33.00-34.00  sec  12.4 MBytes   104 Mbits/sec   27    518 KBytes       
[  5]  34.00-35.00  sec  8.64 MBytes  72.4 Mbits/sec   12    396 KBytes       
[  5]  35.00-36.00  sec  8.65 MBytes  72.6 Mbits/sec    0    428 KBytes       
[  5]  36.00-37.00  sec  7.41 MBytes  62.2 Mbits/sec    0    448 KBytes       
[  5]  37.00-38.00  sec  8.65 MBytes  72.6 Mbits/sec    0    458 KBytes       
[  5]  38.00-39.00  sec  8.65 MBytes  72.6 Mbits/sec    0    462 KBytes       
[  5]  39.00-40.00  sec  8.65 MBytes  72.6 Mbits/sec    0    462 KBytes       
[  5]  40.00-41.00  sec  8.65 MBytes  72.6 Mbits/sec    0    462 KBytes       
[  5]  41.00-42.00  sec  8.65 MBytes  72.6 Mbits/sec    0    466 KBytes       
[  5]  42.00-43.00  sec  8.65 MBytes  72.6 Mbits/sec    0    477 KBytes       
[  5]  43.00-44.00  sec  8.65 MBytes  72.6 Mbits/sec    0    490 KBytes       
[  5]  44.00-45.00  sec  9.89 MBytes  82.9 Mbits/sec    0    511 KBytes       
[  5]  45.00-46.00  sec  9.89 MBytes  82.9 Mbits/sec    0    549 KBytes       
[  5]  46.00-47.00  sec  9.89 MBytes  82.9 Mbits/sec    0    603 KBytes       
[  5]  47.00-48.00  sec  12.4 MBytes   104 Mbits/sec    0    675 KBytes       
[  5]  48.00-49.00  sec  13.6 MBytes   114 Mbits/sec    0    768 KBytes       
[  5]  49.00-50.00  sec  12.4 MBytes   104 Mbits/sec   12    615 KBytes       
[  5]  50.00-51.00  sec  12.4 MBytes   104 Mbits/sec    0    689 KBytes       
[  5]  51.00-52.00  sec  13.6 MBytes   114 Mbits/sec    0    742 KBytes       
[  5]  52.00-53.00  sec  14.8 MBytes   124 Mbits/sec    0    781 KBytes       
[  5]  53.00-54.00  sec  14.8 MBytes   124 Mbits/sec    0    806 KBytes       
[  5]  54.00-55.00  sec  14.8 MBytes   124 Mbits/sec    0    821 KBytes       
[  5]  55.00-56.00  sec  11.1 MBytes  93.3 Mbits/sec   16    619 KBytes       
[  5]  56.00-57.00  sec  12.4 MBytes   104 Mbits/sec    0    656 KBytes       
[  5]  57.00-58.00  sec  12.4 MBytes   104 Mbits/sec    0    679 KBytes       
[  5]  58.00-59.00  sec  12.4 MBytes   104 Mbits/sec    0    690 KBytes       
[  5]  59.00-60.00  sec  13.6 MBytes   114 Mbits/sec    0    696 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   652 MBytes  91.1 Mbits/sec  123             sender
[  5]   0.00-60.05  sec   650 MBytes  90.7 Mbits/sec                  receiver

iperf Done.
