Connecting to host 10.136.80.190, port 5201
[  5] local 10.136.173.79 port 56422 connected to 10.136.80.190 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.52 MBytes  12.7 Mbits/sec    0   90.9 KBytes       (omitted)
[  5]   0.00-1.00   sec  2.10 MBytes  17.6 Mbits/sec    0    185 KBytes       
[  5]   1.00-2.00   sec   569 KBytes  4.67 Mbits/sec    7    141 KBytes       
[  5]   2.00-3.00   sec   633 KBytes  5.18 Mbits/sec   72    109 KBytes       
[  5]   3.00-4.00   sec   633 KBytes  5.18 Mbits/sec    0    123 KBytes       
[  5]   4.00-5.00   sec   949 KBytes  7.78 Mbits/sec    0    131 KBytes       
[  5]   5.00-6.00   sec  0.00 Bytes  0.00 Mbits/sec    0    132 KBytes       
[  5]   6.00-7.00   sec   633 KBytes  5.19 Mbits/sec   18   97.8 KBytes       
[  5]   7.00-8.00   sec  1.24 MBytes  10.4 Mbits/sec    0    120 KBytes       
[  5]   8.00-9.00   sec  1.54 MBytes  13.0 Mbits/sec    0    127 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    129 KBytes       
[  5]  10.00-11.00  sec   316 KBytes  2.59 Mbits/sec    0    132 KBytes       
[  5]  11.00-12.00  sec  1.54 MBytes  13.0 Mbits/sec    0    132 KBytes       
[  5]  12.00-13.00  sec  1.92 MBytes  16.1 Mbits/sec   14    107 KBytes       
[  5]  13.00-14.00  sec   949 KBytes  7.77 Mbits/sec    1    152 KBytes       
[  5]  14.00-15.00  sec  1.85 MBytes  15.5 Mbits/sec   13    133 KBytes       
[  5]  15.00-16.00  sec   633 KBytes  5.18 Mbits/sec    0    150 KBytes       
[  5]  16.00-17.00  sec   633 KBytes  5.18 Mbits/sec    0    160 KBytes       
[  5]  17.00-18.00  sec   949 KBytes  7.78 Mbits/sec    0    166 KBytes       
[  5]  18.00-19.00  sec   316 KBytes  2.59 Mbits/sec    0    166 KBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0    166 KBytes       
[  5]  20.00-21.00  sec  1.24 MBytes  10.4 Mbits/sec    0    169 KBytes       
[  5]  21.00-22.00  sec   316 KBytes  2.59 Mbits/sec    0    174 KBytes       
[  5]  22.00-23.00  sec  1.24 MBytes  10.4 Mbits/sec    0    192 KBytes       
[  5]  23.00-24.00  sec   633 KBytes  5.18 Mbits/sec    1    229 KBytes       
[  5]  24.00-25.00  sec  1.36 MBytes  11.4 Mbits/sec    0    275 KBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0    281 KBytes       
[  5]  27.00-28.00  sec   886 KBytes  7.26 Mbits/sec    0    318 KBytes       
[  5]  28.00-29.00  sec  2.41 MBytes  20.2 Mbits/sec   74    186 KBytes       
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 Mbits/sec    0    198 KBytes       
[  5]  30.00-31.00  sec   949 KBytes  7.78 Mbits/sec    0    217 KBytes       
[  5]  31.00-32.00  sec   886 KBytes  7.25 Mbits/sec   62   1.15 KBytes       
[  5]  32.00-33.00  sec   949 KBytes  7.78 Mbits/sec    0    175 KBytes       
[  5]  33.00-34.00  sec  1.36 MBytes  11.4 Mbits/sec   41    158 KBytes       
[  5]  34.00-35.00  sec  2.29 MBytes  19.2 Mbits/sec    0    179 KBytes       
[  5]  35.00-36.00  sec  1.30 MBytes  10.9 Mbits/sec    1   1.15 KBytes       
[  5]  36.00-37.00  sec   443 KBytes  3.63 Mbits/sec    0    207 KBytes       
[  5]  37.00-38.00  sec   443 KBytes  3.63 Mbits/sec    0    232 KBytes       
[  5]  38.00-39.00  sec   443 KBytes  3.63 Mbits/sec   72    159 KBytes       
[  5]  39.00-40.00  sec  2.29 MBytes  19.2 Mbits/sec    0    189 KBytes       
[  5]  40.00-41.00  sec  1.92 MBytes  16.1 Mbits/sec   33    151 KBytes       
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    0    159 KBytes       
[  5]  43.00-44.00  sec   506 KBytes  4.15 Mbits/sec   53    102 KBytes       
[  5]  44.00-45.00  sec  4.45 MBytes  37.3 Mbits/sec    0    145 KBytes       
[  5]  45.00-46.00  sec   506 KBytes  4.14 Mbits/sec    0    154 KBytes       
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 Mbits/sec    1    160 KBytes       
[  5]  47.00-48.00  sec  1.36 MBytes  11.4 Mbits/sec    0    213 KBytes       
[  5]  48.00-49.00  sec   506 KBytes  4.15 Mbits/sec    0    237 KBytes       
[  5]  49.00-50.00  sec   443 KBytes  3.63 Mbits/sec    0    268 KBytes       
[  5]  50.00-51.00  sec  1.79 MBytes  15.0 Mbits/sec    0    358 KBytes       
[  5]  51.00-52.00  sec  1.61 MBytes  13.5 Mbits/sec    0    439 KBytes       
[  5]  52.00-53.00  sec   633 KBytes  5.18 Mbits/sec    0    460 KBytes       
[  5]  53.00-54.00  sec  1.30 MBytes  10.9 Mbits/sec    0    528 KBytes       
[  5]  54.00-55.00  sec  2.04 MBytes  17.1 Mbits/sec   40    388 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 Mbits/sec    0    404 KBytes       
[  5]  56.00-57.00  sec  1.36 MBytes  11.4 Mbits/sec    1    420 KBytes       
[  5]  57.00-58.00  sec  2.04 MBytes  17.1 Mbits/sec  134    209 KBytes       
[  5]  58.00-59.00  sec  2.78 MBytes  23.3 Mbits/sec   89    168 KBytes       
