Connecting to host knb-server-1179848, port 5201
[  5] local 10.136.173.75 port 43400 connected to 10.43.0.183 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   483 KBytes  3.96 Mbits/sec    0   43.7 KBytes       (omitted)
[  5]   0.00-1.00   sec  1.15 MBytes  9.62 Mbits/sec    1   92.0 KBytes       
[  5]   1.00-2.00   sec   190 KBytes  1.55 Mbits/sec    0    106 KBytes       
[  5]   2.00-3.00   sec  1.42 MBytes  11.9 Mbits/sec    0    166 KBytes       
[  5]   3.00-4.00   sec  1.05 MBytes  8.80 Mbits/sec    0    221 KBytes       
[  5]   4.00-5.00   sec  2.47 MBytes  20.7 Mbits/sec    8    197 KBytes       
[  5]   5.00-6.00   sec  2.22 MBytes  18.7 Mbits/sec    0    221 KBytes       
[  5]   6.00-7.00   sec  0.00 Bytes  0.00 Mbits/sec    1    223 KBytes       
[  5]   7.00-8.00   sec  1.92 MBytes  16.1 Mbits/sec    0    309 KBytes       
[  5]   8.00-9.00   sec   443 KBytes  3.63 Mbits/sec    1   1.15 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    332 KBytes       
[  5]  10.00-11.00  sec  1.98 MBytes  16.6 Mbits/sec    0    410 KBytes       
[  5]  11.00-12.00  sec  1.17 MBytes  9.85 Mbits/sec   53    326 KBytes       
[  5]  12.00-13.00  sec  3.34 MBytes  28.0 Mbits/sec    8    255 KBytes       
[  5]  13.00-14.00  sec   569 KBytes  4.66 Mbits/sec    0    265 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0    265 KBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 Mbits/sec    0    276 KBytes       
[  5]  16.00-17.00  sec   569 KBytes  4.66 Mbits/sec    0    278 KBytes       
[  5]  17.00-18.00  sec  1.17 MBytes  9.85 Mbits/sec    0    283 KBytes       
[  5]  18.00-19.00  sec  3.58 MBytes  30.1 Mbits/sec    7    199 KBytes       
[  5]  19.00-20.00  sec  1.73 MBytes  14.5 Mbits/sec   20    192 KBytes       
[  5]  20.00-21.00  sec   823 KBytes  6.74 Mbits/sec    0    181 KBytes       
[  5]  21.00-22.00  sec  1.17 MBytes  9.85 Mbits/sec    9    138 KBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0    144 KBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0    156 KBytes       
[  5]  24.00-25.00  sec  1.11 MBytes  9.33 Mbits/sec    1    183 KBytes       
[  5]  25.00-26.00  sec  2.84 MBytes  23.8 Mbits/sec    0    319 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0    344 KBytes       
[  5]  27.00-28.00  sec  3.15 MBytes  26.5 Mbits/sec   59    198 KBytes       
[  5]  28.00-29.00  sec  1.11 MBytes  9.33 Mbits/sec    0    219 KBytes       
[  5]  29.00-30.00  sec   569 KBytes  4.66 Mbits/sec  139   64.4 KBytes       
[  5]  30.00-31.00  sec  1.17 MBytes  9.85 Mbits/sec   15   69.0 KBytes       
[  5]  31.00-32.00  sec  1.11 MBytes  9.33 Mbits/sec    0   77.1 KBytes       
[  5]  32.00-33.00  sec  1.11 MBytes  9.33 Mbits/sec    0   85.1 KBytes       
[  5]  33.00-34.00  sec  1.67 MBytes  14.0 Mbits/sec    0   96.6 KBytes       
[  5]  34.00-35.00  sec   569 KBytes  4.67 Mbits/sec    0   97.8 KBytes       
[  5]  35.00-36.00  sec  1.11 MBytes  9.33 Mbits/sec    1    152 KBytes       
[  5]  36.00-37.00  sec  2.22 MBytes  18.7 Mbits/sec    0    267 KBytes       
[  5]  37.00-38.00  sec  1.11 MBytes  9.33 Mbits/sec    0    332 KBytes       
[  5]  38.00-39.00  sec  1.11 MBytes  9.33 Mbits/sec    2    366 KBytes       
[  5]  39.00-40.00  sec   569 KBytes  4.66 Mbits/sec   76    266 KBytes       
[  5]  40.00-41.00  sec  1.17 MBytes  9.85 Mbits/sec   36    214 KBytes       
[  5]  41.00-42.00  sec   569 KBytes  4.67 Mbits/sec    0    224 KBytes       
[  5]  42.00-43.00  sec   569 KBytes  4.66 Mbits/sec  138    166 KBytes       
[  5]  43.00-44.00  sec  2.22 MBytes  18.7 Mbits/sec    0    271 KBytes       
[  5]  44.00-45.00  sec  2.90 MBytes  24.4 Mbits/sec   24    265 KBytes       
[  5]  45.00-46.00  sec  0.00 Bytes  0.00 Mbits/sec    1    277 KBytes       
[  5]  46.00-47.00  sec   569 KBytes  4.67 Mbits/sec    0    294 KBytes       
[  5]  47.00-48.00  sec  2.29 MBytes  19.2 Mbits/sec    0    428 KBytes       
[  5]  48.00-49.00  sec   569 KBytes  4.66 Mbits/sec    0    445 KBytes       
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 Mbits/sec    0    461 KBytes       
[  5]  50.00-51.00  sec   633 KBytes  5.19 Mbits/sec    0    467 KBytes       
[  5]  51.00-52.00  sec  1.36 MBytes  11.4 Mbits/sec   23    428 KBytes       
[  5]  52.00-53.00  sec   696 KBytes  5.70 Mbits/sec    0    376 KBytes       
[  5]  53.00-54.00  sec   759 KBytes  6.22 Mbits/sec    0    441 KBytes       
[  5]  54.00-55.00  sec   696 KBytes  5.70 Mbits/sec    0    467 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 Mbits/sec    0    474 KBytes       
[  5]  56.00-57.00  sec  2.72 MBytes  22.8 Mbits/sec  240    251 KBytes       
