Connecting to host 10.136.80.168, port 5201
[  5] local 10.136.173.116 port 40348 connected to 10.136.80.168 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   178 KBytes  1.46 Mbits/sec    2   1.15 KBytes       (omitted)
[  5]   0.00-1.00   sec  1.01 MBytes  8.51 Mbits/sec    1   70.2 KBytes       
[  5]   1.00-2.00   sec   380 KBytes  3.11 Mbits/sec    0   88.6 KBytes       
[  5]   2.00-3.00   sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]   3.00-4.00   sec  1.85 MBytes  15.6 Mbits/sec    0    169 KBytes       
[  5]   4.00-5.00   sec  2.04 MBytes  17.1 Mbits/sec    0    260 KBytes       
[  5]   5.00-6.00   sec  2.04 MBytes  17.1 Mbits/sec    0    353 KBytes       
[  5]   6.00-7.00   sec   506 KBytes  4.15 Mbits/sec    0    370 KBytes       
[  5]   7.00-8.00   sec  2.29 MBytes  19.2 Mbits/sec   14    307 KBytes       
[  5]   8.00-9.00   sec  2.22 MBytes  18.7 Mbits/sec    0    344 KBytes       
[  5]   9.00-10.00  sec  1.17 MBytes  9.85 Mbits/sec    0    375 KBytes       
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 Mbits/sec    0    392 KBytes       
[  5]  11.00-12.00  sec  2.35 MBytes  19.7 Mbits/sec   34    204 KBytes       
[  5]  12.00-13.00  sec  1.67 MBytes  14.0 Mbits/sec    0    222 KBytes       
[  5]  13.00-14.00  sec  1.67 MBytes  14.0 Mbits/sec    1    260 KBytes       
[  5]  14.00-15.00  sec   569 KBytes  4.66 Mbits/sec    0    291 KBytes       
[  5]  15.00-16.00  sec   569 KBytes  4.67 Mbits/sec    0    330 KBytes       
[  5]  16.00-17.00  sec  4.14 MBytes  34.7 Mbits/sec   19    319 KBytes       
[  5]  17.00-18.00  sec   633 KBytes  5.18 Mbits/sec    1    349 KBytes       
[  5]  18.00-19.00  sec  3.71 MBytes  31.1 Mbits/sec   24    327 KBytes       
[  5]  19.00-20.00  sec  2.10 MBytes  17.6 Mbits/sec   74    107 KBytes       
[  5]  20.00-21.00  sec  1.24 MBytes  10.4 Mbits/sec    0    120 KBytes       
[  5]  21.00-22.00  sec  1.24 MBytes  10.4 Mbits/sec    0    128 KBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0    130 KBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0    130 KBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.15 KBytes       
[  5]  26.00-27.00  sec   633 KBytes  5.19 Mbits/sec    0    155 KBytes       
[  5]  27.00-28.00  sec  1.24 MBytes  10.4 Mbits/sec    0    246 KBytes       
[  5]  28.00-29.00  sec  1.24 MBytes  10.4 Mbits/sec    0    290 KBytes       
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 Mbits/sec    1    309 KBytes       
[  5]  30.00-31.00  sec   633 KBytes  5.19 Mbits/sec    0    337 KBytes       
[  5]  31.00-32.00  sec  1.85 MBytes  15.6 Mbits/sec   15    290 KBytes       
[  5]  32.00-33.00  sec   633 KBytes  5.18 Mbits/sec    0    293 KBytes       
[  5]  33.00-34.00  sec   633 KBytes  5.19 Mbits/sec    1    337 KBytes       
[  5]  34.00-35.00  sec  1.24 MBytes  10.4 Mbits/sec    0    395 KBytes       
[  5]  35.00-36.00  sec  1.24 MBytes  10.4 Mbits/sec    8    300 KBytes       
[  5]  36.00-37.00  sec  3.09 MBytes  25.9 Mbits/sec  145    107 KBytes       
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 Mbits/sec    1    118 KBytes       
[  5]  38.00-39.00  sec  1.24 MBytes  10.4 Mbits/sec    0    154 KBytes       
[  5]  39.00-40.00  sec   633 KBytes  5.18 Mbits/sec    0    200 KBytes       
[  5]  40.00-41.00  sec  1.24 MBytes  10.4 Mbits/sec    0    250 KBytes       
[  5]  41.00-42.00  sec  1.85 MBytes  15.5 Mbits/sec    7    225 KBytes       
[  5]  42.00-43.00  sec  1.98 MBytes  16.6 Mbits/sec    1    328 KBytes       
[  5]  43.00-44.00  sec  3.27 MBytes  27.5 Mbits/sec   94    230 KBytes       
[  5]  44.00-45.00  sec  2.53 MBytes  21.3 Mbits/sec   17    175 KBytes       
[  5]  45.00-46.00  sec   633 KBytes  5.18 Mbits/sec    1    228 KBytes       
[  5]  46.00-47.00  sec  1.85 MBytes  15.5 Mbits/sec   13   2.30 KBytes       
[  5]  47.00-48.00  sec   633 KBytes  5.18 Mbits/sec    0    228 KBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0    244 KBytes       
[  5]  49.00-50.00  sec  4.33 MBytes  36.3 Mbits/sec   28    166 KBytes       
[  5]  50.00-51.00  sec  1.85 MBytes  15.6 Mbits/sec    0    235 KBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 Mbits/sec    1    253 KBytes       
[  5]  52.00-53.00  sec   633 KBytes  5.18 Mbits/sec    0    291 KBytes       
[  5]  53.00-54.00  sec   633 KBytes  5.18 Mbits/sec    0    326 KBytes       
[  5]  54.00-55.00  sec   633 KBytes  5.18 Mbits/sec    0    351 KBytes       
[  5]  55.00-56.00  sec  1.85 MBytes  15.6 Mbits/sec    0    437 KBytes       
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 Mbits/sec   17    381 KBytes       
[  5]  57.00-58.00  sec   886 KBytes  7.26 Mbits/sec   12    309 KBytes       
[  5]  58.00-59.00  sec  1.85 MBytes  15.5 Mbits/sec    0    347 KBytes       
[  5]  59.00-60.00  sec  4.33 MBytes  36.3 Mbits/sec    0    398 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  78.4 MBytes  11.0 Mbits/sec  532             sender
[  5]   0.00-60.58  sec  77.8 MBytes  10.8 Mbits/sec                  receiver

