Connecting to host knb-server-1138537, port 5201
[  5] local 10.136.173.124 port 33398 connected to 10.43.105.116 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  85.1 KBytes  0.70 Mbits/sec    2   1.15 KBytes       (omitted)
[  5]   0.00-1.00   sec   289 KBytes  2.37 Mbits/sec    0   34.5 KBytes       
[  5]   1.00-2.00   sec  1.70 MBytes  14.3 Mbits/sec    0    107 KBytes       
[  5]   2.00-3.00   sec  4.70 MBytes  39.4 Mbits/sec   22    133 KBytes       
[  5]   3.00-4.00   sec  2.22 MBytes  18.7 Mbits/sec    0    152 KBytes       
[  5]   4.00-5.00   sec   506 KBytes  4.14 Mbits/sec    0    159 KBytes       
[  5]   5.00-6.00   sec   759 KBytes  6.22 Mbits/sec    1    189 KBytes       
[  5]   6.00-7.00   sec   759 KBytes  6.22 Mbits/sec   57    130 KBytes       
[  5]   7.00-8.00   sec   253 KBytes  2.07 Mbits/sec   24   94.3 KBytes       
[  5]   8.00-9.00   sec  1012 KBytes  8.30 Mbits/sec    1    141 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    141 KBytes       
[  5]  10.00-11.00  sec  1.54 MBytes  13.0 Mbits/sec    6    145 KBytes       
[  5]  11.00-12.00  sec  1.85 MBytes  15.5 Mbits/sec    0    170 KBytes       
[  5]  12.00-13.00  sec  5.87 MBytes  49.2 Mbits/sec   44    147 KBytes       
[  5]  13.00-14.00  sec  3.09 MBytes  25.9 Mbits/sec    0    160 KBytes       
[  5]  14.00-15.00  sec  2.16 MBytes  18.1 Mbits/sec   19    135 KBytes       
[  5]  15.00-16.00  sec  1.24 MBytes  10.4 Mbits/sec    1   1.15 KBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0    146 KBytes       
[  5]  17.00-18.00  sec  1.24 MBytes  10.4 Mbits/sec    0    198 KBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  19.00-20.00  sec   316 KBytes  2.59 Mbits/sec    0    219 KBytes       
[  5]  20.00-21.00  sec  1.36 MBytes  11.4 Mbits/sec    0    283 KBytes       
[  5]  21.00-22.00  sec  1.24 MBytes  10.4 Mbits/sec  187   98.9 KBytes       
[  5]  22.00-23.00  sec  3.03 MBytes  25.4 Mbits/sec    0    115 KBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    1    133 KBytes       
[  5]  24.00-25.00  sec  1.30 MBytes  10.9 Mbits/sec    4    107 KBytes       
[  5]  25.00-26.00  sec   443 KBytes  3.63 Mbits/sec    0    129 KBytes       
[  5]  26.00-27.00  sec   886 KBytes  7.26 Mbits/sec    1   1.15 KBytes       
[  5]  27.00-28.00  sec   443 KBytes  3.63 Mbits/sec    0    150 KBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0    159 KBytes       
[  5]  29.00-30.00  sec  1.30 MBytes  10.9 Mbits/sec    0    213 KBytes       
[  5]  30.00-31.00  sec   443 KBytes  3.63 Mbits/sec    0    259 KBytes       
[  5]  31.00-32.00  sec  1.30 MBytes  10.9 Mbits/sec   88    182 KBytes       
[  5]  32.00-33.00  sec  1.30 MBytes  10.9 Mbits/sec    0    219 KBytes       
[  5]  33.00-34.00  sec   886 KBytes  7.25 Mbits/sec    1    227 KBytes       
[  5]  34.00-35.00  sec  1.73 MBytes  14.5 Mbits/sec  139    127 KBytes       
[  5]  35.00-36.00  sec   886 KBytes  7.26 Mbits/sec    0    139 KBytes       
[  5]  36.00-37.00  sec  1.73 MBytes  14.5 Mbits/sec   22    108 KBytes       
[  5]  37.00-38.00  sec   443 KBytes  3.63 Mbits/sec    1   1.15 KBytes       
[  5]  38.00-39.00  sec   443 KBytes  3.63 Mbits/sec    0    151 KBytes       
[  5]  39.00-40.00  sec   443 KBytes  3.63 Mbits/sec    0    168 KBytes       
[  5]  40.00-41.00  sec  1.30 MBytes  10.9 Mbits/sec   48    130 KBytes       
[  5]  41.00-42.00  sec   886 KBytes  7.26 Mbits/sec    0    162 KBytes       
[  5]  42.00-43.00  sec   443 KBytes  3.63 Mbits/sec    0    171 KBytes       
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    1    183 KBytes       
[  5]  44.00-45.00  sec   886 KBytes  7.26 Mbits/sec    0    227 KBytes       
[  5]  45.00-46.00  sec   443 KBytes  3.63 Mbits/sec    0    244 KBytes       
[  5]  46.00-47.00  sec   886 KBytes  7.26 Mbits/sec    0    284 KBytes       
[  5]  47.00-48.00  sec  2.29 MBytes  19.2 Mbits/sec    0    403 KBytes       
[  5]  48.00-49.00  sec  3.03 MBytes  25.4 Mbits/sec    0    507 KBytes       
[  5]  49.00-50.00  sec  1.11 MBytes  9.33 Mbits/sec   30    377 KBytes       
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 Mbits/sec    0    381 KBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 Mbits/sec    1    383 KBytes       
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 Mbits/sec    0    385 KBytes       
[  5]  53.00-54.00  sec  2.16 MBytes  18.2 Mbits/sec    0    482 KBytes       
[  5]  54.00-55.00  sec   759 KBytes  6.22 Mbits/sec    0    527 KBytes       
[  5]  55.00-56.00  sec  1.73 MBytes  14.5 Mbits/sec   33    385 KBytes       
[  5]  56.00-57.00  sec  1.48 MBytes  12.4 Mbits/sec    0    454 KBytes       
[  5]  57.00-58.00  sec  1.48 MBytes  12.4 Mbits/sec    0    473 KBytes       
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 Mbits/sec    0    484 KBytes       
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 Mbits/sec    2    435 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  67.7 MBytes  9.46 Mbits/sec  735             sender
[  5]   0.00-60.13  sec  67.1 MBytes  9.35 Mbits/sec                  receiver

iperf Done.
