Connecting to host knb-server-1143712, port 5201
[  5] local 10.136.173.68 port 38820 connected to 10.43.110.204 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   740 KBytes  6.06 Mbits/sec    0   50.6 KBytes       (omitted)
[  5]   0.00-1.00   sec  1.50 MBytes  12.6 Mbits/sec    0    118 KBytes       
[  5]   1.00-2.00   sec  1.48 MBytes  12.4 Mbits/sec   22    106 KBytes       
[  5]   2.00-3.00   sec  2.22 MBytes  18.7 Mbits/sec    0    123 KBytes       
[  5]   3.00-4.00   sec   569 KBytes  4.67 Mbits/sec    0    131 KBytes       
[  5]   4.00-5.00   sec   380 KBytes  3.11 Mbits/sec    0    133 KBytes       
[  5]   5.00-6.00   sec  2.29 MBytes  19.2 Mbits/sec    1   96.6 KBytes       
[  5]   6.00-7.00   sec   380 KBytes  3.11 Mbits/sec    1   1.15 KBytes       
[  5]   7.00-8.00   sec   190 KBytes  1.56 Mbits/sec    0    121 KBytes       
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 Mbits/sec    0    124 KBytes       
[  5]   9.00-10.00  sec   190 KBytes  1.56 Mbits/sec    0    135 KBytes       
[  5]  10.00-11.00  sec  1.17 MBytes  9.85 Mbits/sec    0    188 KBytes       
[  5]  11.00-12.00  sec   569 KBytes  4.66 Mbits/sec    0    207 KBytes       
[  5]  12.00-13.00  sec  1012 KBytes  8.29 Mbits/sec    0    259 KBytes       
[  5]  13.00-14.00  sec   380 KBytes  3.11 Mbits/sec    0    276 KBytes       
[  5]  14.00-15.00  sec  2.16 MBytes  18.2 Mbits/sec    0    354 KBytes       
[  5]  15.00-16.00  sec  2.22 MBytes  18.7 Mbits/sec    0    460 KBytes       
[  5]  16.00-17.00  sec  1.61 MBytes  13.5 Mbits/sec    1    347 KBytes       
[  5]  17.00-18.00  sec  2.04 MBytes  17.1 Mbits/sec   84    184 KBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    1    188 KBytes       
[  5]  19.00-20.00  sec   633 KBytes  5.18 Mbits/sec    0    229 KBytes       
[  5]  20.00-21.00  sec  1.24 MBytes  10.4 Mbits/sec    0    262 KBytes       
[  5]  21.00-22.00  sec  2.47 MBytes  20.7 Mbits/sec   59    274 KBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  23.00-24.00  sec  1.85 MBytes  15.6 Mbits/sec  237    274 KBytes       
[  5]  24.00-25.00  sec  1.85 MBytes  15.6 Mbits/sec    0    274 KBytes       
[  5]  25.00-26.00  sec  1.24 MBytes  10.4 Mbits/sec    0    274 KBytes       
[  5]  26.00-27.00  sec  1.24 MBytes  10.4 Mbits/sec    0    274 KBytes       
[  5]  27.00-28.00  sec  2.47 MBytes  20.7 Mbits/sec    0    274 KBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0    274 KBytes       
[  5]  29.00-30.00  sec  2.60 MBytes  21.8 Mbits/sec   27    202 KBytes       
[  5]  30.00-31.00  sec  1.85 MBytes  15.5 Mbits/sec    0    227 KBytes       
[  5]  31.00-32.00  sec  2.53 MBytes  21.3 Mbits/sec    0    255 KBytes       
[  5]  32.00-33.00  sec  1.24 MBytes  10.4 Mbits/sec    0    268 KBytes       
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  34.00-35.00  sec  1.92 MBytes  16.1 Mbits/sec   29    197 KBytes       
[  5]  35.00-36.00  sec  1.85 MBytes  15.5 Mbits/sec    0    221 KBytes       
[  5]  36.00-37.00  sec   696 KBytes  5.70 Mbits/sec   63    117 KBytes       
[  5]  37.00-38.00  sec  1.85 MBytes  15.6 Mbits/sec   32   92.0 KBytes       
[  5]  38.00-39.00  sec  1.24 MBytes  10.4 Mbits/sec    0    102 KBytes       
[  5]  39.00-40.00  sec  1.24 MBytes  10.4 Mbits/sec    2   2.30 KBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 Mbits/sec    0    182 KBytes       
[  5]  41.00-42.00  sec   633 KBytes  5.18 Mbits/sec    0    193 KBytes       
[  5]  42.00-43.00  sec  1.24 MBytes  10.4 Mbits/sec    0    257 KBytes       
[  5]  43.00-44.00  sec   633 KBytes  5.18 Mbits/sec    0    305 KBytes       
[  5]  44.00-45.00  sec  1.85 MBytes  15.5 Mbits/sec    0    387 KBytes       
