Connecting to host 10.136.80.174, port 5201
[  5] local 10.136.173.72 port 45776 connected to 10.136.80.174 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.73 MBytes  14.5 Mbits/sec    0    105 KBytes       (omitted)
[  5]   0.00-1.00   sec  1.48 MBytes  12.4 Mbits/sec   29   98.9 KBytes       
[  5]   1.00-2.00   sec  0.00 Bytes  0.00 Mbits/sec    2   1.15 KBytes       
[  5]   2.00-3.00   sec   190 KBytes  1.56 Mbits/sec    0    108 KBytes       
[  5]   3.00-4.00   sec  1012 KBytes  8.29 Mbits/sec    6    104 KBytes       
[  5]   4.00-5.00   sec   190 KBytes  1.55 Mbits/sec    0    117 KBytes       
[  5]   5.00-6.00   sec   380 KBytes  3.11 Mbits/sec    0    129 KBytes       
[  5]   6.00-7.00   sec   759 KBytes  6.22 Mbits/sec    0    139 KBytes       
[  5]   7.00-8.00   sec   190 KBytes  1.55 Mbits/sec    0    140 KBytes       
[  5]   8.00-9.00   sec   759 KBytes  6.22 Mbits/sec    0    140 KBytes       
[  5]   9.00-10.00  sec   759 KBytes  6.22 Mbits/sec    0    141 KBytes       
[  5]  10.00-11.00  sec  2.72 MBytes  22.8 Mbits/sec   42   97.8 KBytes       
[  5]  11.00-12.00  sec   443 KBytes  3.63 Mbits/sec    1    122 KBytes       
[  5]  12.00-13.00  sec   823 KBytes  6.74 Mbits/sec    0    155 KBytes       
[  5]  13.00-14.00  sec  1.98 MBytes  16.6 Mbits/sec    0    250 KBytes       
[  5]  14.00-15.00  sec  3.58 MBytes  30.0 Mbits/sec  126   50.6 KBytes       
[  5]  15.00-16.00  sec   443 KBytes  3.63 Mbits/sec    0   54.1 KBytes       
[  5]  16.00-17.00  sec   886 KBytes  7.25 Mbits/sec    0   66.7 KBytes       
[  5]  17.00-18.00  sec  1.73 MBytes  14.5 Mbits/sec    1   81.7 KBytes       
[  5]  18.00-19.00  sec  1.73 MBytes  14.5 Mbits/sec    8    118 KBytes       
[  5]  19.00-20.00  sec   443 KBytes  3.63 Mbits/sec    0    131 KBytes       
[  5]  20.00-21.00  sec  2.60 MBytes  21.8 Mbits/sec   71   71.3 KBytes       
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0   74.8 KBytes       
[  5]  22.00-23.00  sec   886 KBytes  7.26 Mbits/sec    0   80.5 KBytes       
[  5]  23.00-24.00  sec  1.73 MBytes  14.5 Mbits/sec    7   67.9 KBytes       
[  5]  24.00-25.00  sec   443 KBytes  3.63 Mbits/sec    1   1.15 KBytes       
[  5]  25.00-26.00  sec   443 KBytes  3.63 Mbits/sec    0   88.6 KBytes       
[  5]  26.00-27.00  sec   443 KBytes  3.63 Mbits/sec    0    124 KBytes       
[  5]  27.00-28.00  sec   886 KBytes  7.26 Mbits/sec    1    158 KBytes       
[  5]  28.00-29.00  sec   443 KBytes  3.63 Mbits/sec    0    175 KBytes       
[  5]  29.00-30.00  sec  1.42 MBytes  11.9 Mbits/sec    3    146 KBytes       
[  5]  30.00-31.00  sec  2.16 MBytes  18.1 Mbits/sec    0    171 KBytes       
[  5]  31.00-32.00  sec  1.30 MBytes  10.9 Mbits/sec    1    228 KBytes       
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 Mbits/sec    0    235 KBytes       
[  5]  33.00-34.00  sec   886 KBytes  7.26 Mbits/sec    0    274 KBytes       
[  5]  34.00-35.00  sec  1012 KBytes  8.29 Mbits/sec  142    154 KBytes       
[  5]  35.00-36.00  sec  1.30 MBytes  10.9 Mbits/sec    0    209 KBytes       
[  5]  36.00-37.00  sec   886 KBytes  7.26 Mbits/sec    0    245 KBytes       
[  5]  37.00-38.00  sec  1.30 MBytes  10.9 Mbits/sec    3    189 KBytes       
[  5]  38.00-39.00  sec   443 KBytes  3.63 Mbits/sec    0    205 KBytes       
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  40.00-41.00  sec  1.79 MBytes  15.0 Mbits/sec   24    181 KBytes       
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    0    191 KBytes       
[  5]  43.00-44.00  sec   886 KBytes  7.26 Mbits/sec    0    227 KBytes       
[  5]  44.00-45.00  sec   443 KBytes  3.63 Mbits/sec    0    248 KBytes       
[  5]  45.00-46.00  sec   443 KBytes  3.63 Mbits/sec    0    273 KBytes       
[  5]  46.00-47.00  sec  2.35 MBytes  19.7 Mbits/sec   27    243 KBytes       
[  5]  47.00-48.00  sec   443 KBytes  3.63 Mbits/sec    1    267 KBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0    283 KBytes       
[  5]  49.00-50.00  sec   886 KBytes  7.26 Mbits/sec    0    312 KBytes       
[  5]  50.00-51.00  sec  2.60 MBytes  21.8 Mbits/sec   42    188 KBytes       
[  5]  51.00-52.00  sec  1012 KBytes  8.29 Mbits/sec    1    239 KBytes       
[  5]  52.00-53.00  sec  1012 KBytes  8.29 Mbits/sec    7    193 KBytes       
[  5]  53.00-54.00  sec  1012 KBytes  8.29 Mbits/sec    0    221 KBytes       
[  5]  54.00-55.00  sec   506 KBytes  4.15 Mbits/sec    0    236 KBytes       
[  5]  55.00-56.00  sec  1012 KBytes  8.30 Mbits/sec    0    248 KBytes       
[  5]  56.00-57.00  sec  2.47 MBytes  20.7 Mbits/sec    0    251 KBytes       
[  5]  57.00-58.00  sec   506 KBytes  4.14 Mbits/sec    0    251 KBytes       
[  5]  58.00-59.00  sec  1012 KBytes  8.30 Mbits/sec   82    147 KBytes       
[  5]  59.00-60.00  sec  2.60 MBytes  21.8 Mbits/sec   15    125 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  59.5 MBytes  8.32 Mbits/sec  645             sender
[  5]   0.00-60.48  sec  59.0 MBytes  8.19 Mbits/sec                  receiver

iperf Done.
