Connecting to host 10.136.80.187, port 5201
[  5] local 10.136.173.66 port 50912 connected to 10.136.80.187 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   531 KBytes  4.35 Mbits/sec    1   42.6 KBytes       (omitted)
[  5]   0.00-1.00   sec  92.0 KBytes  0.75 Mbits/sec    1   1.15 KBytes       
[  5]   1.00-2.00   sec  86.3 KBytes  0.71 Mbits/sec    0   52.9 KBytes       
[  5]   2.00-3.00   sec   672 KBytes  5.50 Mbits/sec    1   75.9 KBytes       
[  5]   3.00-4.00   sec   569 KBytes  4.66 Mbits/sec    0    102 KBytes       
[  5]   4.00-5.00   sec  1.92 MBytes  16.1 Mbits/sec    0    193 KBytes       
[  5]   5.00-6.00   sec  1.92 MBytes  16.1 Mbits/sec    0    278 KBytes       
[  5]   6.00-7.00   sec  0.00 Bytes  0.00 Mbits/sec    0    284 KBytes       
[  5]   7.00-8.00   sec  1.67 MBytes  14.0 Mbits/sec    0    349 KBytes       
[  5]   8.00-9.00   sec  1.54 MBytes  13.0 Mbits/sec    0    431 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    436 KBytes       
[  5]  10.00-11.00  sec  1.79 MBytes  15.0 Mbits/sec  157    284 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0    322 KBytes       
[  5]  12.00-13.00  sec  1.98 MBytes  16.6 Mbits/sec  145    251 KBytes       
[  5]  13.00-14.00  sec  1.85 MBytes  15.5 Mbits/sec  174    141 KBytes       
[  5]  14.00-15.00  sec   633 KBytes  5.18 Mbits/sec    0    155 KBytes       
[  5]  15.00-16.00  sec   633 KBytes  5.18 Mbits/sec    0    166 KBytes       
[  5]  16.00-17.00  sec  2.47 MBytes  20.8 Mbits/sec    0    168 KBytes       
[  5]  17.00-18.00  sec  2.47 MBytes  20.7 Mbits/sec    0    168 KBytes       
[  5]  18.00-19.00  sec  1.85 MBytes  15.6 Mbits/sec    0    171 KBytes       
[  5]  19.00-20.00  sec   633 KBytes  5.18 Mbits/sec    0    175 KBytes       
[  5]  20.00-21.00  sec   633 KBytes  5.18 Mbits/sec    0    182 KBytes       
[  5]  21.00-22.00  sec   633 KBytes  5.18 Mbits/sec    0    199 KBytes       
[  5]  22.00-23.00  sec  1.85 MBytes  15.6 Mbits/sec   58    112 KBytes       
[  5]  23.00-24.00  sec   633 KBytes  5.18 Mbits/sec    0    125 KBytes       
[  5]  24.00-25.00  sec   633 KBytes  5.19 Mbits/sec    0    132 KBytes       
[  5]  25.00-26.00  sec   633 KBytes  5.18 Mbits/sec    1    150 KBytes       
[  5]  26.00-27.00  sec  1.85 MBytes  15.5 Mbits/sec   11    173 KBytes       
[  5]  27.00-28.00  sec  1.24 MBytes  10.4 Mbits/sec    1    220 KBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0    227 KBytes       
[  5]  29.00-30.00  sec   633 KBytes  5.19 Mbits/sec    0    268 KBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    0    278 KBytes       
[  5]  31.00-32.00  sec   633 KBytes  5.19 Mbits/sec    0    305 KBytes       
[  5]  32.00-33.00  sec   633 KBytes  5.18 Mbits/sec    0    323 KBytes       
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 Mbits/sec    0    323 KBytes       
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 Mbits/sec    0    323 KBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 Mbits/sec    1    330 KBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 Mbits/sec    0    343 KBytes       
[  5]  37.00-38.00  sec  1.36 MBytes  11.4 Mbits/sec    0    404 KBytes       
[  5]  38.00-39.00  sec   633 KBytes  5.18 Mbits/sec    0    448 KBytes       
[  5]  39.00-40.00  sec   633 KBytes  5.19 Mbits/sec    0    483 KBytes       
[  5]  40.00-41.00  sec   633 KBytes  5.18 Mbits/sec    0    502 KBytes       
[  5]  41.00-42.00  sec   696 KBytes  5.70 Mbits/sec   18    381 KBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    0    374 KBytes       
[  5]  43.00-44.00  sec  1012 KBytes  8.30 Mbits/sec    0    370 KBytes       
[  5]  44.00-45.00  sec  2.78 MBytes  23.3 Mbits/sec  173    144 KBytes       
[  5]  45.00-46.00  sec  2.72 MBytes  22.8 Mbits/sec    6    120 KBytes       
[  5]  46.00-47.00  sec   696 KBytes  5.70 Mbits/sec    1    139 KBytes       
[  5]  47.00-48.00  sec   696 KBytes  5.70 Mbits/sec    0    169 KBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0    184 KBytes       
[  5]  49.00-50.00  sec  1.36 MBytes  11.4 Mbits/sec    0    232 KBytes       
[  5]  50.00-51.00  sec  3.40 MBytes  28.5 Mbits/sec   93    227 KBytes       
[  5]  51.00-52.00  sec   696 KBytes  5.70 Mbits/sec    3    173 KBytes       
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.15 KBytes       
[  5]  53.00-54.00  sec   696 KBytes  5.71 Mbits/sec    0    177 KBytes       
[  5]  54.00-55.00  sec  0.00 Bytes  0.00 Mbits/sec    0    204 KBytes       
[  5]  55.00-56.00  sec  1.36 MBytes  11.4 Mbits/sec    0    273 KBytes       
[  5]  56.00-57.00  sec  1.42 MBytes  11.9 Mbits/sec    0    341 KBytes       
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 Mbits/sec    1    347 KBytes       
[  5]  58.00-59.00  sec   696 KBytes  5.70 Mbits/sec    0    385 KBytes       
[  5]  59.00-60.00  sec  1.48 MBytes  12.4 Mbits/sec    0    436 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
