Connecting to host knb-server-1167487, port 5201
[  5] local 10.136.173.71 port 60588 connected to 10.43.243.41 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   372 KBytes  3.04 Mbits/sec    1   35.7 KBytes       (omitted)
[  5]   0.00-1.00   sec   874 KBytes  7.16 Mbits/sec    0   73.6 KBytes       
[  5]   1.00-2.00   sec   380 KBytes  3.11 Mbits/sec    0   88.6 KBytes       
[  5]   2.00-3.00   sec   316 KBytes  2.59 Mbits/sec    0    101 KBytes       
[  5]   3.00-4.00   sec   949 KBytes  7.78 Mbits/sec    0    147 KBytes       
[  5]   4.00-5.00   sec  1.24 MBytes  10.4 Mbits/sec    1    194 KBytes       
[  5]   5.00-6.00   sec  1.24 MBytes  10.4 Mbits/sec   55    158 KBytes       
[  5]   6.00-7.00   sec  2.16 MBytes  18.1 Mbits/sec    0    190 KBytes       
[  5]   7.00-8.00   sec   949 KBytes  7.77 Mbits/sec    0    204 KBytes       
[  5]   8.00-9.00   sec   316 KBytes  2.59 Mbits/sec    0    206 KBytes       
[  5]   9.00-10.00  sec   316 KBytes  2.59 Mbits/sec    1    229 KBytes       
[  5]  10.00-11.00  sec  2.29 MBytes  19.2 Mbits/sec    0    319 KBytes       
[  5]  11.00-12.00  sec   443 KBytes  3.63 Mbits/sec    0    346 KBytes       
[  5]  12.00-13.00  sec  1012 KBytes  8.29 Mbits/sec    0    388 KBytes       
[  5]  13.00-14.00  sec  1.11 MBytes  9.33 Mbits/sec    1    439 KBytes       
[  5]  14.00-15.00  sec   633 KBytes  5.18 Mbits/sec    4    320 KBytes       
[  5]  15.00-16.00  sec  3.09 MBytes  25.9 Mbits/sec    0    359 KBytes       
[  5]  16.00-17.00  sec  1.85 MBytes  15.5 Mbits/sec    1    434 KBytes       
[  5]  17.00-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0    439 KBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0    461 KBytes       
[  5]  19.00-20.00  sec   633 KBytes  5.19 Mbits/sec    0    471 KBytes       
[  5]  20.00-21.00  sec   696 KBytes  5.70 Mbits/sec    0    510 KBytes       
[  5]  21.00-22.00  sec  4.51 MBytes  37.8 Mbits/sec  191    138 KBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0    139 KBytes       
