Connecting to host 10.136.80.190, port 5201
[  5] local 10.136.173.126 port 43580 connected to 10.136.80.190 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  12.3 MBytes   103 Mbits/sec  208    704 KBytes       (omitted)
[  5]   0.00-1.00   sec  13.8 MBytes   115 Mbits/sec    0    752 KBytes       
[  5]   1.00-2.00   sec  15.0 MBytes   126 Mbits/sec    0    788 KBytes       
[  5]   2.00-3.00   sec  15.0 MBytes   126 Mbits/sec    0    810 KBytes       
[  5]   3.00-4.00   sec  15.0 MBytes   126 Mbits/sec    0    823 KBytes       
[  5]   4.00-5.00   sec  16.2 MBytes   136 Mbits/sec    0    827 KBytes       
[  5]   5.00-6.00   sec  15.0 MBytes   126 Mbits/sec    0    828 KBytes       
[  5]   6.00-7.00   sec  16.2 MBytes   136 Mbits/sec    0    828 KBytes       
[  5]   7.00-8.00   sec  15.0 MBytes   126 Mbits/sec    0    829 KBytes       
[  5]   8.00-9.00   sec  16.2 MBytes   136 Mbits/sec    0    835 KBytes       
[  5]   9.00-10.00  sec  16.2 MBytes   136 Mbits/sec    0    848 KBytes       
[  5]  10.00-11.00  sec  16.2 MBytes   136 Mbits/sec    0    870 KBytes       
[  5]  11.00-12.00  sec  16.2 MBytes   136 Mbits/sec    0    905 KBytes       
[  5]  12.00-13.00  sec  17.5 MBytes   147 Mbits/sec    0    955 KBytes       
[  5]  13.00-14.00  sec  18.8 MBytes   157 Mbits/sec    0   1023 KBytes       
[  5]  14.00-15.00  sec  20.0 MBytes   168 Mbits/sec    0   1.09 MBytes       
[  5]  15.00-16.00  sec  17.5 MBytes   147 Mbits/sec    8    867 KBytes       
[  5]  16.00-17.00  sec  17.5 MBytes   147 Mbits/sec    0    954 KBytes       
[  5]  17.00-18.00  sec  17.5 MBytes   147 Mbits/sec    0   1019 KBytes       
[  5]  18.00-19.00  sec  20.0 MBytes   168 Mbits/sec    0   1.04 MBytes       
[  5]  19.00-20.00  sec  21.2 MBytes   178 Mbits/sec    0   1.08 MBytes       
[  5]  20.00-21.00  sec  20.0 MBytes   168 Mbits/sec    0   1.10 MBytes       
[  5]  21.00-22.00  sec  21.2 MBytes   178 Mbits/sec    0   1.11 MBytes       
[  5]  22.00-23.00  sec  21.2 MBytes   178 Mbits/sec    0   1.11 MBytes       
[  5]  23.00-24.00  sec  18.8 MBytes   157 Mbits/sec    4    865 KBytes       
[  5]  24.00-25.00  sec  16.2 MBytes   136 Mbits/sec    0    951 KBytes       
[  5]  25.00-26.00  sec  18.8 MBytes   157 Mbits/sec    0   1018 KBytes       
[  5]  26.00-27.00  sec  20.0 MBytes   168 Mbits/sec    0   1.04 MBytes       
[  5]  27.00-28.00  sec  20.0 MBytes   168 Mbits/sec    0   1.08 MBytes       
