Connecting to host 10.136.80.144, port 5201
[  5] local 10.136.173.80 port 43654 connected to 10.136.80.144 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  24.9 MBytes   209 Mbits/sec   53   96.6 KBytes       (omitted)
[  5]   0.00-1.00   sec  23.2 MBytes   194 Mbits/sec   16    104 KBytes       
[  5]   1.00-2.00   sec  23.3 MBytes   195 Mbits/sec   15   93.2 KBytes       
[  5]   2.00-3.00   sec  24.3 MBytes   204 Mbits/sec   29   73.6 KBytes       
[  5]   3.00-4.00   sec  24.3 MBytes   204 Mbits/sec   15   94.3 KBytes       
[  5]   4.00-5.00   sec  24.7 MBytes   207 Mbits/sec   13    108 KBytes       
[  5]   5.00-6.00   sec  25.0 MBytes   209 Mbits/sec   23   96.6 KBytes       
[  5]   6.00-7.00   sec  24.8 MBytes   208 Mbits/sec   17   81.7 KBytes       
[  5]   7.00-8.00   sec  24.3 MBytes   204 Mbits/sec   19    113 KBytes       
[  5]   8.00-9.00   sec  28.2 MBytes   236 Mbits/sec   21    105 KBytes       
[  5]   9.00-10.00  sec  27.4 MBytes   230 Mbits/sec   34   94.3 KBytes       
[  5]  10.00-11.00  sec  25.6 MBytes   215 Mbits/sec   24   88.6 KBytes       
[  5]  11.00-12.00  sec  26.1 MBytes   219 Mbits/sec   39   90.9 KBytes       
[  5]  12.00-13.00  sec  25.8 MBytes   217 Mbits/sec   28    102 KBytes       
[  5]  13.00-14.00  sec  26.6 MBytes   223 Mbits/sec   13    105 KBytes       
[  5]  14.00-15.00  sec  25.0 MBytes   210 Mbits/sec   17   80.5 KBytes       
[  5]  15.00-16.00  sec  23.4 MBytes   196 Mbits/sec    8   90.9 KBytes       
[  5]  16.00-17.00  sec  24.5 MBytes   205 Mbits/sec   24   95.5 KBytes       
[  5]  17.00-18.00  sec  27.6 MBytes   232 Mbits/sec   26   97.8 KBytes       
[  5]  18.00-19.00  sec  21.9 MBytes   184 Mbits/sec   56    100 KBytes       
[  5]  19.00-20.00  sec  27.9 MBytes   234 Mbits/sec   35    108 KBytes       
[  5]  20.00-21.00  sec  27.7 MBytes   232 Mbits/sec   28    104 KBytes       
[  5]  21.00-22.00  sec  26.5 MBytes   222 Mbits/sec   29    105 KBytes       
[  5]  22.00-23.00  sec  25.1 MBytes   211 Mbits/sec   10    115 KBytes       
[  5]  23.00-24.00  sec  25.0 MBytes   209 Mbits/sec   36   84.0 KBytes       
[  5]  24.00-25.00  sec  25.1 MBytes   210 Mbits/sec   25   92.0 KBytes       
[  5]  25.00-26.00  sec  24.2 MBytes   203 Mbits/sec   21   98.9 KBytes       
[  5]  26.00-27.00  sec  24.1 MBytes   202 Mbits/sec   30   81.7 KBytes       
