Connecting to host 10.136.80.156, port 5201
[  5] local 10.136.173.92 port 59862 connected to 10.136.80.156 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   185 KBytes  1.52 Mbits/sec    0   44.9 KBytes       (omitted)
[  5]   0.00-1.00   sec  2.25 MBytes  18.9 Mbits/sec    1    609 KBytes       
[  5]   1.00-2.00   sec  2.12 MBytes  17.7 Mbits/sec  116    321 KBytes       
[  5]   2.00-3.00   sec   871 KBytes  7.14 Mbits/sec    0    354 KBytes       
[  5]   3.00-4.00   sec  1.73 MBytes  14.5 Mbits/sec    0    375 KBytes       
[  5]   4.00-5.00   sec   886 KBytes  7.25 Mbits/sec    0    385 KBytes       
[  5]   5.00-6.00   sec  1.73 MBytes  14.5 Mbits/sec    0    390 KBytes       
[  5]   6.00-7.00   sec  1.73 MBytes  14.5 Mbits/sec    0    390 KBytes       
[  5]   7.00-8.00   sec  1.67 MBytes  14.0 Mbits/sec    0    390 KBytes       
[  5]   8.00-9.00   sec  1.73 MBytes  14.5 Mbits/sec    0    393 KBytes       
[  5]   9.00-10.00  sec   886 KBytes  7.25 Mbits/sec    0    400 KBytes       
[  5]  10.00-11.00  sec  1.73 MBytes  14.5 Mbits/sec    0    415 KBytes       
[  5]  11.00-12.00  sec  1.67 MBytes  14.0 Mbits/sec    0    442 KBytes       
[  5]  12.00-13.00  sec  1.73 MBytes  14.5 Mbits/sec    0    481 KBytes       
[  5]  13.00-14.00  sec  1.67 MBytes  14.0 Mbits/sec    0    537 KBytes       
[  5]  14.00-15.00  sec  2.66 MBytes  22.3 Mbits/sec    0    613 KBytes       
[  5]  15.00-16.00  sec  1.92 MBytes  16.1 Mbits/sec   10    461 KBytes       
[  5]  16.00-17.00  sec  2.60 MBytes  21.8 Mbits/sec    0    533 KBytes       
[  5]  17.00-18.00  sec  1.73 MBytes  14.5 Mbits/sec    0    583 KBytes       
[  5]  18.00-19.00  sec  2.60 MBytes  21.8 Mbits/sec    0    618 KBytes       
[  5]  19.00-20.00  sec  1.79 MBytes  15.0 Mbits/sec    0    640 KBytes       
[  5]  20.00-21.00  sec  2.60 MBytes  21.8 Mbits/sec    0    652 KBytes       
[  5]  21.00-22.00  sec  2.60 MBytes  21.8 Mbits/sec    0    658 KBytes       
[  5]  22.00-23.00  sec  2.60 MBytes  21.8 Mbits/sec    0    659 KBytes       
[  5]  23.00-24.00  sec  2.60 MBytes  21.8 Mbits/sec    0    659 KBytes       
[  5]  24.00-25.00  sec  2.60 MBytes  21.8 Mbits/sec    0    660 KBytes       
[  5]  25.00-26.00  sec  2.60 MBytes  21.8 Mbits/sec    0    666 KBytes       
[  5]  26.00-27.00  sec  2.60 MBytes  21.8 Mbits/sec    0    678 KBytes       
[  5]  27.00-28.00  sec  2.72 MBytes  22.8 Mbits/sec    0    698 KBytes       
[  5]  28.00-29.00  sec  2.78 MBytes  23.3 Mbits/sec    0    732 KBytes       
[  5]  29.00-30.00  sec  2.97 MBytes  24.9 Mbits/sec    0    780 KBytes       
[  5]  30.00-31.00  sec  3.21 MBytes  27.0 Mbits/sec    0    847 KBytes       
[  5]  31.00-32.00  sec  3.46 MBytes  29.0 Mbits/sec    0    935 KBytes       
[  5]  32.00-33.00  sec  4.97 MBytes  41.7 Mbits/sec    0   1.02 MBytes       
[  5]  33.00-34.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.15 MBytes       
[  5]  34.00-35.00  sec  3.75 MBytes  31.5 Mbits/sec   43    884 KBytes       
[  5]  35.00-36.00  sec  3.75 MBytes  31.5 Mbits/sec    0    977 KBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    3    726 KBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec    0    779 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    816 KBytes       
[  5]  39.00-40.00  sec  3.75 MBytes  31.5 Mbits/sec    0    840 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0    854 KBytes       
[  5]  41.00-42.00  sec  3.75 MBytes  31.5 Mbits/sec    0    860 KBytes       
[  5]  42.00-43.00  sec  3.75 MBytes  31.5 Mbits/sec    0    862 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    862 KBytes       
[  5]  44.00-45.00  sec  3.75 MBytes  31.5 Mbits/sec    0    863 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0    867 KBytes       
[  5]  46.00-47.00  sec  3.75 MBytes  31.5 Mbits/sec    0    879 KBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0    898 KBytes       
[  5]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    0    931 KBytes       
[  5]  49.00-50.00  sec  3.75 MBytes  31.5 Mbits/sec    0    978 KBytes       
[  5]  50.00-51.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  51.00-52.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec   24    821 KBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    0    921 KBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1004 KBytes       
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.04 MBytes       
[  5]  56.00-57.00  sec  3.75 MBytes  31.5 Mbits/sec    6   1.04 MBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec    2    817 KBytes       
[  5]  58.00-59.00  sec  3.75 MBytes  31.5 Mbits/sec    0    866 KBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0    902 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   169 MBytes  23.6 Mbits/sec  205             sender
[  5]   0.00-60.25  sec   166 MBytes  23.2 Mbits/sec                  receiver

iperf Done.
