Connecting to host 10.136.80.142, port 5201
[  5] local 10.136.173.78 port 56768 connected to 10.136.80.142 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  3.97 MBytes  33.3 Mbits/sec   73    250 KBytes       (omitted)
[  5]   0.00-1.00   sec  4.82 MBytes  40.4 Mbits/sec    0    283 KBytes       
[  5]   1.00-2.00   sec  5.62 MBytes  47.2 Mbits/sec    0    306 KBytes       
[  5]   2.00-3.00   sec  5.62 MBytes  47.2 Mbits/sec    0    318 KBytes       
[  5]   3.00-4.00   sec  6.06 MBytes  50.8 Mbits/sec    0    322 KBytes       
[  5]   4.00-5.00   sec  5.62 MBytes  47.2 Mbits/sec    0    323 KBytes       
[  5]   5.00-6.00   sec  6.06 MBytes  50.8 Mbits/sec    0    323 KBytes       
[  5]   6.00-7.00   sec  6.12 MBytes  51.3 Mbits/sec    0    324 KBytes       
[  5]   7.00-8.00   sec  6.06 MBytes  50.8 Mbits/sec    0    330 KBytes       
[  5]   8.00-9.00   sec  6.30 MBytes  52.9 Mbits/sec    0    344 KBytes       
[  5]   9.00-10.00  sec  6.43 MBytes  53.9 Mbits/sec    0    367 KBytes       
[  5]  10.00-11.00  sec  7.17 MBytes  60.1 Mbits/sec    0    401 KBytes       
[  5]  11.00-12.00  sec  7.91 MBytes  66.3 Mbits/sec    0    452 KBytes       
[  5]  12.00-13.00  sec  9.08 MBytes  76.2 Mbits/sec    0    521 KBytes       
[  5]  13.00-14.00  sec  8.16 MBytes  68.4 Mbits/sec    3    422 KBytes       
[  5]  14.00-15.00  sec  6.43 MBytes  53.9 Mbits/sec    1    324 KBytes       
[  5]  15.00-16.00  sec  5.93 MBytes  49.8 Mbits/sec    0    345 KBytes       
[  5]  16.00-17.00  sec  6.67 MBytes  56.0 Mbits/sec    0    355 KBytes       
[  5]  17.00-18.00  sec  5.93 MBytes  49.8 Mbits/sec    0    360 KBytes       
[  5]  18.00-19.00  sec  6.67 MBytes  56.0 Mbits/sec    0    360 KBytes       
[  5]  19.00-20.00  sec  6.67 MBytes  56.0 Mbits/sec    0    365 KBytes       
[  5]  20.00-21.00  sec  6.67 MBytes  56.0 Mbits/sec    0    375 KBytes       
[  5]  21.00-22.00  sec  7.41 MBytes  62.2 Mbits/sec    0    388 KBytes       
[  5]  22.00-23.00  sec  7.41 MBytes  62.2 Mbits/sec    0    399 KBytes       
[  5]  23.00-24.00  sec  7.41 MBytes  62.2 Mbits/sec    0    411 KBytes       
[  5]  24.00-25.00  sec  7.41 MBytes  62.2 Mbits/sec    0    448 KBytes       
[  5]  25.00-26.00  sec  8.90 MBytes  74.6 Mbits/sec    0    502 KBytes       
[  5]  26.00-27.00  sec  9.14 MBytes  76.7 Mbits/sec    8    399 KBytes       
[  5]  27.00-28.00  sec  8.16 MBytes  68.4 Mbits/sec    0    458 KBytes       
[  5]  28.00-29.00  sec  6.67 MBytes  56.0 Mbits/sec    1    354 KBytes       
