Connecting to host 10.136.80.150, port 5201
[  5] local 10.136.173.86 port 60834 connected to 10.136.80.150 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  5.03 MBytes  42.2 Mbits/sec    0    429 KBytes       (omitted)
[  5]   0.00-1.00   sec  7.35 MBytes  61.7 Mbits/sec   13    392 KBytes       
[  5]   1.00-2.00   sec  7.48 MBytes  62.7 Mbits/sec    0    435 KBytes       
[  5]   2.00-3.00   sec  6.92 MBytes  58.1 Mbits/sec    5    334 KBytes       
[  5]   3.00-4.00   sec  6.12 MBytes  51.3 Mbits/sec    0    357 KBytes       
[  5]   4.00-5.00   sec  6.80 MBytes  57.0 Mbits/sec    0    369 KBytes       
[  5]   5.00-6.00   sec  6.80 MBytes  57.0 Mbits/sec    0    375 KBytes       
[  5]   6.00-7.00   sec  6.80 MBytes  57.0 Mbits/sec    0    376 KBytes       
[  5]   7.00-8.00   sec  6.30 MBytes  52.9 Mbits/sec    2    275 KBytes       
[  5]   8.00-9.00   sec  5.44 MBytes  45.6 Mbits/sec    0    318 KBytes       
[  5]   9.00-10.00  sec  6.12 MBytes  51.3 Mbits/sec    0    346 KBytes       
[  5]  10.00-11.00  sec  6.80 MBytes  57.0 Mbits/sec    0    365 KBytes       
[  5]  11.00-12.00  sec  6.80 MBytes  57.0 Mbits/sec    0    373 KBytes       
[  5]  12.00-13.00  sec  7.48 MBytes  62.7 Mbits/sec    0    376 KBytes       
[  5]  13.00-14.00  sec  6.80 MBytes  57.0 Mbits/sec    0    376 KBytes       
[  5]  14.00-15.00  sec  6.80 MBytes  57.0 Mbits/sec    0    376 KBytes       
[  5]  15.00-16.00  sec  6.80 MBytes  57.0 Mbits/sec    0    380 KBytes       
[  5]  16.00-17.00  sec  6.80 MBytes  57.0 Mbits/sec    0    388 KBytes       
[  5]  17.00-18.00  sec  6.80 MBytes  57.0 Mbits/sec    1    297 KBytes       
[  5]  18.00-19.00  sec  6.12 MBytes  51.3 Mbits/sec    0    339 KBytes       
[  5]  19.00-20.00  sec  6.12 MBytes  51.3 Mbits/sec    0    368 KBytes       
[  5]  20.00-21.00  sec  6.80 MBytes  57.0 Mbits/sec    0    385 KBytes       
[  5]  21.00-22.00  sec  5.44 MBytes  45.6 Mbits/sec    2    297 KBytes       
[  5]  22.00-23.00  sec  6.12 MBytes  51.3 Mbits/sec    0    315 KBytes       
[  5]  23.00-24.00  sec  5.44 MBytes  45.6 Mbits/sec    0    323 KBytes       
[  5]  24.00-25.00  sec  6.12 MBytes  51.3 Mbits/sec    0    327 KBytes       
[  5]  25.00-26.00  sec  6.12 MBytes  51.3 Mbits/sec    0    327 KBytes       
[  5]  26.00-27.00  sec  6.12 MBytes  51.3 Mbits/sec    0    337 KBytes       
[  5]  27.00-28.00  sec  6.12 MBytes  51.3 Mbits/sec    0    349 KBytes       
[  5]  28.00-29.00  sec  6.80 MBytes  57.0 Mbits/sec    0    360 KBytes       
[  5]  29.00-30.00  sec  6.80 MBytes  57.0 Mbits/sec    0    372 KBytes       
[  5]  30.00-31.00  sec  6.80 MBytes  57.0 Mbits/sec    0    384 KBytes       
[  5]  31.00-32.00  sec  7.48 MBytes  62.7 Mbits/sec    0    422 KBytes       
[  5]  32.00-33.00  sec  8.16 MBytes  68.4 Mbits/sec    0    481 KBytes       
[  5]  33.00-34.00  sec  9.70 MBytes  81.4 Mbits/sec    0    557 KBytes       
[  5]  34.00-35.00  sec  11.5 MBytes  96.5 Mbits/sec   10    453 KBytes       
[  5]  35.00-36.00  sec  8.64 MBytes  72.4 Mbits/sec    0    521 KBytes       
[  5]  36.00-37.00  sec  10.4 MBytes  87.1 Mbits/sec    0    571 KBytes       
[  5]  37.00-38.00  sec  8.84 MBytes  74.1 Mbits/sec   10    431 KBytes       
[  5]  38.00-39.00  sec  8.65 MBytes  72.6 Mbits/sec    0    464 KBytes       
[  5]  39.00-40.00  sec  8.65 MBytes  72.6 Mbits/sec    0    485 KBytes       
[  5]  40.00-41.00  sec  8.65 MBytes  72.6 Mbits/sec   13    355 KBytes       
[  5]  41.00-42.00  sec  6.06 MBytes  50.8 Mbits/sec    0    387 KBytes       
[  5]  42.00-43.00  sec  7.79 MBytes  65.3 Mbits/sec    0    406 KBytes       
[  5]  43.00-44.00  sec  7.79 MBytes  65.3 Mbits/sec    0    415 KBytes       
[  5]  44.00-45.00  sec  6.92 MBytes  58.0 Mbits/sec    0    419 KBytes       
[  5]  45.00-46.00  sec  7.79 MBytes  65.3 Mbits/sec    0    419 KBytes       
[  5]  46.00-47.00  sec  7.79 MBytes  65.3 Mbits/sec    0    419 KBytes       
[  5]  47.00-48.00  sec  6.06 MBytes  50.8 Mbits/sec   32    336 KBytes       
[  5]  48.00-49.00  sec  6.92 MBytes  58.1 Mbits/sec    0    373 KBytes       
[  5]  49.00-50.00  sec  6.92 MBytes  58.0 Mbits/sec    0    397 KBytes       
[  5]  50.00-51.00  sec  6.92 MBytes  58.1 Mbits/sec    0    411 KBytes       
[  5]  51.00-52.00  sec  7.79 MBytes  65.3 Mbits/sec    0    418 KBytes       
[  5]  52.00-53.00  sec  7.79 MBytes  65.3 Mbits/sec    0    419 KBytes       
[  5]  53.00-54.00  sec  7.79 MBytes  65.3 Mbits/sec    0    419 KBytes       
[  5]  54.00-55.00  sec  7.79 MBytes  65.3 Mbits/sec    0    420 KBytes       
[  5]  55.00-56.00  sec  7.79 MBytes  65.3 Mbits/sec    0    424 KBytes       
[  5]  56.00-57.00  sec  6.06 MBytes  50.8 Mbits/sec   19    331 KBytes       
[  5]  57.00-58.00  sec  6.92 MBytes  58.1 Mbits/sec    0    373 KBytes       
[  5]  58.00-59.00  sec  6.92 MBytes  58.0 Mbits/sec    0    400 KBytes       
[  5]  59.00-60.00  sec  7.79 MBytes  65.3 Mbits/sec    0    418 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   430 MBytes  60.2 Mbits/sec  107             sender
[  5]   0.00-60.05  sec   430 MBytes  60.0 Mbits/sec                  receiver

iperf Done.
