Connecting to host 10.136.80.149, port 5201
[  5] local 10.136.173.86 port 33186 connected to 10.136.80.149 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  37.7 MBytes   316 Mbits/sec   57    719 KBytes       (omitted)
[  5]   0.00-1.00   sec  43.7 MBytes   367 Mbits/sec    0    802 KBytes       
[  5]   1.00-2.00   sec  39.9 MBytes   335 Mbits/sec    0    865 KBytes       
[  5]   2.00-3.00   sec  38.7 MBytes   325 Mbits/sec    0    911 KBytes       
[  5]   3.00-4.00   sec  41.2 MBytes   346 Mbits/sec    3    679 KBytes       
[  5]   4.00-5.00   sec  40.0 MBytes   335 Mbits/sec    0    724 KBytes       
[  5]   5.00-6.00   sec  42.5 MBytes   356 Mbits/sec    0    755 KBytes       
[  5]   6.00-7.00   sec  35.0 MBytes   293 Mbits/sec    0    773 KBytes       
[  5]   7.00-8.00   sec  32.3 MBytes   271 Mbits/sec    0    794 KBytes       
[  5]   8.00-9.00   sec  32.4 MBytes   272 Mbits/sec    0    820 KBytes       
[  5]   9.00-10.00  sec  34.9 MBytes   293 Mbits/sec    0    846 KBytes       
[  5]  10.00-11.00  sec  33.6 MBytes   282 Mbits/sec    0    871 KBytes       
[  5]  11.00-12.00  sec  38.7 MBytes   325 Mbits/sec    0    897 KBytes       
[  5]  12.00-13.00  sec  26.1 MBytes   219 Mbits/sec    4    690 KBytes       
[  5]  13.00-14.00  sec  31.2 MBytes   262 Mbits/sec    0    762 KBytes       
[  5]  14.00-15.00  sec  36.2 MBytes   304 Mbits/sec    0    817 KBytes       
[  5]  15.00-16.00  sec  36.2 MBytes   303 Mbits/sec    0    854 KBytes       
[  5]  16.00-17.00  sec  37.4 MBytes   314 Mbits/sec    0    879 KBytes       
[  5]  17.00-18.00  sec  32.4 MBytes   272 Mbits/sec    0    894 KBytes       
[  5]  18.00-19.00  sec  35.0 MBytes   293 Mbits/sec    0    900 KBytes       
[  5]  19.00-20.00  sec  38.7 MBytes   325 Mbits/sec    0    902 KBytes       
[  5]  20.00-21.00  sec  36.2 MBytes   304 Mbits/sec    0    902 KBytes       
[  5]  21.00-22.00  sec  34.9 MBytes   293 Mbits/sec    0    903 KBytes       
[  5]  22.00-23.00  sec  34.9 MBytes   293 Mbits/sec    0    907 KBytes       
[  5]  23.00-24.00  sec  41.2 MBytes   346 Mbits/sec    2    688 KBytes       
[  5]  24.00-25.00  sec  27.4 MBytes   230 Mbits/sec    0    765 KBytes       
[  5]  25.00-26.00  sec  38.7 MBytes   324 Mbits/sec    0    823 KBytes       
[  5]  26.00-27.00  sec  36.2 MBytes   304 Mbits/sec    0    864 KBytes       
[  5]  27.00-28.00  sec  29.9 MBytes   251 Mbits/sec    0    892 KBytes       
[  5]  28.00-29.00  sec  42.5 MBytes   356 Mbits/sec    0    908 KBytes       
[  5]  29.00-30.00  sec  41.2 MBytes   346 Mbits/sec    0    917 KBytes       
[  5]  30.00-31.00  sec  40.0 MBytes   335 Mbits/sec    9    670 KBytes       
[  5]  31.00-32.00  sec  27.4 MBytes   230 Mbits/sec    0    750 KBytes       
[  5]  32.00-33.00  sec  40.0 MBytes   335 Mbits/sec    0    812 KBytes       
[  5]  33.00-34.00  sec  33.7 MBytes   282 Mbits/sec    0    857 KBytes       
[  5]  34.00-35.00  sec  32.5 MBytes   272 Mbits/sec    0    887 KBytes       
[  5]  35.00-36.00  sec  33.7 MBytes   283 Mbits/sec    0    905 KBytes       
[  5]  36.00-37.00  sec  36.2 MBytes   304 Mbits/sec   11    658 KBytes       
[  5]  37.00-38.00  sec  37.4 MBytes   314 Mbits/sec    0    705 KBytes       
[  5]  38.00-39.00  sec  37.3 MBytes   313 Mbits/sec    0    739 KBytes       
[  5]  39.00-40.00  sec  32.3 MBytes   271 Mbits/sec    0    758 KBytes       
[  5]  40.00-41.00  sec  29.8 MBytes   250 Mbits/sec    0    770 KBytes       
[  5]  41.00-42.00  sec  31.2 MBytes   262 Mbits/sec    0    790 KBytes       
[  5]  42.00-43.00  sec  39.9 MBytes   335 Mbits/sec    0    821 KBytes       
[  5]  43.00-44.00  sec  31.1 MBytes   261 Mbits/sec    0    846 KBytes       
[  5]  44.00-45.00  sec  37.5 MBytes   314 Mbits/sec    0    873 KBytes       
[  5]  45.00-46.00  sec  37.5 MBytes   315 Mbits/sec    0    898 KBytes       
[  5]  46.00-47.00  sec  29.9 MBytes   251 Mbits/sec    6    671 KBytes       
[  5]  47.00-48.00  sec  36.2 MBytes   304 Mbits/sec    0    750 KBytes       
[  5]  48.00-49.00  sec  39.9 MBytes   335 Mbits/sec    0    810 KBytes       
[  5]  49.00-50.00  sec  39.9 MBytes   335 Mbits/sec    0    854 KBytes       
[  5]  50.00-51.00  sec  35.0 MBytes   293 Mbits/sec    0    882 KBytes       
[  5]  51.00-52.00  sec  35.0 MBytes   293 Mbits/sec    0    900 KBytes       
[  5]  52.00-53.00  sec  37.5 MBytes   314 Mbits/sec    0    909 KBytes       
[  5]  53.00-54.00  sec  42.5 MBytes   356 Mbits/sec    0    912 KBytes       
[  5]  54.00-55.00  sec  40.0 MBytes   335 Mbits/sec    0    912 KBytes       
