Connecting to host 10.136.80.162, port 5201
[  5] local 10.136.173.100 port 36262 connected to 10.136.80.162 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   137 KBytes  1.12 Mbits/sec    0   46.0 KBytes       (omitted)
[  5]   0.00-1.00   sec  2.34 MBytes  19.6 Mbits/sec    0    736 KBytes       
[  5]   1.00-2.00   sec  4.80 MBytes  40.3 Mbits/sec   63    854 KBytes       
[  5]   2.00-3.00   sec  3.75 MBytes  31.4 Mbits/sec    0    950 KBytes       
[  5]   3.00-4.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.01 MBytes       
[  5]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    1    797 KBytes       
[  5]   6.00-7.00   sec  3.75 MBytes  31.5 Mbits/sec    1    841 KBytes       
[  5]   7.00-8.00   sec  3.75 MBytes  31.5 Mbits/sec    0    892 KBytes       
[  5]   8.00-9.00   sec  3.75 MBytes  31.5 Mbits/sec    0    926 KBytes       
[  5]   9.00-10.00  sec  3.75 MBytes  31.5 Mbits/sec    0    949 KBytes       
[  5]  10.00-11.00  sec  3.75 MBytes  31.5 Mbits/sec    0    962 KBytes       
[  5]  11.00-12.00  sec  3.75 MBytes  31.5 Mbits/sec    0    967 KBytes       
[  5]  12.00-13.00  sec  3.75 MBytes  31.5 Mbits/sec    0    969 KBytes       
[  5]  13.00-14.00  sec  3.75 MBytes  31.5 Mbits/sec    0    969 KBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0    971 KBytes       
[  5]  15.00-16.00  sec  3.75 MBytes  31.5 Mbits/sec    0    977 KBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31.5 Mbits/sec    0    988 KBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1011 KBytes       
[  5]  18.00-19.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.07 MBytes       
[  5]  20.00-21.00  sec  3.75 MBytes  31.5 Mbits/sec   12    817 KBytes       
[  5]  21.00-22.00  sec  2.50 MBytes  21.0 Mbits/sec    0    912 KBytes       
[  5]  22.00-23.00  sec  3.75 MBytes  31.4 Mbits/sec    0    986 KBytes       
[  5]  23.00-24.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.05 MBytes       
[  5]  25.00-26.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  26.00-27.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.09 MBytes       
[  5]  27.00-28.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.10 MBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  30.00-31.00  sec  3.75 MBytes  31.5 Mbits/sec    1    840 KBytes       
[  5]  31.00-32.00  sec  3.75 MBytes  31.5 Mbits/sec    0    930 KBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0    999 KBytes       
[  5]  33.00-34.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  34.00-35.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.06 MBytes       
[  5]  35.00-36.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.08 MBytes       
[  5]  36.00-37.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.09 MBytes       
[  5]  37.00-38.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.10 MBytes       
[  5]  38.00-39.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  39.00-40.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.10 MBytes       
[  5]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec   26    834 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0    925 KBytes       
[  5]  42.00-43.00  sec  3.75 MBytes  31.5 Mbits/sec    0    994 KBytes       
[  5]  43.00-44.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  44.00-45.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.06 MBytes       
[  5]  45.00-46.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  46.00-47.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.09 MBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  48.00-49.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.10 MBytes       
[  5]  49.00-50.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  50.00-51.00  sec  3.75 MBytes  31.5 Mbits/sec   20    837 KBytes       
[  5]  51.00-52.00  sec  3.75 MBytes  31.5 Mbits/sec    0    928 KBytes       
[  5]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec    0    997 KBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.06 MBytes       
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  56.00-57.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.09 MBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  58.00-59.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.10 MBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   237 MBytes  33.2 Mbits/sec  124             sender
[  5]   0.00-60.25  sec   236 MBytes  32.8 Mbits/sec                  receiver

iperf Done.
