Connecting to host 10.136.80.179, port 5201
[  5] local 10.136.173.116 port 60180 connected to 10.136.80.179 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.08 MBytes  9.04 Mbits/sec   89   1.15 KBytes       (omitted)
[  5]   0.00-1.00   sec   759 KBytes  6.22 Mbits/sec   70   1.15 KBytes       
[  5]   1.00-2.00   sec  63.3 KBytes  0.52 Mbits/sec   14   2.30 KBytes       
[  5]   2.00-3.00   sec  63.3 KBytes  0.52 Mbits/sec   11   1.15 KBytes       
[  5]   3.00-4.00   sec   443 KBytes  3.63 Mbits/sec   34   2.30 KBytes       
[  5]   4.00-5.00   sec   569 KBytes  4.67 Mbits/sec   43   2.30 KBytes       
[  5]   5.00-6.00   sec   886 KBytes  7.26 Mbits/sec   75   2.30 KBytes       
[  5]   6.00-7.00   sec   949 KBytes  7.77 Mbits/sec   92   2.30 KBytes       
[  5]   7.00-8.00   sec   569 KBytes  4.66 Mbits/sec   47   2.30 KBytes       
[  5]   8.00-9.00   sec   316 KBytes  2.59 Mbits/sec   32   2.30 KBytes       
[  5]   9.00-10.00  sec   886 KBytes  7.26 Mbits/sec   81   4.60 KBytes       
[  5]  10.00-11.00  sec   506 KBytes  4.14 Mbits/sec   53   2.30 KBytes       
[  5]  11.00-12.00  sec   886 KBytes  7.26 Mbits/sec   77   2.30 KBytes       
[  5]  12.00-13.00  sec   443 KBytes  3.63 Mbits/sec   40   2.30 KBytes       
[  5]  13.00-14.00  sec   253 KBytes  2.07 Mbits/sec   30   1.15 KBytes       
[  5]  14.00-15.00  sec   190 KBytes  1.56 Mbits/sec   20   1.15 KBytes       
[  5]  15.00-16.00  sec   949 KBytes  7.77 Mbits/sec   78   1.15 KBytes       
[  5]  16.00-17.00  sec   513 KBytes  4.20 Mbits/sec   49   2.30 KBytes       
[  5]  17.00-18.00  sec   823 KBytes  6.74 Mbits/sec   61   2.30 KBytes       
[  5]  18.00-19.00  sec   190 KBytes  1.55 Mbits/sec   23   2.30 KBytes       
[  5]  19.00-20.00  sec  63.3 KBytes  0.52 Mbits/sec   10   1.15 KBytes       
[  5]  20.00-21.00  sec  63.3 KBytes  0.52 Mbits/sec    8   2.30 KBytes       
[  5]  21.00-22.00  sec   696 KBytes  5.70 Mbits/sec   60   2.30 KBytes       
[  5]  22.00-23.00  sec   506 KBytes  4.15 Mbits/sec   39   2.30 KBytes       
[  5]  23.00-24.00  sec   316 KBytes  2.59 Mbits/sec   35   1.15 KBytes       
[  5]  24.00-25.00  sec   443 KBytes  3.63 Mbits/sec   41   1.15 KBytes       
[  5]  25.00-26.00  sec  63.3 KBytes  0.52 Mbits/sec   13   1.15 KBytes       
[  5]  26.00-27.00  sec   127 KBytes  1.04 Mbits/sec    7   1.15 KBytes       
[  5]  27.00-28.00  sec   823 KBytes  6.74 Mbits/sec   72   1.15 KBytes       
[  5]  28.00-29.00  sec   380 KBytes  3.11 Mbits/sec   32   2.30 KBytes       
[  5]  29.00-30.00  sec  1.18 MBytes  9.87 Mbits/sec  100   2.30 KBytes       
[  5]  30.00-31.00  sec   190 KBytes  1.55 Mbits/sec   26   1.15 KBytes       
[  5]  31.00-32.00  sec   190 KBytes  1.56 Mbits/sec   16   2.30 KBytes       
