Connecting to host 10.136.80.183, port 5201
[  5] local 10.136.173.120 port 49956 connected to 10.136.80.183 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  77.6 MBytes   651 Mbits/sec  69060  (omitted)
[  5]   0.00-1.00   sec  80.0 MBytes   671 Mbits/sec  71230  
[  5]   1.00-2.00   sec  80.5 MBytes   675 Mbits/sec  71620  
[  5]   2.00-3.00   sec  81.2 MBytes   682 Mbits/sec  72320  
[  5]   3.00-4.00   sec  81.5 MBytes   684 Mbits/sec  72560  
[  5]   4.00-5.00   sec  80.5 MBytes   675 Mbits/sec  71680  
[  5]   5.00-6.00   sec  80.5 MBytes   675 Mbits/sec  71660  
[  5]   6.00-7.00   sec  83.0 MBytes   697 Mbits/sec  73920  
[  5]   7.00-8.00   sec  81.0 MBytes   679 Mbits/sec  72080  
[  5]   8.00-9.00   sec  80.5 MBytes   675 Mbits/sec  71620  
[  5]   9.00-10.00  sec  81.2 MBytes   681 Mbits/sec  72260  
[  5]  10.00-11.00  sec  79.4 MBytes   666 Mbits/sec  70710  
[  5]  11.00-12.00  sec  81.6 MBytes   684 Mbits/sec  72610  
[  5]  12.00-13.00  sec  81.2 MBytes   681 Mbits/sec  72260  
[  5]  13.00-14.00  sec  80.7 MBytes   677 Mbits/sec  71860  
[  5]  14.00-15.00  sec  81.5 MBytes   683 Mbits/sec  72510  
[  5]  15.00-16.00  sec  84.9 MBytes   712 Mbits/sec  75560  
[  5]  16.00-17.00  sec  81.2 MBytes   681 Mbits/sec  72260  
[  5]  17.00-18.00  sec  81.1 MBytes   680 Mbits/sec  72180  
[  5]  18.00-19.00  sec  80.3 MBytes   674 Mbits/sec  71480  
[  5]  19.00-20.00  sec  81.3 MBytes   682 Mbits/sec  72410  
[  5]  20.00-21.00  sec  80.2 MBytes   673 Mbits/sec  71360  
[  5]  21.00-22.00  sec  81.5 MBytes   683 Mbits/sec  72530  
[  5]  22.00-23.00  sec  81.7 MBytes   685 Mbits/sec  72710  
[  5]  23.00-24.00  sec  80.4 MBytes   674 Mbits/sec  71570  
[  5]  24.00-25.00  sec  80.2 MBytes   673 Mbits/sec  71370  
[  5]  25.00-26.00  sec  81.3 MBytes   682 Mbits/sec  72410  
[  5]  26.00-27.00  sec  81.3 MBytes   682 Mbits/sec  72410  
[  5]  27.00-28.00  sec  80.9 MBytes   679 Mbits/sec  72020  
[  5]  28.00-29.00  sec  81.4 MBytes   683 Mbits/sec  72480  
[  5]  29.00-30.00  sec  82.5 MBytes   692 Mbits/sec  73450  
[  5]  30.00-31.00  sec  80.7 MBytes   677 Mbits/sec  71810  
[  5]  31.00-32.00  sec  82.0 MBytes   688 Mbits/sec  72980  
[  5]  32.00-33.00  sec  82.5 MBytes   692 Mbits/sec  73450  
[  5]  33.00-34.00  sec  82.7 MBytes   694 Mbits/sec  73620  
[  5]  34.00-35.00  sec  81.4 MBytes   683 Mbits/sec  72440  
[  5]  35.00-36.00  sec  81.0 MBytes   679 Mbits/sec  72090  
[  5]  36.00-37.00  sec  81.2 MBytes   682 Mbits/sec  72320  
[  5]  37.00-38.00  sec  81.6 MBytes   685 Mbits/sec  72660  
[  5]  38.00-39.00  sec  80.6 MBytes   676 Mbits/sec  71780  
[  5]  39.00-40.00  sec  81.5 MBytes   684 Mbits/sec  72570  
[  5]  40.00-41.00  sec  79.5 MBytes   667 Mbits/sec  70740  
[  5]  41.00-42.00  sec  81.1 MBytes   681 Mbits/sec  72210  
[  5]  42.00-43.00  sec  82.0 MBytes   688 Mbits/sec  72980  
[  5]  43.00-44.00  sec  84.4 MBytes   708 Mbits/sec  75090  
[  5]  44.00-45.00  sec  81.6 MBytes   684 Mbits/sec  72610  
[  5]  45.00-46.00  sec  81.8 MBytes   686 Mbits/sec  72810  
[  5]  46.00-47.00  sec  81.5 MBytes   683 Mbits/sec  72510  
[  5]  47.00-48.00  sec  80.8 MBytes   677 Mbits/sec  71880  
[  5]  48.00-49.00  sec  81.4 MBytes   683 Mbits/sec  72470  
[  5]  49.00-50.00  sec  80.8 MBytes   678 Mbits/sec  71900  
[  5]  50.00-51.00  sec  80.6 MBytes   676 Mbits/sec  71750  
[  5]  51.00-52.00  sec  81.2 MBytes   681 Mbits/sec  72240  
[  5]  52.00-53.00  sec  81.5 MBytes   684 Mbits/sec  72590  
[  5]  53.00-54.00  sec  81.5 MBytes   683 Mbits/sec  72510  
[  5]  54.00-55.00  sec  79.5 MBytes   667 Mbits/sec  70800  
[  5]  55.00-56.00  sec  80.3 MBytes   674 Mbits/sec  71510  
[  5]  56.00-57.00  sec  80.9 MBytes   679 Mbits/sec  72030  
[  5]  57.00-58.00  sec  80.3 MBytes   674 Mbits/sec  71490  
[  5]  58.00-59.00  sec  79.2 MBytes   664 Mbits/sec  70490  
[  5]  59.00-60.00  sec  81.0 MBytes   679 Mbits/sec  72080  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.76 GBytes   681 Mbits/sec  0.000 ms  0/4335510 (0%)  sender
[  5]   0.00-60.26  sec  2.39 GBytes   341 Mbits/sec  0.009 ms  2197488/4335390 (51%)  receiver

iperf Done.
