Connecting to host 10.136.80.164, port 5201
[  5] local 10.136.173.99 port 43188 connected to 10.136.80.164 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  24.9 MBytes   209 Mbits/sec    0   1.13 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   2.26 MBytes       
[  5]   1.00-2.00   sec  25.0 MBytes   210 Mbits/sec  695   1.05 MBytes       
[  5]   2.00-3.00   sec  35.0 MBytes   294 Mbits/sec   63    806 KBytes       
[  5]   3.00-4.00   sec  25.0 MBytes   210 Mbits/sec    0    850 KBytes       
[  5]   4.00-5.00   sec  28.8 MBytes   241 Mbits/sec    0    880 KBytes       
[  5]   5.00-6.00   sec  32.5 MBytes   273 Mbits/sec    0    898 KBytes       
[  5]   6.00-7.00   sec  28.8 MBytes   241 Mbits/sec    0    909 KBytes       
[  5]   7.00-8.00   sec  23.8 MBytes   199 Mbits/sec    0    912 KBytes       
[  5]   8.00-9.00   sec  26.2 MBytes   220 Mbits/sec    0    912 KBytes       
[  5]   9.00-10.00  sec  31.2 MBytes   262 Mbits/sec    0    916 KBytes       
[  5]  10.00-11.00  sec  35.0 MBytes   294 Mbits/sec    0    939 KBytes       
[  5]  11.00-12.00  sec  36.2 MBytes   304 Mbits/sec    0    963 KBytes       
[  5]  12.00-13.00  sec  28.8 MBytes   241 Mbits/sec    0    981 KBytes       
[  5]  13.00-14.00  sec  32.5 MBytes   273 Mbits/sec   76    724 KBytes       
[  5]  14.00-15.00  sec  30.0 MBytes   252 Mbits/sec    0    810 KBytes       
[  5]  15.00-16.00  sec  36.2 MBytes   304 Mbits/sec    0    875 KBytes       
[  5]  16.00-17.00  sec  35.0 MBytes   294 Mbits/sec    0    923 KBytes       
[  5]  17.00-18.00  sec  35.0 MBytes   294 Mbits/sec    0    956 KBytes       
[  5]  18.00-19.00  sec  31.2 MBytes   262 Mbits/sec    0    977 KBytes       
[  5]  19.00-20.00  sec  25.0 MBytes   210 Mbits/sec    0    988 KBytes       
[  5]  20.00-21.00  sec  27.5 MBytes   231 Mbits/sec    0    993 KBytes       
[  5]  21.00-22.00  sec  35.0 MBytes   294 Mbits/sec    0    994 KBytes       
[  5]  22.00-23.00  sec  28.8 MBytes   241 Mbits/sec    0    994 KBytes       
[  5]  23.00-24.00  sec  26.2 MBytes   220 Mbits/sec    0    995 KBytes       
[  5]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0   1002 KBytes       
[  5]  25.00-26.00  sec  32.5 MBytes   273 Mbits/sec    0   1016 KBytes       
[  5]  26.00-27.00  sec  30.0 MBytes   252 Mbits/sec    0   1.02 MBytes       
[  5]  27.00-28.00  sec  36.2 MBytes   304 Mbits/sec    0   1.05 MBytes       
[  5]  28.00-29.00  sec  27.5 MBytes   231 Mbits/sec    0   1.10 MBytes       
[  5]  29.00-30.00  sec  32.5 MBytes   273 Mbits/sec    0   1.17 MBytes       
[  5]  30.00-31.00  sec  30.0 MBytes   252 Mbits/sec    0   1.26 MBytes       
[  5]  31.00-32.00  sec  32.5 MBytes   273 Mbits/sec    0   1.37 MBytes       
[  5]  32.00-33.00  sec  32.5 MBytes   273 Mbits/sec    0   1.51 MBytes       
[  5]  33.00-34.00  sec  27.5 MBytes   231 Mbits/sec    0   1.67 MBytes       
[  5]  34.00-35.00  sec  26.2 MBytes   220 Mbits/sec    0   1.87 MBytes       
[  5]  35.00-36.00  sec  26.2 MBytes   220 Mbits/sec    0   2.10 MBytes       
[  5]  36.00-37.00  sec  27.5 MBytes   231 Mbits/sec    0   2.36 MBytes       
[  5]  37.00-38.00  sec  25.0 MBytes   210 Mbits/sec  229   1.26 MBytes       
[  5]  38.00-39.00  sec  30.0 MBytes   252 Mbits/sec    0   1.40 MBytes       
[  5]  39.00-40.00  sec  35.0 MBytes   294 Mbits/sec    0   1.51 MBytes       
[  5]  40.00-41.00  sec  31.2 MBytes   262 Mbits/sec    0   1.59 MBytes       
[  5]  41.00-42.00  sec  33.8 MBytes   283 Mbits/sec    0   1.66 MBytes       
[  5]  42.00-43.00  sec  35.0 MBytes   294 Mbits/sec    0   1.71 MBytes       
[  5]  43.00-44.00  sec  32.5 MBytes   273 Mbits/sec    0   1.75 MBytes       
[  5]  44.00-45.00  sec  36.2 MBytes   304 Mbits/sec    0   1.77 MBytes       
