Connecting to host knb-server-4076464, port 5201
[  5] local 10.136.173.105 port 34760 connected to 10.43.225.249 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  23.7 MBytes   199 Mbits/sec    0   1.09 MBytes       (omitted)
[  5]   0.00-1.00   sec  21.2 MBytes   178 Mbits/sec    0   2.15 MBytes       
[  5]   1.00-2.00   sec  26.2 MBytes   220 Mbits/sec    3   2.99 MBytes       
[  5]   2.00-3.00   sec  28.8 MBytes   241 Mbits/sec  1990   1.48 MBytes       
[  5]   3.00-4.00   sec  33.8 MBytes   283 Mbits/sec    0   1.49 MBytes       
[  5]   4.00-5.00   sec  35.0 MBytes   294 Mbits/sec    0   1.50 MBytes       
[  5]   5.00-6.00   sec  33.8 MBytes   283 Mbits/sec   22   1.16 MBytes       
[  5]   6.00-7.00   sec  33.8 MBytes   283 Mbits/sec    0   1.26 MBytes       
[  5]   7.00-8.00   sec  32.5 MBytes   273 Mbits/sec    0   1.34 MBytes       
[  5]   8.00-9.00   sec  32.5 MBytes   273 Mbits/sec    0   1.40 MBytes       
[  5]   9.00-10.00  sec  31.2 MBytes   262 Mbits/sec    0   1.44 MBytes       
[  5]  10.00-11.00  sec  26.2 MBytes   220 Mbits/sec    0   1.47 MBytes       
[  5]  11.00-12.00  sec  27.5 MBytes   231 Mbits/sec    0   1.49 MBytes       
[  5]  12.00-13.00  sec  26.2 MBytes   220 Mbits/sec    0   1.50 MBytes       
[  5]  13.00-14.00  sec  30.0 MBytes   252 Mbits/sec   45   1.09 MBytes       
[  5]  14.00-15.00  sec  35.0 MBytes   294 Mbits/sec   52    408 KBytes       
[  5]  15.00-16.00  sec  31.2 MBytes   262 Mbits/sec    0    454 KBytes       
[  5]  16.00-17.00  sec  31.2 MBytes   262 Mbits/sec    0    496 KBytes       
[  5]  17.00-18.00  sec  35.0 MBytes   294 Mbits/sec    0    537 KBytes       
[  5]  18.00-19.00  sec  32.5 MBytes   273 Mbits/sec    0    575 KBytes       
[  5]  19.00-20.00  sec  30.0 MBytes   252 Mbits/sec   84    444 KBytes       
[  5]  20.00-21.00  sec  27.5 MBytes   231 Mbits/sec   14    355 KBytes       
[  5]  21.00-22.00  sec  32.5 MBytes   273 Mbits/sec    0    408 KBytes       
[  5]  22.00-23.00  sec  32.5 MBytes   273 Mbits/sec    0    456 KBytes       
[  5]  23.00-24.00  sec  31.2 MBytes   262 Mbits/sec    0    498 KBytes       
[  5]  24.00-25.00  sec  35.0 MBytes   294 Mbits/sec    0    540 KBytes       
[  5]  25.00-26.00  sec  35.0 MBytes   294 Mbits/sec    0    579 KBytes       
[  5]  26.00-27.00  sec  33.8 MBytes   283 Mbits/sec    0    615 KBytes       
[  5]  27.00-28.00  sec  31.2 MBytes   262 Mbits/sec    0    645 KBytes       
[  5]  28.00-29.00  sec  32.5 MBytes   273 Mbits/sec    0    676 KBytes       
[  5]  29.00-30.00  sec  30.0 MBytes   252 Mbits/sec    0    704 KBytes       
[  5]  30.00-31.00  sec  28.8 MBytes   241 Mbits/sec    0    729 KBytes       
[  5]  31.00-32.00  sec  36.2 MBytes   304 Mbits/sec    0    760 KBytes       
[  5]  32.00-33.00  sec  35.0 MBytes   294 Mbits/sec    0    789 KBytes       
[  5]  33.00-34.00  sec  35.0 MBytes   294 Mbits/sec    0    814 KBytes       
[  5]  34.00-35.00  sec  27.5 MBytes   231 Mbits/sec    0    836 KBytes       
[  5]  35.00-36.00  sec  31.2 MBytes   262 Mbits/sec    0    871 KBytes       
[  5]  36.00-37.00  sec  35.0 MBytes   294 Mbits/sec    0   1024 KBytes       
[  5]  37.00-38.00  sec  30.0 MBytes   252 Mbits/sec    0   1.18 MBytes       
[  5]  38.00-39.00  sec  25.0 MBytes   210 Mbits/sec    0   1.39 MBytes       
[  5]  39.00-40.00  sec  28.8 MBytes   241 Mbits/sec    0   1.64 MBytes       
[  5]  40.00-41.00  sec  31.2 MBytes   262 Mbits/sec    0   1.92 MBytes       
[  5]  41.00-42.00  sec  35.0 MBytes   294 Mbits/sec    0   2.24 MBytes       
[  5]  42.00-43.00  sec  33.8 MBytes   283 Mbits/sec    0   2.60 MBytes       
[  5]  43.00-44.00  sec  30.0 MBytes   252 Mbits/sec  170   1.58 MBytes       
[  5]  44.00-45.00  sec  31.2 MBytes   262 Mbits/sec  459    768 KBytes       
[  5]  45.00-46.00  sec  28.8 MBytes   241 Mbits/sec    0    826 KBytes       
[  5]  46.00-47.00  sec  28.8 MBytes   241 Mbits/sec    0    869 KBytes       
[  5]  47.00-48.00  sec  23.8 MBytes   199 Mbits/sec    0    898 KBytes       
[  5]  48.00-49.00  sec  27.5 MBytes   231 Mbits/sec    0    916 KBytes       
[  5]  49.00-50.00  sec  25.0 MBytes   210 Mbits/sec    0    924 KBytes       
[  5]  50.00-51.00  sec  28.8 MBytes   241 Mbits/sec   29    652 KBytes       
[  5]  51.00-52.00  sec  23.8 MBytes   199 Mbits/sec    0    739 KBytes       
[  5]  52.00-53.00  sec  28.8 MBytes   241 Mbits/sec    0    805 KBytes       
[  5]  53.00-54.00  sec  28.8 MBytes   241 Mbits/sec    0    854 KBytes       
[  5]  54.00-55.00  sec  35.0 MBytes   294 Mbits/sec    0    888 KBytes       
[  5]  55.00-56.00  sec  32.5 MBytes   273 Mbits/sec    0    910 KBytes       
[  5]  56.00-57.00  sec  27.5 MBytes   231 Mbits/sec    0    921 KBytes       
[  5]  57.00-58.00  sec  27.5 MBytes   231 Mbits/sec    0    926 KBytes       
[  5]  58.00-59.00  sec  32.5 MBytes   273 Mbits/sec    0    927 KBytes       
[  5]  59.00-60.00  sec  31.2 MBytes   262 Mbits/sec    0    927 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.80 GBytes   257 Mbits/sec  2868             sender
[  5]   0.00-60.03  sec  1.80 GBytes   257 Mbits/sec                  receiver

iperf Done.
