Connecting to host 10.136.80.142, port 5201
[  5] local 10.136.173.104 port 42974 connected to 10.136.80.142 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  27.5 MBytes   231 Mbits/sec    8    693 KBytes       (omitted)
[  5]   0.00-1.00   sec  27.2 MBytes   229 Mbits/sec    0    778 KBytes       
[  5]   1.00-2.00   sec  26.0 MBytes   218 Mbits/sec    0    841 KBytes       
[  5]   2.00-3.00   sec  26.0 MBytes   218 Mbits/sec    0    889 KBytes       
[  5]   3.00-4.00   sec  30.9 MBytes   259 Mbits/sec    0    923 KBytes       
[  5]   4.00-5.00   sec  34.8 MBytes   292 Mbits/sec    0    943 KBytes       
[  5]   5.00-6.00   sec  33.5 MBytes   281 Mbits/sec    0    954 KBytes       
[  5]   6.00-7.00   sec  34.8 MBytes   292 Mbits/sec    0    959 KBytes       
[  5]   7.00-8.00   sec  32.2 MBytes   270 Mbits/sec    0    959 KBytes       
[  5]   8.00-9.00   sec  28.5 MBytes   239 Mbits/sec    0    959 KBytes       
[  5]   9.00-10.00  sec  26.0 MBytes   218 Mbits/sec    0    961 KBytes       
[  5]  10.00-11.00  sec  26.0 MBytes   218 Mbits/sec    0    967 KBytes       
[  5]  11.00-12.00  sec  29.9 MBytes   251 Mbits/sec    0    982 KBytes       
[  5]  12.00-13.00  sec  28.8 MBytes   241 Mbits/sec    0   1005 KBytes       
[  5]  13.00-14.00  sec  32.5 MBytes   273 Mbits/sec    0   1.02 MBytes       
[  5]  14.00-15.00  sec  28.8 MBytes   241 Mbits/sec    0   1.07 MBytes       
[  5]  15.00-16.00  sec  32.5 MBytes   273 Mbits/sec    0   1.14 MBytes       
[  5]  16.00-17.00  sec  28.8 MBytes   241 Mbits/sec    0   1.23 MBytes       
[  5]  17.00-18.00  sec  27.5 MBytes   231 Mbits/sec    0   1.34 MBytes       
[  5]  18.00-19.00  sec  30.0 MBytes   252 Mbits/sec    0   1.48 MBytes       
[  5]  19.00-20.00  sec  31.2 MBytes   262 Mbits/sec    0   1.64 MBytes       
[  5]  20.00-21.00  sec  35.0 MBytes   294 Mbits/sec    0   1.84 MBytes       
[  5]  21.00-22.00  sec  35.0 MBytes   294 Mbits/sec    0   2.07 MBytes       
[  5]  22.00-23.00  sec  28.8 MBytes   241 Mbits/sec    0   2.34 MBytes       
[  5]  23.00-24.00  sec  28.8 MBytes   241 Mbits/sec    0   2.64 MBytes       
[  5]  24.00-25.00  sec  26.2 MBytes   220 Mbits/sec  465   1.40 MBytes       
[  5]  25.00-26.00  sec  26.2 MBytes   220 Mbits/sec    0   1.55 MBytes       
[  5]  26.00-27.00  sec  31.2 MBytes   262 Mbits/sec   86    836 KBytes       
[  5]  27.00-28.00  sec  33.8 MBytes   283 Mbits/sec   16    633 KBytes       
[  5]  28.00-29.00  sec  30.0 MBytes   252 Mbits/sec    0    679 KBytes       
[  5]  29.00-30.00  sec  30.0 MBytes   252 Mbits/sec    0    711 KBytes       
[  5]  30.00-31.00  sec  30.0 MBytes   252 Mbits/sec    0    729 KBytes       
[  5]  31.00-32.00  sec  31.2 MBytes   262 Mbits/sec    0    740 KBytes       
[  5]  32.00-33.00  sec  33.8 MBytes   283 Mbits/sec    0    762 KBytes       
[  5]  33.00-34.00  sec  32.5 MBytes   273 Mbits/sec    0    788 KBytes       
[  5]  34.00-35.00  sec  27.5 MBytes   231 Mbits/sec    0    810 KBytes       
[  5]  35.00-36.00  sec  28.8 MBytes   241 Mbits/sec    0    832 KBytes       
[  5]  36.00-37.00  sec  28.8 MBytes   241 Mbits/sec    0    852 KBytes       
