Connecting to host 10.136.80.176, port 5201
[  5] local 10.136.173.86 port 43566 connected to 10.136.80.176 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  42.6 KBytes  0.35 Mbits/sec    0   11.5 KBytes       (omitted)
[  5]   0.00-1.00   sec   300 KBytes  2.46 Mbits/sec    0    113 KBytes       
[  5]   1.00-2.00   sec  4.98 MBytes  41.8 Mbits/sec    0   1.72 MBytes       
[  5]   2.00-3.00   sec  3.75 MBytes  31.5 Mbits/sec    0   4.15 MBytes       
[  5]   3.00-4.00   sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]   4.00-5.00   sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]   5.00-6.00   sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]   6.00-7.00   sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]   7.00-8.00   sec  6.25 MBytes  52.4 Mbits/sec    0   4.15 MBytes       
[  5]   8.00-9.00   sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]   9.00-10.00  sec  6.25 MBytes  52.4 Mbits/sec    0   4.15 MBytes       
[  5]  10.00-11.00  sec  6.25 MBytes  52.4 Mbits/sec    0   4.15 MBytes       
[  5]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]  12.00-13.00  sec  6.25 MBytes  52.4 Mbits/sec    0   4.15 MBytes       
[  5]  13.00-14.00  sec  6.25 MBytes  52.4 Mbits/sec    0   4.15 MBytes       
[  5]  14.00-15.00  sec  5.00 MBytes  41.9 Mbits/sec    0   4.15 MBytes       
[  5]  15.00-16.00  sec  6.25 MBytes  52.4 Mbits/sec    0   4.15 MBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31.4 Mbits/sec   42    900 KBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.4 Mbits/sec  429   1.79 MBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec  1157   1.18 MBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  21.0 Mbits/sec   20   1.43 MBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec  504    691 KBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec  167    510 KBytes       
[  5]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec   57    357 KBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0    392 KBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    0    414 KBytes       
[  5]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    0    427 KBytes       
[  5]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0    431 KBytes       
[  5]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0    433 KBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec    0    433 KBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    435 KBytes       
[  5]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0    439 KBytes       
[  5]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    452 KBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  21.0 Mbits/sec    0    474 KBytes       
[  5]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    510 KBytes       
[  5]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec    0    558 KBytes       
[  5]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec    0    627 KBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    0    719 KBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec    0    834 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    974 KBytes       
[  5]  39.00-40.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.12 MBytes       
[  5]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.30 MBytes       
[  5]  41.00-42.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.52 MBytes       
[  5]  42.00-43.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.78 MBytes       
[  5]  43.00-44.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.07 MBytes       
[  5]  44.00-45.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.40 MBytes       
[  5]  45.00-46.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.77 MBytes       
[  5]  46.00-47.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.17 MBytes       
[  5]  47.00-48.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  5]  48.00-49.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  5]  49.00-50.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
[  5]  50.00-51.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  5]  52.00-53.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  5]  54.00-55.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  5]  55.00-56.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
[  5]  56.00-57.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
[  5]  57.00-58.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
[  5]  58.00-59.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
[  5]  59.00-60.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.22 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   240 MBytes  33.6 Mbits/sec  2376             sender
[  5]   0.00-60.67  sec   240 MBytes  33.2 Mbits/sec                  receiver

iperf Done.
