Connecting to host knb-server-869643, port 5201
[  5] local 10.136.173.93 port 44176 connected to 10.43.197.105 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  42.6 KBytes  0.35 Mbits/sec    0   11.5 KBytes       (omitted)
[  5]   0.00-1.00   sec   248 KBytes  2.04 Mbits/sec    0   54.1 KBytes       
[  5]   1.00-2.00   sec   135 KBytes  1.10 Mbits/sec    0   62.1 KBytes       
[  5]   2.00-3.00   sec   253 KBytes  2.07 Mbits/sec    0   72.5 KBytes       
[  5]   3.00-4.00   sec   253 KBytes  2.07 Mbits/sec    0   84.0 KBytes       
[  5]   4.00-5.00   sec   253 KBytes  2.07 Mbits/sec    0   98.9 KBytes       
[  5]   5.00-6.00   sec   380 KBytes  3.11 Mbits/sec    0    115 KBytes       
[  5]   6.00-7.00   sec   633 KBytes  5.19 Mbits/sec    0    154 KBytes       
[  5]   7.00-8.00   sec   823 KBytes  6.74 Mbits/sec    0    216 KBytes       
[  5]   8.00-9.00   sec  1.05 MBytes  8.81 Mbits/sec    0    294 KBytes       
[  5]   9.00-10.00  sec  1.42 MBytes  11.9 Mbits/sec    0    395 KBytes       
[  5]  10.00-11.00  sec  1.85 MBytes  15.5 Mbits/sec    0    517 KBytes       
[  5]  11.00-12.00  sec  2.35 MBytes  19.7 Mbits/sec    0    668 KBytes       
[  5]  12.00-13.00  sec  4.08 MBytes  34.2 Mbits/sec    0    855 KBytes       
[  5]  13.00-14.00  sec  3.66 MBytes  30.7 Mbits/sec    0   1.05 MBytes       
[  5]  14.00-15.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.30 MBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.56 MBytes       
[  5]  16.00-17.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.87 MBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.22 MBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.61 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.04 MBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.26 MBytes       
[  5]  21.00-22.00  sec  6.21 MBytes  52.1 Mbits/sec    0   3.26 MBytes       
