Connecting to host 10.136.80.164, port 5201
[  5] local 10.136.173.103 port 46194 connected to 10.136.80.164 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  42.6 KBytes  0.35 Mbits/sec    0   11.5 KBytes       (omitted)
[  5]   0.00-1.00   sec   188 KBytes  1.54 Mbits/sec    0   54.1 KBytes       
[  5]   1.00-2.00   sec   225 KBytes  1.85 Mbits/sec    0   63.3 KBytes       
[  5]   2.00-3.00   sec   253 KBytes  2.07 Mbits/sec    0   75.9 KBytes       
[  5]   3.00-4.00   sec   380 KBytes  3.11 Mbits/sec    0   90.9 KBytes       
[  5]   4.00-5.00   sec   316 KBytes  2.59 Mbits/sec    0    106 KBytes       
[  5]   5.00-6.00   sec   380 KBytes  3.11 Mbits/sec    0    123 KBytes       
[  5]   6.00-7.00   sec   633 KBytes  5.18 Mbits/sec    0    163 KBytes       
[  5]   7.00-8.00   sec   886 KBytes  7.26 Mbits/sec    0    225 KBytes       
[  5]   8.00-9.00   sec  1.17 MBytes  9.85 Mbits/sec    0    309 KBytes       
[  5]   9.00-10.00  sec  1.54 MBytes  13.0 Mbits/sec    0    414 KBytes       
[  5]  10.00-11.00  sec  1.92 MBytes  16.1 Mbits/sec    0    546 KBytes       
[  5]  11.00-12.00  sec  2.47 MBytes  20.7 Mbits/sec    0    706 KBytes       
[  5]  12.00-13.00  sec  4.20 MBytes  35.2 Mbits/sec    0    898 KBytes       
[  5]  13.00-14.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.4 Mbits/sec    0   1.35 MBytes       
[  5]  15.00-16.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.62 MBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.94 MBytes       
[  5]  17.00-18.00  sec  5.00 MBytes  42.0 Mbits/sec    0   2.30 MBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.69 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.12 MBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.33 MBytes       
[  5]  21.00-22.00  sec  4.95 MBytes  41.5 Mbits/sec    0   3.33 MBytes       
[  5]  22.00-23.00  sec  4.96 MBytes  41.6 Mbits/sec    0   3.33 MBytes       
[  5]  23.00-24.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.33 MBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.33 MBytes       
[  5]  25.00-26.00  sec  5.00 MBytes  41.8 Mbits/sec    0   3.33 MBytes       
[  5]  26.00-27.00  sec  5.00 MBytes  42.0 Mbits/sec    0   3.33 MBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  42.0 Mbits/sec    0   3.33 MBytes       
[  5]  28.00-29.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.33 MBytes       
[  5]  29.00-30.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.33 MBytes       
[  5]  30.00-31.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.33 MBytes       
[  5]  31.00-32.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.33 MBytes       
[  5]  32.00-33.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.33 MBytes       
[  5]  33.00-34.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.33 MBytes       
[  5]  34.00-35.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.33 MBytes       
[  5]  35.00-36.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.33 MBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec  1594    576 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec  166   1.17 MBytes       
[  5]  38.00-39.00  sec  3.75 MBytes  31.5 Mbits/sec  245    324 KBytes       
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 Mbits/sec  266    598 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec   79    381 KBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    319 KBytes       
[  5]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0    339 KBytes       
