Connecting to host 10.136.80.187, port 5201
[  5] local 10.136.173.98 port 55666 connected to 10.136.80.187 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.05   sec  42.6 KBytes  0.33 Mbits/sec    1   11.5 KBytes       (omitted)
[  5]   0.00-1.00   sec  94.3 KBytes  0.77 Mbits/sec    0   38.0 KBytes       
[  5]   1.00-2.00   sec   355 KBytes  2.91 Mbits/sec    0    153 KBytes       
[  5]   2.00-3.00   sec  1.05 MBytes  8.81 Mbits/sec    0    285 KBytes       
[  5]   3.00-4.00   sec   443 KBytes  3.63 Mbits/sec    0    323 KBytes       
[  5]   4.00-5.00   sec  1.48 MBytes  12.4 Mbits/sec    0    370 KBytes       
[  5]   5.00-6.00   sec   569 KBytes  4.66 Mbits/sec    0    414 KBytes       
[  5]   6.00-7.00   sec  1.17 MBytes  9.85 Mbits/sec    0    472 KBytes       
[  5]   7.00-8.00   sec  1.98 MBytes  16.6 Mbits/sec    0    541 KBytes       
[  5]   8.00-9.00   sec  1.54 MBytes  13.0 Mbits/sec    0    613 KBytes       
[  5]   9.00-10.00  sec  1.67 MBytes  14.0 Mbits/sec    0    688 KBytes       
[  5]  10.00-11.00  sec  1.92 MBytes  16.1 Mbits/sec    0    764 KBytes       
[  5]  11.00-12.00  sec  1.05 MBytes  8.81 Mbits/sec    0    832 KBytes       
[  5]  12.00-13.00  sec  1.11 MBytes  9.33 Mbits/sec    0    902 KBytes       
[  5]  13.00-14.00  sec  2.41 MBytes  20.2 Mbits/sec    0    979 KBytes       
[  5]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.11 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.32 MBytes       
[  5]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.56 MBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.85 MBytes       
[  5]  18.00-19.00  sec  1.21 MBytes  10.2 Mbits/sec    0   2.14 MBytes       
