Connecting to host knb-server-977136, port 5201
[  5] local 10.136.173.65 port 56760 connected to 10.43.50.79 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.05   sec  42.6 KBytes  0.33 Mbits/sec    1   11.5 KBytes       (omitted)
[  5]   0.00-1.00   sec  95.5 KBytes  0.78 Mbits/sec    0   31.1 KBytes       
[  5]   1.00-2.00   sec  93.2 KBytes  0.76 Mbits/sec    0   56.4 KBytes       
[  5]   2.00-3.00   sec   224 KBytes  1.84 Mbits/sec    0   63.3 KBytes       
[  5]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   71.3 KBytes       
[  5]   4.00-5.00   sec   253 KBytes  2.07 Mbits/sec    0   80.5 KBytes       
[  5]   5.00-6.00   sec   253 KBytes  2.07 Mbits/sec    0   97.8 KBytes       
[  5]   6.00-7.00   sec   380 KBytes  3.11 Mbits/sec    0    132 KBytes       
[  5]   7.00-8.00   sec   506 KBytes  4.15 Mbits/sec    0    189 KBytes       
[  5]   8.00-9.00   sec   633 KBytes  5.18 Mbits/sec    0    261 KBytes       
[  5]   9.00-10.00  sec   823 KBytes  6.74 Mbits/sec    0    349 KBytes       
[  5]  10.00-11.00  sec  1.67 MBytes  14.0 Mbits/sec    0    453 KBytes       
[  5]  11.00-12.00  sec  1.42 MBytes  11.9 Mbits/sec    0    596 KBytes       
[  5]  12.00-13.00  sec  2.72 MBytes  22.8 Mbits/sec    0    773 KBytes       
[  5]  13.00-14.00  sec  2.35 MBytes  19.7 Mbits/sec    0    979 KBytes       
[  5]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.18 MBytes       
[  5]  15.00-16.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.46 MBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.72 MBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.05 MBytes       
[  5]  18.00-19.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.43 MBytes       
[  5]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.85 MBytes       
[  5]  20.00-21.00  sec  4.85 MBytes  40.7 Mbits/sec    0   3.31 MBytes       
[  5]  21.00-22.00  sec  4.99 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  22.00-23.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.37 MBytes       
[  5]  23.00-24.00  sec  4.97 MBytes  41.7 Mbits/sec    0   3.37 MBytes       
[  5]  24.00-25.00  sec  3.75 MBytes  31.4 Mbits/sec    0   3.37 MBytes       
[  5]  25.00-26.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  26.00-27.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  27.00-28.00  sec  4.94 MBytes  41.5 Mbits/sec    0   3.37 MBytes       
[  5]  28.00-29.00  sec  4.99 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.37 MBytes       
[  5]  30.00-31.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  32.00-33.00  sec  4.98 MBytes  41.8 Mbits/sec    0   3.37 MBytes       
[  5]  33.00-34.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  34.00-35.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.37 MBytes       
[  5]  35.00-36.00  sec  6.24 MBytes  52.4 Mbits/sec    0   3.37 MBytes       
[  5]  36.00-37.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.37 MBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec  640   1.32 MBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec  374    946 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec  153    794 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec  201    907 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0    888 KBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0    942 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    980 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1001 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1013 KBytes       
[  5]  46.00-47.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1022 KBytes       
[  5]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1023 KBytes       
[  5]  48.00-49.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1023 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.00 MBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.01 MBytes       
[  5]  51.00-52.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.04 MBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.07 MBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.12 MBytes       
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.19 MBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.26 MBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.36 MBytes       
[  5]  58.00-59.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.49 MBytes       
[  5]  59.00-59.95  sec  3.75 MBytes  33.2 Mbits/sec    0   1.65 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-59.95  sec   181 MBytes  25.4 Mbits/sec  1368             sender
[  5]   0.00-60.88  sec   181 MBytes  24.9 Mbits/sec                  receiver

iperf Done.
