Connecting to host knb-server-710219, port 5201
[  5] local 10.136.173.96 port 35842 connected to 10.43.69.6 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.89 MBytes  41.0 Mbits/sec   80    403 KBytes       (omitted)
[  5]   0.00-1.00   sec  7.41 MBytes  62.2 Mbits/sec    0    459 KBytes       
[  5]   1.00-2.00   sec  8.16 MBytes  68.4 Mbits/sec    0    499 KBytes       
[  5]   2.00-3.00   sec  8.90 MBytes  74.6 Mbits/sec    0    525 KBytes       
[  5]   3.00-4.00   sec  9.64 MBytes  80.9 Mbits/sec    0    541 KBytes       
[  5]   4.00-5.00   sec  9.64 MBytes  80.9 Mbits/sec    0    549 KBytes       
[  5]   5.00-6.00   sec  9.64 MBytes  80.9 Mbits/sec    0    551 KBytes       
[  5]   6.00-7.00   sec  9.64 MBytes  80.9 Mbits/sec    0    551 KBytes       
[  5]   7.00-8.00   sec  8.90 MBytes  74.6 Mbits/sec    0    551 KBytes       
[  5]   8.00-9.00   sec  9.64 MBytes  80.9 Mbits/sec    0    556 KBytes       
[  5]   9.00-10.00  sec  9.64 MBytes  80.9 Mbits/sec    0    566 KBytes       
[  5]  10.00-11.00  sec  10.6 MBytes  88.6 Mbits/sec    0    583 KBytes       
[  5]  11.00-12.00  sec  10.4 MBytes  87.1 Mbits/sec    0    613 KBytes       
[  5]  12.00-13.00  sec  10.8 MBytes  90.2 Mbits/sec    0    657 KBytes       
[  5]  13.00-14.00  sec  12.5 MBytes   105 Mbits/sec    0    719 KBytes       
[  5]  14.00-15.00  sec  13.9 MBytes   117 Mbits/sec    0    798 KBytes       
[  5]  15.00-16.00  sec  15.4 MBytes   130 Mbits/sec    0    903 KBytes       
[  5]  16.00-17.00  sec  17.3 MBytes   145 Mbits/sec    0   1.01 MBytes       
[  5]  17.00-18.00  sec  20.0 MBytes   168 Mbits/sec    0   1.16 MBytes       
[  5]  18.00-19.00  sec  21.2 MBytes   178 Mbits/sec    0   1.34 MBytes       
