Connecting to host knb-server-1285358, port 5201
[  5] local 10.136.173.93 port 50968 connected to 10.43.228.20 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   972 KBytes  7.96 Mbits/sec    0   62.1 KBytes       (omitted)
[  5]   0.00-1.00   sec   132 KBytes  1.08 Mbits/sec    0   69.0 KBytes       
[  5]   1.00-2.00   sec   823 KBytes  6.74 Mbits/sec    0    105 KBytes       
[  5]   2.00-3.00   sec   380 KBytes  3.11 Mbits/sec    1    121 KBytes       
[  5]   3.00-4.00   sec   190 KBytes  1.55 Mbits/sec    0    131 KBytes       
[  5]   4.00-5.00   sec   633 KBytes  5.18 Mbits/sec    0    154 KBytes       
[  5]   5.00-6.00   sec  2.04 MBytes  17.1 Mbits/sec    1   5.75 KBytes       
[  5]   6.00-7.00   sec   380 KBytes  3.11 Mbits/sec    0    260 KBytes       
[  5]   7.00-8.00   sec   380 KBytes  3.11 Mbits/sec    0    282 KBytes       
[  5]   8.00-9.00   sec   443 KBytes  3.63 Mbits/sec    0    298 KBytes       
[  5]   9.00-10.00  sec  1.85 MBytes  15.5 Mbits/sec    0    373 KBytes       
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 Mbits/sec    0    381 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0    390 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 Mbits/sec    0    390 KBytes       
[  5]  13.00-14.00  sec   569 KBytes  4.67 Mbits/sec    0    412 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec   70    298 KBytes       
[  5]  15.00-16.00  sec  2.78 MBytes  23.3 Mbits/sec    0    327 KBytes       
[  5]  16.00-17.00  sec  1.11 MBytes  9.33 Mbits/sec    0    364 KBytes       
[  5]  17.00-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0    381 KBytes       
[  5]  18.00-19.00  sec  1.67 MBytes  14.0 Mbits/sec   37    291 KBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0    299 KBytes       
[  5]  20.00-21.00  sec  2.84 MBytes  23.8 Mbits/sec    0    330 KBytes       
[  5]  21.00-22.00  sec  1.11 MBytes  9.33 Mbits/sec    0    334 KBytes       
[  5]  22.00-23.00  sec   569 KBytes  4.66 Mbits/sec    0    336 KBytes       
[  5]  23.00-24.00  sec   569 KBytes  4.67 Mbits/sec    0    337 KBytes       
[  5]  24.00-25.00  sec   569 KBytes  4.66 Mbits/sec    0    338 KBytes       
[  5]  25.00-26.00  sec   569 KBytes  4.67 Mbits/sec    0    341 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0    349 KBytes       
[  5]  27.00-28.00  sec  2.22 MBytes  18.7 Mbits/sec    0    374 KBytes       
[  5]  28.00-29.00  sec   633 KBytes  5.18 Mbits/sec    0    396 KBytes       
[  5]  29.00-30.00  sec   633 KBytes  5.18 Mbits/sec   74    301 KBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    0    301 KBytes       
[  5]  31.00-32.00  sec  1.73 MBytes  14.5 Mbits/sec    0    321 KBytes       
[  5]  32.00-33.00  sec  0.00 Bytes  0.00 Mbits/sec    0    351 KBytes       
[  5]  33.00-34.00  sec   569 KBytes  4.66 Mbits/sec    0    385 KBytes       
[  5]  34.00-35.00  sec  1.79 MBytes  15.0 Mbits/sec   41    290 KBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 Mbits/sec    0    314 KBytes       
[  5]  36.00-37.00  sec  2.35 MBytes  19.7 Mbits/sec    0    335 KBytes       
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 Mbits/sec    1    358 KBytes       
[  5]  38.00-39.00  sec  3.21 MBytes  27.0 Mbits/sec   76    299 KBytes       
