Connecting to host knb-server-1164307, port 5201
[  5] local 10.136.173.109 port 41942 connected to 10.43.156.200 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   866 KBytes  7.09 Mbits/sec    0    102 KBytes       (omitted)
[  5]   0.00-1.00   sec   569 KBytes  4.66 Mbits/sec    1    132 KBytes       
[  5]   1.00-2.00   sec   696 KBytes  5.70 Mbits/sec    0    163 KBytes       
[  5]   2.00-3.00   sec   253 KBytes  2.07 Mbits/sec    0    169 KBytes       
[  5]   3.00-4.00   sec  2.47 MBytes  20.7 Mbits/sec    0    285 KBytes       
[  5]   4.00-5.00   sec   823 KBytes  6.74 Mbits/sec    0    316 KBytes       
[  5]   5.00-6.00   sec  2.47 MBytes  20.7 Mbits/sec    0    424 KBytes       
[  5]   6.00-7.00   sec  1.24 MBytes  10.4 Mbits/sec    0    481 KBytes       
[  5]   7.00-8.00   sec  0.00 Bytes  0.00 Mbits/sec    0    489 KBytes       
[  5]   8.00-9.00   sec   696 KBytes  5.70 Mbits/sec    0    510 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    530 KBytes       
[  5]  10.00-11.00  sec  1.48 MBytes  12.4 Mbits/sec    0    648 KBytes       
[  5]  11.00-12.00  sec   949 KBytes  7.77 Mbits/sec    0    718 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 Mbits/sec    0    821 KBytes       
[  5]  13.00-14.00  sec  1.11 MBytes  9.33 Mbits/sec    0    895 KBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.48 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  5]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.98 MBytes       
[  5]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.10 MBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.13 MBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.47 MBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.64 MBytes       
[  5]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.28 MBytes       
[  5]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.35 MBytes       
[  5]  23.00-24.00  sec  5.00 MBytes  41.9 Mbits/sec    2   4.17 MBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0   4.17 MBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0   4.17 MBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0   4.17 MBytes       
[  5]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    2   4.17 MBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0   4.17 MBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   4.17 MBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    0   4.17 MBytes       
