Connecting to host 10.136.80.137, port 5201
[  5] local 10.136.173.71 port 37258 connected to 10.136.80.137 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   541 KBytes  4.43 Mbits/sec    1   47.2 KBytes       (omitted)
[  5]   0.00-1.00   sec  3.68 MBytes  30.9 Mbits/sec    0    202 KBytes       
[  5]   1.00-2.00   sec   316 KBytes  2.59 Mbits/sec    0    232 KBytes       
[  5]   2.00-3.00   sec   696 KBytes  5.70 Mbits/sec    0    261 KBytes       
[  5]   3.00-4.00   sec   380 KBytes  3.11 Mbits/sec    0    269 KBytes       
[  5]   4.00-5.00   sec  4.39 MBytes  36.8 Mbits/sec    0    465 KBytes       
[  5]   5.00-6.00   sec   633 KBytes  5.18 Mbits/sec    0    489 KBytes       
[  5]   6.00-7.00   sec  2.16 MBytes  18.1 Mbits/sec    0    606 KBytes       
[  5]   7.00-8.00   sec  5.13 MBytes  43.0 Mbits/sec   28    473 KBytes       
[  5]   8.00-9.00   sec   886 KBytes  7.26 Mbits/sec    0    540 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    564 KBytes       
[  5]  10.00-11.00  sec   886 KBytes  7.26 Mbits/sec    0    589 KBytes       
[  5]  11.00-12.00  sec  1.73 MBytes  14.5 Mbits/sec   99    410 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 Mbits/sec    0    414 KBytes       
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0    444 KBytes       
[  5]  14.00-15.00  sec  1.73 MBytes  14.5 Mbits/sec    0    497 KBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 Mbits/sec    0    507 KBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0    511 KBytes       
[  5]  17.00-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0    511 KBytes       
[  5]  18.00-19.00  sec  3.46 MBytes  29.0 Mbits/sec    0    515 KBytes       
[  5]  19.00-20.00  sec  1.73 MBytes  14.5 Mbits/sec    0    520 KBytes       
[  5]  20.00-21.00  sec  3.46 MBytes  29.0 Mbits/sec    0    527 KBytes       
[  5]  21.00-22.00  sec  1.73 MBytes  14.5 Mbits/sec    0    542 KBytes       
[  5]  22.00-23.00  sec  2.66 MBytes  22.3 Mbits/sec   71   1.15 KBytes       
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0    397 KBytes       
[  5]  24.00-25.00  sec   886 KBytes  7.26 Mbits/sec    1    400 KBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0    404 KBytes       
[  5]  26.00-27.00  sec  1.73 MBytes  14.5 Mbits/sec    0    410 KBytes       
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 Mbits/sec    0    416 KBytes       
[  5]  28.00-29.00  sec   886 KBytes  7.26 Mbits/sec    0    426 KBytes       
[  5]  29.00-30.00  sec   886 KBytes  7.26 Mbits/sec    0    474 KBytes       
[  5]  30.00-31.00  sec   886 KBytes  7.26 Mbits/sec    0    514 KBytes       
[  5]  31.00-32.00  sec   949 KBytes  7.77 Mbits/sec    0    596 KBytes       
[  5]  32.00-33.00  sec  3.52 MBytes  29.5 Mbits/sec    0    711 KBytes       
[  5]  33.00-34.00  sec   949 KBytes  7.77 Mbits/sec    0    732 KBytes       
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 Mbits/sec    0    801 KBytes       
[  5]  35.00-36.00  sec  1.11 MBytes  9.34 Mbits/sec    0    877 KBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.01 MBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.41 MBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.57 MBytes       
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.64 MBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.79 MBytes       
[  5]  41.00-42.00  sec  3.75 MBytes  31.5 Mbits/sec    2   2.41 MBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.41 MBytes       
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.41 MBytes       
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.41 MBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.42 MBytes       
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.43 MBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.50 MBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.53 MBytes       
[  5]  49.00-50.00  sec  1.24 MBytes  10.4 Mbits/sec    1   2.54 MBytes       
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.54 MBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.54 MBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.55 MBytes       
[  5]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.56 MBytes       
[  5]  54.00-55.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.56 MBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.56 MBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.59 MBytes       
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.62 MBytes       
[  5]  58.00-59.00  sec  1.04 MBytes  8.73 Mbits/sec    1   2.68 MBytes       
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.68 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  67.0 MBytes  9.37 Mbits/sec  203             sender
[  5]   0.00-62.16  sec  67.2 MBytes  9.07 Mbits/sec                  receiver

iperf Done.
