Connecting to host 10.136.80.153, port 5201
[  5] local 10.136.173.119 port 39504 connected to 10.136.80.153 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   323 KBytes  2.65 Mbits/sec    0   34.5 KBytes       (omitted)
[  5]   0.00-1.00   sec  1017 KBytes  8.33 Mbits/sec    0   79.4 KBytes       
[  5]   1.00-2.00   sec   253 KBytes  2.07 Mbits/sec    0   90.9 KBytes       
[  5]   2.00-3.00   sec   886 KBytes  7.26 Mbits/sec    0    128 KBytes       
[  5]   3.00-4.00   sec   633 KBytes  5.18 Mbits/sec    0    161 KBytes       
[  5]   4.00-5.00   sec  1.05 MBytes  8.81 Mbits/sec    0    200 KBytes       
[  5]   5.00-6.00   sec   316 KBytes  2.59 Mbits/sec    0    211 KBytes       
[  5]   6.00-7.00   sec   316 KBytes  2.59 Mbits/sec    0    228 KBytes       
[  5]   7.00-8.00   sec   823 KBytes  6.74 Mbits/sec    0    320 KBytes       
[  5]   8.00-9.00   sec   443 KBytes  3.63 Mbits/sec    0    410 KBytes       
[  5]   9.00-10.00  sec  1.17 MBytes  9.85 Mbits/sec    0    527 KBytes       
[  5]  10.00-11.00  sec  2.60 MBytes  21.8 Mbits/sec    0    741 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 Mbits/sec   10    625 KBytes       
[  5]  12.00-13.00  sec  3.34 MBytes  28.0 Mbits/sec    0    615 KBytes       
[  5]  13.00-14.00  sec  1012 KBytes  8.29 Mbits/sec    0    641 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0    691 KBytes       
[  5]  15.00-16.00  sec  1.05 MBytes  8.81 Mbits/sec    0    732 KBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0    734 KBytes       
[  5]  17.00-18.00  sec  2.10 MBytes  17.6 Mbits/sec    0    775 KBytes       
[  5]  18.00-19.00  sec  1.05 MBytes  8.81 Mbits/sec    0    783 KBytes       
[  5]  19.00-20.00  sec  1.05 MBytes  8.81 Mbits/sec    0    788 KBytes       
[  5]  20.00-21.00  sec  3.15 MBytes  26.4 Mbits/sec    0    788 KBytes       
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0    789 KBytes       
[  5]  22.00-23.00  sec  1.05 MBytes  8.82 Mbits/sec    0    791 KBytes       
[  5]  23.00-24.00  sec  2.16 MBytes  18.1 Mbits/sec    0    805 KBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0    813 KBytes       
[  5]  25.00-26.00  sec  1.11 MBytes  9.34 Mbits/sec    0    848 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0    873 KBytes       
[  5]  27.00-28.00  sec  3.67 MBytes  30.8 Mbits/sec    0   1000 KBytes       
[  5]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.16 MBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.16 MBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  21.0 Mbits/sec    1   1.20 MBytes       
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.12 MBytes       
[  5]  34.00-35.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.11 MBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.13 MBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.25 MBytes       
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.28 MBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.34 MBytes       
[  5]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[  5]  40.00-41.00  sec  3.75 MBytes  31.4 Mbits/sec    0   1.45 MBytes       
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.45 MBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.46 MBytes       
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.47 MBytes       
[  5]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.47 MBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.48 MBytes       
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.30 MBytes       
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.19 MBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.04 MBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec   50    984 KBytes       
[  5]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    809 KBytes       
[  5]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    843 KBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0    890 KBytes       
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 Mbits/sec    0    908 KBytes       
[  5]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0    927 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 Mbits/sec    0    950 KBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    977 KBytes       
[  5]  57.00-58.00  sec  1.25 MBytes  10.5 Mbits/sec    0    978 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0    979 KBytes       
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 Mbits/sec    0    980 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  67.6 MBytes  9.45 Mbits/sec   62             sender
[  5]   0.00-61.96  sec  65.6 MBytes  8.88 Mbits/sec                  receiver

iperf Done.
