Connecting to host 10.136.80.165, port 5201
[  5] local 10.136.173.77 port 34458 connected to 10.136.80.165 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   269 KBytes  2.20 Mbits/sec    1   1.15 KBytes       (omitted)
[  5]   0.00-1.00   sec   574 KBytes  4.70 Mbits/sec    0   58.7 KBytes       
[  5]   1.00-2.00   sec   260 KBytes  2.13 Mbits/sec    0   71.3 KBytes       
[  5]   2.00-3.00   sec  1.42 MBytes  11.9 Mbits/sec    0    136 KBytes       
[  5]   3.00-4.00   sec  1.17 MBytes  9.85 Mbits/sec    2    188 KBytes       
[  5]   4.00-5.00   sec   569 KBytes  4.66 Mbits/sec   23    146 KBytes       
[  5]   5.00-6.00   sec   316 KBytes  2.59 Mbits/sec    0    152 KBytes       
[  5]   6.00-7.00   sec  1.54 MBytes  13.0 Mbits/sec    0    182 KBytes       
[  5]   7.00-8.00   sec  1.24 MBytes  10.4 Mbits/sec    7    135 KBytes       
[  5]   8.00-9.00   sec  1012 KBytes  8.30 Mbits/sec    0    151 KBytes       
[  5]   9.00-10.00  sec   633 KBytes  5.18 Mbits/sec    0    158 KBytes       
[  5]  10.00-11.00  sec   949 KBytes  7.78 Mbits/sec    0    163 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0    163 KBytes       
[  5]  12.00-13.00  sec   633 KBytes  5.19 Mbits/sec    5    183 KBytes       
[  5]  13.00-14.00  sec   696 KBytes  5.70 Mbits/sec    1    151 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0    158 KBytes       
[  5]  15.00-16.00  sec   633 KBytes  5.19 Mbits/sec    0    186 KBytes       
[  5]  16.00-17.00  sec   316 KBytes  2.59 Mbits/sec    9    131 KBytes       
[  5]  17.00-18.00  sec   633 KBytes  5.19 Mbits/sec    0    140 KBytes       
[  5]  18.00-19.00  sec   316 KBytes  2.59 Mbits/sec    1    155 KBytes       
[  5]  19.00-20.00  sec  1.24 MBytes  10.4 Mbits/sec    0    211 KBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec   32    155 KBytes       
[  5]  21.00-22.00  sec  1.05 MBytes  8.82 Mbits/sec    3    161 KBytes       
[  5]  22.00-23.00  sec   949 KBytes  7.78 Mbits/sec    0    198 KBytes       
[  5]  23.00-24.00  sec   316 KBytes  2.59 Mbits/sec    0    205 KBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec   29    143 KBytes       
