Connecting to host 10.136.80.138, port 5201
[  5] local 10.136.173.108 port 55606 connected to 10.136.80.138 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  25.2 MBytes   212 Mbits/sec    0   1.10 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec  343   1.38 MBytes       
[  5]   1.00-2.00   sec  32.5 MBytes   273 Mbits/sec   92    522 KBytes       
[  5]   2.00-3.00   sec  28.8 MBytes   241 Mbits/sec    0    561 KBytes       
[  5]   3.00-4.00   sec  30.0 MBytes   252 Mbits/sec  107    235 KBytes       
[  5]   4.00-5.00   sec  32.5 MBytes   273 Mbits/sec    0    311 KBytes       
[  5]   5.00-6.00   sec  31.2 MBytes   262 Mbits/sec    3    283 KBytes       
[  5]   6.00-7.00   sec  30.0 MBytes   252 Mbits/sec   18    270 KBytes       
[  5]   7.00-8.00   sec  27.5 MBytes   231 Mbits/sec    0    328 KBytes       
[  5]   8.00-9.00   sec  30.0 MBytes   252 Mbits/sec   95    281 KBytes       
[  5]   9.00-10.00  sec  33.8 MBytes   283 Mbits/sec   55    277 KBytes       
[  5]  10.00-11.00  sec  28.8 MBytes   241 Mbits/sec    0    338 KBytes       
[  5]  11.00-12.00  sec  32.5 MBytes   273 Mbits/sec   15    278 KBytes       
[  5]  12.00-13.00  sec  28.8 MBytes   241 Mbits/sec    3    254 KBytes       
[  5]  13.00-14.00  sec  30.0 MBytes   252 Mbits/sec    8    223 KBytes       
[  5]  14.00-15.00  sec  30.0 MBytes   252 Mbits/sec    6    245 KBytes       
[  5]  15.00-16.00  sec  26.2 MBytes   220 Mbits/sec    9    237 KBytes       
[  5]  16.00-17.00  sec  27.5 MBytes   231 Mbits/sec    0    303 KBytes       
[  5]  17.00-18.00  sec  28.8 MBytes   241 Mbits/sec    0    357 KBytes       
[  5]  18.00-19.00  sec  27.5 MBytes   231 Mbits/sec   12    285 KBytes       
[  5]  19.00-20.00  sec  30.0 MBytes   252 Mbits/sec   47    240 KBytes       
[  5]  20.00-21.00  sec  31.2 MBytes   262 Mbits/sec    0    314 KBytes       
[  5]  21.00-22.00  sec  28.8 MBytes   241 Mbits/sec    0    366 KBytes       
[  5]  22.00-23.00  sec  31.2 MBytes   262 Mbits/sec   97    230 KBytes       
[  5]  23.00-24.00  sec  31.2 MBytes   262 Mbits/sec    1    220 KBytes       
[  5]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0    294 KBytes       
[  5]  25.00-26.00  sec  33.8 MBytes   283 Mbits/sec    0    360 KBytes       
[  5]  26.00-27.00  sec  27.5 MBytes   231 Mbits/sec   21    305 KBytes       
[  5]  27.00-28.00  sec  30.0 MBytes   252 Mbits/sec   41    271 KBytes       
[  5]  28.00-29.00  sec  27.5 MBytes   231 Mbits/sec    5    231 KBytes       
[  5]  29.00-30.00  sec  27.5 MBytes   231 Mbits/sec    0    294 KBytes       
[  5]  30.00-31.00  sec  35.0 MBytes   294 Mbits/sec   25    204 KBytes       
[  5]  31.00-32.00  sec  30.0 MBytes   252 Mbits/sec    3    205 KBytes       
[  5]  32.00-33.00  sec  26.2 MBytes   220 Mbits/sec    0    273 KBytes       
[  5]  33.00-34.00  sec  26.2 MBytes   220 Mbits/sec    2    232 KBytes       
[  5]  34.00-35.00  sec  27.5 MBytes   231 Mbits/sec    0    297 KBytes       
[  5]  35.00-36.00  sec  26.2 MBytes   220 Mbits/sec   43    247 KBytes       
[  5]  36.00-37.00  sec  27.5 MBytes   231 Mbits/sec   19    159 KBytes       
[  5]  37.00-38.00  sec  25.0 MBytes   210 Mbits/sec    0    234 KBytes       
[  5]  38.00-39.00  sec  26.2 MBytes   220 Mbits/sec    0    297 KBytes       
[  5]  39.00-40.00  sec  25.0 MBytes   210 Mbits/sec    0    347 KBytes       
[  5]  40.00-41.00  sec  23.8 MBytes   199 Mbits/sec    0    387 KBytes       
[  5]  41.00-42.00  sec  31.2 MBytes   262 Mbits/sec   12    315 KBytes       
[  5]  42.00-43.00  sec  30.0 MBytes   252 Mbits/sec   15    263 KBytes       
[  5]  43.00-44.00  sec  32.5 MBytes   273 Mbits/sec   30    182 KBytes       
[  5]  44.00-45.00  sec  31.2 MBytes   262 Mbits/sec    1    189 KBytes       
[  5]  45.00-46.00  sec  28.8 MBytes   241 Mbits/sec    0    267 KBytes       
